n;Storm-static;Storm-staticscaled;Storm-staticshifted
1;0.05805468559265137;0.5216946771965553;1.0
2;0.0743565559387207;0.5276026482537076;1.0
3;0.21421051025390625;0.5811164281063618;1.0
4;0.3880298137664795;0.6552528885614496;1.0
5;0.6837470531463623;0.8037557927420639;1.0
6;0.6911580562591553;0.8078810418566614;1.0
7;4.3939149379730225;4.3939149379730225;4.3939149379730225
8;6.945496559143066;6.945496559143066;6.945496559143066
9;8.219969749450684;8.219969749450684;8.219969749450684
10;9.781537294387817;9.781537294387817;9.781537294387817
11;11.480687618255615;11.480687618255615;11.480687618255615
12;12.492045164108276;12.492045164108276;12.492045164108276
13;21.602163314819336;21.602163314819336;21.602163314819336
14;23.05221939086914;23.05221939086914;23.05221939086914
15;24.922232151031494;24.922232151031494;24.922232151031494
16;26.445937395095825;26.445937395095825;26.445937395095825
17;26.949522972106934;26.949522972106934;26.949522972106934
18;29.50862407684326;29.50862407684326;29.50862407684326
19;33.76974010467529;33.76974010467529;33.76974010467529
20;35.676105976104736;35.676105976104736;35.676105976104736
21;36.902015209198;36.902015209198;36.902015209198
22;41.70446443557739;41.70446443557739;41.70446443557739
23;54.872095823287964;54.872095823287964;54.872095823287964
24;55.254512548446655;55.254512548446655;55.254512548446655
25;64.5777235031128;64.5777235031128;64.5777235031128
26;76.26245617866516;76.26245617866516;76.26245617866516
27;85.08009696006775;85.08009696006775;85.08009696006775
28;107.17447090148926;107.17447090148926;107.17447090148926
29;120.4232223033905;120.4232223033905;120.4232223033905
30;140.55977034568787;140.55977034568787;140.55977034568787
31;148.90492415428162;148.90492415428162;148.90492415428162
32;149.65225505828857;149.65225505828857;149.65225505828857
33;152.66473937034607;152.66473937034607;152.66473937034607
34;180.4610435962677;180.4610435962677;180.4610435962677
35;264.89034962654114;264.89034962654114;264.89034962654114
36;296.93585109710693;296.93585109710693;296.93585109710693
37;361.30269408226013;361.30269408226013;361.30269408226013
38;362.5325975418091;362.5325975418091;362.5325975418091
39;363.5332942008972;363.5332942008972;363.5332942008972
40;398.2325966358185;398.2325966358185;398.2325966358185
41;432.9323706626892;432.9323706626892;432.9323706626892
42;435.64355516433716;435.64355516433716;435.64355516433716
43;832.8982346057892;832.8982346057892;832.8982346057892
44;1361.8617415428162;1361.8617415428162;1361.8617415428162
45;;;
46;;;
47;;;
48;;;
49;;;
50;;;
51;;;
52;;;
53;;;
54;;;
55;;;
56;;;
57;;;
58;;;
59;;;
60;;;
61;;;
62;;;
63;;;
64;;;
65;;;
66;;;
67;;;
68;;;
69;;;
70;;;
71;;;
72;;;
73;;;
74;;;
75;;;
76;;;
77;;;
78;;;
79;;;
