n;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted
1;0.05789446830749512;0.5216369422610282;1.0;0.05805468559265137;0.5216946771965553;1.0
2;0.14899706840515137;0.5555192598450035;1.0;0.0743565559387207;0.5276026482537076;1.0
3;0.20150256156921387;0.5760375153694675;1.0;0.21421051025390625;0.5811164281063618;1.0
4;0.39360547065734863;0.6577814793136098;1.0;0.3880298137664795;0.6552528885614496;1.0
5;0.6826491355895996;0.8031464437289958;1.0;0.6837470531463623;0.8037557927420639;1.0
6;0.6894865036010742;0.8069487460860637;1.0;0.6911580562591553;0.8078810418566614;1.0
7;0.9379866123199463;0.958067225601634;1.0;4.3939149379730225;4.3939149379730225;4.3939149379730225
8;1.768845558166504;1.768845558166504;1.768845558166504;6.945496559143066;6.945496559143066;6.945496559143066
9;2.16494083404541;2.16494083404541;2.16494083404541;8.219969749450684;8.219969749450684;8.219969749450684
10;2.216487169265747;2.216487169265747;2.216487169265747;9.781537294387817;9.781537294387817;9.781537294387817
11;2.2669341564178467;2.2669341564178467;2.2669341564178467;11.480687618255615;11.480687618255615;11.480687618255615
12;2.27908992767334;2.27908992767334;2.27908992767334;12.492045164108276;12.492045164108276;12.492045164108276
13;2.7306294441223145;2.7306294441223145;2.7306294441223145;21.602163314819336;21.602163314819336;21.602163314819336
14;3.108995199203491;3.108995199203491;3.108995199203491;23.05221939086914;23.05221939086914;23.05221939086914
15;3.39422869682312;3.39422869682312;3.39422869682312;24.922232151031494;24.922232151031494;24.922232151031494
16;3.7377400398254395;3.7377400398254395;3.7377400398254395;26.445937395095825;26.445937395095825;26.445937395095825
17;3.8733320236206055;3.8733320236206055;3.8733320236206055;26.949522972106934;26.949522972106934;26.949522972106934
18;4.169516324996948;4.169516324996948;4.169516324996948;29.50862407684326;29.50862407684326;29.50862407684326
19;4.392428398132324;4.392428398132324;4.392428398132324;33.76974010467529;33.76974010467529;33.76974010467529
20;4.9781715869903564;4.9781715869903564;4.9781715869903564;35.676105976104736;35.676105976104736;35.676105976104736
21;6.286620140075684;6.286620140075684;6.286620140075684;36.902015209198;36.902015209198;36.902015209198
22;6.392507314682007;6.392507314682007;6.392507314682007;41.70446443557739;41.70446443557739;41.70446443557739
23;6.714429140090942;6.714429140090942;6.714429140090942;54.872095823287964;54.872095823287964;54.872095823287964
24;7.4985737800598145;7.4985737800598145;7.4985737800598145;55.254512548446655;55.254512548446655;55.254512548446655
25;8.127794742584229;8.127794742584229;8.127794742584229;64.5777235031128;64.5777235031128;64.5777235031128
26;10.1396963596344;10.1396963596344;10.1396963596344;76.26245617866516;76.26245617866516;76.26245617866516
27;10.203178644180298;10.203178644180298;10.203178644180298;85.08009696006775;85.08009696006775;85.08009696006775
28;11.396338701248169;11.396338701248169;11.396338701248169;107.17447090148926;107.17447090148926;107.17447090148926
29;11.635896444320679;11.635896444320679;11.635896444320679;120.4232223033905;120.4232223033905;120.4232223033905
30;12.117155313491821;12.117155313491821;12.117155313491821;140.55977034568787;140.55977034568787;140.55977034568787
31;13.945918083190918;13.945918083190918;13.945918083190918;148.90492415428162;148.90492415428162;148.90492415428162
32;19.846829652786255;19.846829652786255;19.846829652786255;149.65225505828857;149.65225505828857;149.65225505828857
33;23.133259534835815;23.133259534835815;23.133259534835815;152.66473937034607;152.66473937034607;152.66473937034607
34;23.13333821296692;23.13333821296692;23.13333821296692;180.4610435962677;180.4610435962677;180.4610435962677
35;23.198837518692017;23.198837518692017;23.198837518692017;264.89034962654114;264.89034962654114;264.89034962654114
36;24.567019939422607;24.567019939422607;24.567019939422607;296.93585109710693;296.93585109710693;296.93585109710693
37;25.969027519226074;25.969027519226074;25.969027519226074;361.30269408226013;361.30269408226013;361.30269408226013
38;26.62376356124878;26.62376356124878;26.62376356124878;362.5325975418091;362.5325975418091;362.5325975418091
39;26.96647024154663;26.96647024154663;26.96647024154663;363.5332942008972;363.5332942008972;363.5332942008972
40;29.044142961502075;29.044142961502075;29.044142961502075;398.2325966358185;398.2325966358185;398.2325966358185
41;33.565741777420044;33.565741777420044;33.565741777420044;432.9323706626892;432.9323706626892;432.9323706626892
42;42.26013398170471;42.26013398170471;42.26013398170471;435.64355516433716;435.64355516433716;435.64355516433716
43;46.49849843978882;46.49849843978882;46.49849843978882;832.8982346057892;832.8982346057892;832.8982346057892
44;55.14811706542969;55.14811706542969;55.14811706542969;1361.8617415428162;1361.8617415428162;1361.8617415428162
45;60.469526052474976;60.469526052474976;60.469526052474976;;;
46;61.77132225036621;61.77132225036621;61.77132225036621;;;
47;61.816192626953125;61.816192626953125;61.816192626953125;;;
48;83.69861578941345;83.69861578941345;83.69861578941345;;;
49;111.23198866844177;111.23198866844177;111.23198866844177;;;
50;120.38787984848022;120.38787984848022;120.38787984848022;;;
51;148.83796000480652;148.83796000480652;148.83796000480652;;;
52;179.66518425941467;179.66518425941467;179.66518425941467;;;
53;263.37078833580017;263.37078833580017;263.37078833580017;;;
54;379.62979555130005;379.62979555130005;379.62979555130005;;;
55;381.7367424964905;381.7367424964905;381.7367424964905;;;
56;631.8465120792389;631.8465120792389;631.8465120792389;;;
57;1085.0439291000366;1085.0439291000366;1085.0439291000366;;;
58;1256.3348574638367;1256.3348574638367;1256.3348574638367;;;
59;;;;;;
60;;;;;;
61;;;;;;
62;;;;;;
63;;;;;;
64;;;;;;
65;;;;;;
66;;;;;;
67;;;;;;
68;;;;;;
69;;;;;;
70;;;;;;
71;;;;;;
72;;;;;;
73;;;;;;
74;;;;;;
75;;;;;;
76;;;;;;
77;;;;;;
78;;;;;;
79;;;;;;
