id;Type;Storm;Stormshifted;other;othershifted
bluetooth.1.time;dtmc;11.396338701248169;11.396338701248169;4000;4000
coupon.9-4-5.collect_all_bounded;dtmc;4.9781715869903564;4.9781715869903564;4000;4000
coupon.9-4-5.exp_draws;dtmc;4.169516324996948;4.169516324996948;4000;4000
coupon.15-4-5.collect_all_bounded;dtmc;1256.3348574638367;1256.3348574638367;4000;4000
coupon.15-4-5.exp_draws;dtmc;631.8465120792389;631.8465120792389;4000;4000
crowds.5-20.positive;dtmc;2.7306294441223145;2.7306294441223145;64.5777235031128;64.5777235031128
crowds.6-20.positive;dtmc;3.108995199203491;3.108995199203491;398.2325966358185;398.2325966358185
egl.10-2.messagesB;dtmc;6.286620140075684;6.286620140075684;4000;4000
egl.10-2.unfairA;dtmc;3.8733320236206055;3.8733320236206055;4000;4000
egl.10-8.messagesB;dtmc;23.13333821296692;23.13333821296692;4000;4000
egl.10-8.unfairA;dtmc;26.96647024154663;26.96647024154663;4000;4000
haddad-monmege.100-0.7.exp_steps;dtmc;0.14899706840515137;1;0.0743565559387207;1
haddad-monmege.100-0.7.target;dtmc;0.05789446830749512;1;0.05805468559265137;1
herman.15.steps;dtmc;4000;4000;4000;4000
nand.40-4.reliable;dtmc;61.77132225036621;61.77132225036621;85.08009696006775;85.08009696006775
nand.60-4.reliable;dtmc;1085.0439291000366;1085.0439291000366;1361.8617415428162;1361.8617415428162
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;379.62979555130005;379.62979555130005;363.5332942008972;363.5332942008972
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;381.7367424964905;381.7367424964905;362.5325975418091;362.5325975418091
cluster.128-2000-20.premium_steady;ctmc;4000;4000;4000;4000
embedded.8-12.actuators;ctmc;0.6826491355895996;1;0.6837470531463623;1
embedded.8-12.up_time;ctmc;0.6894865036010742;1;0.6911580562591553;1
fms.8.productivity;ctmc;4000;4000;4000;4000
kanban.5.throughput;ctmc;4000;4000;4000;4000
mapk_cascade.4-30.activated_time;ctmc;4000;4000;4000;4000
philosophers.16-1.MaxPrReachDeadlock;ctmc;1.768845558166504;1.768845558166504;152.66473937034607;152.66473937034607
philosophers.16-1.MinExpTimeDeadlock;ctmc;4000;4000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;2.216487169265747;2.216487169265747;4000;4000
philosophers.20-1.MinExpTimeDeadlock;ctmc;8000;8000;4000;4000
polling.18-16.s1_before_s2;ctmc;8000;8000;4000;4000
beb.4-8-7.LineSeized;mdp;61.816192626953125;61.816192626953125;432.9323706626892;432.9323706626892
beb.5-16-15.LineSeized;mdp;4000;4000;4000;4000
consensus.4-4.disagree;mdp;12.117155313491821;12.117155313491821;12.492045164108276;12.492045164108276
consensus.4-4.steps_min;mdp;4.392428398132324;4.392428398132324;4.3939149379730225;4.3939149379730225
consensus.6-2.disagree;mdp;6.714429140090942;6.714429140090942;4000;4000
consensus.6-2.steps_min;mdp;3.7377400398254395;3.7377400398254395;4000;4000
csma.3-4.all_before_max;mdp;10.1396963596344;10.1396963596344;35.676105976104736;35.676105976104736
csma.3-4.time_max;mdp;26.62376356124878;26.62376356124878;76.26245617866516;76.26245617866516
csma.4-2.all_before_max;mdp;11.635896444320679;11.635896444320679;21.602163314819336;21.602163314819336
csma.4-2.time_max;mdp;13.945918083190918;13.945918083190918;26.949522972106934;26.949522972106934
eajs.5-250-11.ExpUtil;mdp;19.846829652786255;19.846829652786255;140.55977034568787;140.55977034568787
eajs.6-300-13.ExpUtil;mdp;46.49849843978882;46.49849843978882;435.64355516433716;435.64355516433716
echoring.100.MaxOffline1;mdp;179.66518425941467;179.66518425941467;180.4610435962677;180.4610435962677
elevators.b-11-9.goal;mdp;29.044142961502075;29.044142961502075;29.50862407684326;29.50862407684326
exploding-blocksworld.10.goal;mdp;4000;4000;4000;4000
firewire.false-36-800.deadline;mdp;60.469526052474976;60.469526052474976;296.93585109710693;296.93585109710693
pacman.100.crash;mdp;111.23198866844177;111.23198866844177;832.8982346057892;832.8982346057892
pacman.60.crash;mdp;42.26013398170471;42.26013398170471;361.30269408226013;361.30269408226013
pnueli-zuck.5.live;mdp;0.9379866123199463;1;11.480687618255615;11.480687618255615
pnueli-zuck.10.live;mdp;2.27908992767334;2.27908992767334;4000;4000
rabin.10.live;mdp;2.16494083404541;2.16494083404541;4000;4000
rectangle-tireworld.11.goal;mdp;23.133259534835815;23.133259534835815;23.05221939086914;23.05221939086914
resource-gathering.1300-100-100.expgold;mdp;4000;4000;4000;4000
resource-gathering.1300-100-100.expsteps;mdp;120.38787984848022;120.38787984848022;120.4232223033905;120.4232223033905
resource-gathering.1300-100-100.prgoldgem;mdp;4000;4000;4000;4000
tireworld.45.goal;mdp;4000;4000;4000;4000
triangle-tireworld.441.goal;mdp;4000;4000;4000;4000
wlan.4-0.sent;mdp;2.2669341564178467;2.2669341564178467;6.945496559143066;6.945496559143066
wlan.4-0.cost_min;mdp;10.203178644180298;10.203178644180298;9.781537294387817;9.781537294387817
wlan.5-0.sent;mdp;3.39422869682312;3.39422869682312;26.445937395095825;26.445937395095825
wlan.5-0.cost_min;mdp;23.198837518692017;23.198837518692017;36.902015209198;36.902015209198
wlan.6-0.sent;mdp;6.392507314682007;6.392507314682007;107.17447090148926;107.17447090148926
wlan.6-0.cost_min;mdp;83.69861578941345;83.69861578941345;148.90492415428162;148.90492415428162
zenotravel.4-2-2.goal;mdp;7.4985737800598145;7.4985737800598145;41.70446443557739;41.70446443557739
zeroconf.1000-8-false.correct_max;mdp;4000;4000;4000;4000
zeroconf.1000-8-false.correct_min;mdp;55.14811706542969;55.14811706542969;55.254512548446655;55.254512548446655
cabinets.3-2-true.Unavailability;ma;8000;8000;4000;4000
dpm.6-6-5.PminQueue1Full;ma;4000;4000;4000;4000
ftpp.2-2-true.Unavailability;ma;4000;4000;4000;4000
ftwc.8-5.TimeMax;ma;4000;4000;4000;4000
ftwc.8-5.TimeMin;ma;4000;4000;4000;4000
readers-writers.40.exp_time_many_requests;ma;4000;4000;4000;4000
sms.3-true.Unavailability;ma;25.969027519226074;25.969027519226074;54.872095823287964;54.872095823287964
stream.1000.exp_buffertime;ma;33.565741777420044;33.565741777420044;33.76974010467529;33.76974010467529
stream.1000.pr_underrun;ma;8.127794742584229;8.127794742584229;8.219969749450684;8.219969749450684
vgs.5-10000.MinExpTimeFailed;ma;0.20150256156921387;1;0.21421051025390625;1
firewire-pta.30-5000.eventually;pta;263.37078833580017;263.37078833580017;264.89034962654114;264.89034962654114
wlan-large.2.E_or;pta;148.83796000480652;148.83796000480652;149.65225505828857;149.65225505828857
wlan-large.2.P_max;pta;24.567019939422607;24.567019939422607;24.922232151031494;24.922232151031494
zeroconf-pta.200.incorrect;pta;0.39360547065734863;1;0.3880298137664795;1
