id;Type;Storm-static;Storm-staticshifted;other;othershifted
bluetooth.1.time;dtmc;12.759975910186768;12.759975910186768;4000;4000
coupon.9-4-5.collect_all_bounded;dtmc;4.733031749725342;4.733031749725342;4000;4000
coupon.9-4-5.exp_draws;dtmc;4.461927890777588;4.461927890777588;4000;4000
coupon.15-4-5.collect_all_bounded;dtmc;1333.6585459709167;1333.6585459709167;4000;4000
coupon.15-4-5.exp_draws;dtmc;608.996170759201;608.996170759201;4000;4000
crowds.5-20.positive;dtmc;2.9445862770080566;2.9445862770080566;4000;4000
crowds.6-20.positive;dtmc;3.0804600715637207;3.0804600715637207;4000;4000
egl.10-2.messagesB;dtmc;5.933776378631592;5.933776378631592;4000;4000
egl.10-2.unfairA;dtmc;1.9545865058898926;1.9545865058898926;4000;4000
egl.10-8.messagesB;dtmc;21.319919109344482;21.319919109344482;4000;4000
egl.10-8.unfairA;dtmc;3.5967905521392822;3.5967905521392822;4000;4000
haddad-monmege.100-0.7.exp_steps;dtmc;0.059091806411743164;1;4000;4000
haddad-monmege.100-0.7.target;dtmc;0.05812811851501465;1;4000;4000
herman.15.steps;dtmc;53.61393761634827;53.61393761634827;4000;4000
nand.40-4.reliable;dtmc;63.16690683364868;63.16690683364868;4000;4000
nand.60-4.reliable;dtmc;1093.4530048370361;1093.4530048370361;4000;4000
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;363.5332942008972;363.5332942008972;4000;4000
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;362.5325975418091;362.5325975418091;4000;4000
cluster.128-2000-20.premium_steady;ctmc;4000;4000;4000;4000
embedded.8-12.actuators;ctmc;0.6642727851867676;1;4000;4000
embedded.8-12.up_time;ctmc;0.6910667419433594;1;4000;4000
fms.8.productivity;ctmc;4000;4000;4000;4000
kanban.5.throughput;ctmc;4000;4000;4000;4000
mapk_cascade.4-30.activated_time;ctmc;4000;4000;4000;4000
philosophers.16-1.MaxPrReachDeadlock;ctmc;1.4722423553466797;1.4722423553466797;4000;4000
philosophers.16-1.MinExpTimeDeadlock;ctmc;4000;4000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;2.2688140869140625;2.2688140869140625;4000;4000
philosophers.20-1.MinExpTimeDeadlock;ctmc;4000;4000;4000;4000
polling.18-16.s1_before_s2;ctmc;8000;8000;4000;4000
