n;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted
1;0.05789446830749512;0.5216369422610282;1.0;0.05812811851501465;0.5217211411775496;1.0
2;0.14899706840515137;0.5555192598450035;1.0;0.059091806411743164;0.5220685624005341;1.0
3;0.20150256156921387;0.5760375153694675;1.0;0.21421051025390625;0.5811164281063618;1.0
4;0.39360547065734863;0.6577814793136098;1.0;0.3923153877258301;0.6571955533865104;1.0
5;0.6826491355895996;0.8031464437289958;1.0;0.6642727851867676;0.793015791408;1.0
6;0.6894865036010742;0.8069487460860637;1.0;0.6910667419433594;0.8078300841901134;1.0
7;0.9379866123199463;0.958067225601634;1.0;0.8971254825592041;0.931403026441516;1.0
8;1.768845558166504;1.768845558166504;1.768845558166504;1.4722423553466797;1.4722423553466797;1.4722423553466797
9;2.16494083404541;2.16494083404541;2.16494083404541;1.9545865058898926;1.9545865058898926;1.9545865058898926
10;2.216487169265747;2.216487169265747;2.216487169265747;2.142435073852539;2.142435073852539;2.142435073852539
11;2.2669341564178467;2.2669341564178467;2.2669341564178467;2.1808085441589355;2.1808085441589355;2.1808085441589355
12;2.27908992767334;2.27908992767334;2.27908992767334;2.2575981616973877;2.2575981616973877;2.2575981616973877
13;2.7306294441223145;2.7306294441223145;2.7306294441223145;2.2688140869140625;2.2688140869140625;2.2688140869140625
14;3.108995199203491;3.108995199203491;3.108995199203491;2.446643352508545;2.446643352508545;2.446643352508545
15;3.39422869682312;3.39422869682312;3.39422869682312;2.9445862770080566;2.9445862770080566;2.9445862770080566
16;3.7377400398254395;3.7377400398254395;3.7377400398254395;3.0804600715637207;3.0804600715637207;3.0804600715637207
17;3.8733320236206055;3.8733320236206055;3.8733320236206055;3.308198928833008;3.308198928833008;3.308198928833008
18;4.169516324996948;4.169516324996948;4.169516324996948;3.5967905521392822;3.5967905521392822;3.5967905521392822
19;4.392428398132324;4.392428398132324;4.392428398132324;3.741335391998291;3.741335391998291;3.741335391998291
20;4.9781715869903564;4.9781715869903564;4.9781715869903564;4.3939149379730225;4.3939149379730225;4.3939149379730225
21;6.286620140075684;6.286620140075684;6.286620140075684;4.461927890777588;4.461927890777588;4.461927890777588
22;6.392507314682007;6.392507314682007;6.392507314682007;4.733031749725342;4.733031749725342;4.733031749725342
23;6.714429140090942;6.714429140090942;6.714429140090942;5.933776378631592;5.933776378631592;5.933776378631592
24;7.4985737800598145;7.4985737800598145;7.4985737800598145;6.345813751220703;6.345813751220703;6.345813751220703
25;8.127794742584229;8.127794742584229;8.127794742584229;6.773974657058716;6.773974657058716;6.773974657058716
26;10.1396963596344;10.1396963596344;10.1396963596344;6.775426387786865;6.775426387786865;6.775426387786865
27;10.203178644180298;10.203178644180298;10.203178644180298;6.889751434326172;6.889751434326172;6.889751434326172
