n;Storm-static;Storm-staticscaled;Storm-staticshifted
1;0.05812811851501465;0.5217211411775496;1.0
2;0.059091806411743164;0.5220685624005341;1.0
3;0.21421051025390625;0.5811164281063618;1.0
4;0.3923153877258301;0.6571955533865104;1.0
5;0.6642727851867676;0.793015791408;1.0
6;0.6910667419433594;0.8078300841901134;1.0
7;0.8971254825592041;0.931403026441516;1.0
8;1.4722423553466797;1.4722423553466797;1.4722423553466797
9;1.9545865058898926;1.9545865058898926;1.9545865058898926
10;2.142435073852539;2.142435073852539;2.142435073852539
11;2.1808085441589355;2.1808085441589355;2.1808085441589355
12;2.2575981616973877;2.2575981616973877;2.2575981616973877
13;2.2688140869140625;2.2688140869140625;2.2688140869140625
14;2.446643352508545;2.446643352508545;2.446643352508545
15;2.9445862770080566;2.9445862770080566;2.9445862770080566
16;3.0804600715637207;3.0804600715637207;3.0804600715637207
17;3.308198928833008;3.308198928833008;3.308198928833008
18;3.5967905521392822;3.5967905521392822;3.5967905521392822
19;3.741335391998291;3.741335391998291;3.741335391998291
20;4.3939149379730225;4.3939149379730225;4.3939149379730225
21;4.461927890777588;4.461927890777588;4.461927890777588
22;4.733031749725342;4.733031749725342;4.733031749725342
23;5.933776378631592;5.933776378631592;5.933776378631592
24;6.345813751220703;6.345813751220703;6.345813751220703
25;6.773974657058716;6.773974657058716;6.773974657058716
26;6.775426387786865;6.775426387786865;6.775426387786865
27;6.889751434326172;6.889751434326172;6.889751434326172
28;8.219969749450684;8.219969749450684;8.219969749450684
29;10.045049667358398;10.045049667358398;10.045049667358398
30;10.15958547592163;10.15958547592163;10.15958547592163
31;12.492045164108276;12.492045164108276;12.492045164108276
32;12.759975910186768;12.759975910186768;12.759975910186768
33;12.850451946258545;12.850451946258545;12.850451946258545
34;18.84705924987793;18.84705924987793;18.84705924987793
35;21.319919109344482;21.319919109344482;21.319919109344482
36;21.93387508392334;21.93387508392334;21.93387508392334
37;22.983810424804688;22.983810424804688;22.983810424804688
38;24.138248205184937;24.138248205184937;24.138248205184937
39;24.922232151031494;24.922232151031494;24.922232151031494
40;25.328108072280884;25.328108072280884;25.328108072280884
41;29.50862407684326;29.50862407684326;29.50862407684326
42;33.76974010467529;33.76974010467529;33.76974010467529
43;39.68534469604492;39.68534469604492;39.68534469604492
44;44.29549741744995;44.29549741744995;44.29549741744995
45;53.61393761634827;53.61393761634827;53.61393761634827
46;55.254512548446655;55.254512548446655;55.254512548446655
47;60.6494300365448;60.6494300365448;60.6494300365448
48;62.87200951576233;62.87200951576233;62.87200951576233
49;63.16690683364868;63.16690683364868;63.16690683364868
50;79.01687121391296;79.01687121391296;79.01687121391296
51;113.87231206893921;113.87231206893921;113.87231206893921
52;120.4232223033905;120.4232223033905;120.4232223033905
53;149.65225505828857;149.65225505828857;149.65225505828857
54;180.4610435962677;180.4610435962677;180.4610435962677
55;264.89034962654114;264.89034962654114;264.89034962654114
56;362.5325975418091;362.5325975418091;362.5325975418091
57;363.5332942008972;363.5332942008972;363.5332942008972
58;608.996170759201;608.996170759201;608.996170759201
59;1093.4530048370361;1093.4530048370361;1093.4530048370361
60;1333.6585459709167;1333.6585459709167;1333.6585459709167
61;;;
62;;;
63;;;
64;;;
65;;;
66;;;
67;;;
68;;;
69;;;
70;;;
71;;;
72;;;
73;;;
74;;;
75;;;
76;;;
77;;;
78;;;
79;;;
