n;Storm;Stormscaled;Stormshifted
1;0.05789446830749512;0.5216369422610282;1.0
2;0.14899706840515137;0.5555192598450035;1.0
3;0.20150256156921387;0.5760375153694675;1.0
4;0.39360547065734863;0.6577814793136098;1.0
5;0.6826491355895996;0.8031464437289958;1.0
6;0.6894865036010742;0.8069487460860637;1.0
7;0.9379866123199463;0.958067225601634;1.0
8;1.768845558166504;1.768845558166504;1.768845558166504
9;2.16494083404541;2.16494083404541;2.16494083404541
10;2.216487169265747;2.216487169265747;2.216487169265747
11;2.2669341564178467;2.2669341564178467;2.2669341564178467
12;2.27908992767334;2.27908992767334;2.27908992767334
13;2.7306294441223145;2.7306294441223145;2.7306294441223145
14;3.108995199203491;3.108995199203491;3.108995199203491
15;3.39422869682312;3.39422869682312;3.39422869682312
16;3.7377400398254395;3.7377400398254395;3.7377400398254395
17;3.8733320236206055;3.8733320236206055;3.8733320236206055
18;4.169516324996948;4.169516324996948;4.169516324996948
19;4.392428398132324;4.392428398132324;4.392428398132324
20;4.9781715869903564;4.9781715869903564;4.9781715869903564
21;6.286620140075684;6.286620140075684;6.286620140075684
22;6.392507314682007;6.392507314682007;6.392507314682007
23;6.714429140090942;6.714429140090942;6.714429140090942
24;7.4985737800598145;7.4985737800598145;7.4985737800598145
25;8.127794742584229;8.127794742584229;8.127794742584229
26;10.1396963596344;10.1396963596344;10.1396963596344
27;10.203178644180298;10.203178644180298;10.203178644180298
28;11.396338701248169;11.396338701248169;11.396338701248169
29;11.635896444320679;11.635896444320679;11.635896444320679
30;12.117155313491821;12.117155313491821;12.117155313491821
31;13.945918083190918;13.945918083190918;13.945918083190918
32;19.846829652786255;19.846829652786255;19.846829652786255
33;23.133259534835815;23.133259534835815;23.133259534835815
34;23.13333821296692;23.13333821296692;23.13333821296692
35;23.198837518692017;23.198837518692017;23.198837518692017
36;24.567019939422607;24.567019939422607;24.567019939422607
37;25.969027519226074;25.969027519226074;25.969027519226074
38;26.62376356124878;26.62376356124878;26.62376356124878
39;26.96647024154663;26.96647024154663;26.96647024154663
40;29.044142961502075;29.044142961502075;29.044142961502075
41;33.565741777420044;33.565741777420044;33.565741777420044
42;42.26013398170471;42.26013398170471;42.26013398170471
43;46.49849843978882;46.49849843978882;46.49849843978882
44;55.14811706542969;55.14811706542969;55.14811706542969
45;60.469526052474976;60.469526052474976;60.469526052474976
46;61.77132225036621;61.77132225036621;61.77132225036621
47;61.816192626953125;61.816192626953125;61.816192626953125
48;83.69861578941345;83.69861578941345;83.69861578941345
49;111.23198866844177;111.23198866844177;111.23198866844177
50;120.38787984848022;120.38787984848022;120.38787984848022
51;148.83796000480652;148.83796000480652;148.83796000480652
52;179.66518425941467;179.66518425941467;179.66518425941467
53;263.37078833580017;263.37078833580017;263.37078833580017
54;379.62979555130005;379.62979555130005;379.62979555130005
55;381.7367424964905;381.7367424964905;381.7367424964905
56;631.8465120792389;631.8465120792389;631.8465120792389
57;1085.0439291000366;1085.0439291000366;1085.0439291000366
58;1256.3348574638367;1256.3348574638367;1256.3348574638367
59;;;
60;;;
61;;;
62;;;
63;;;
64;;;
65;;;
66;;;
67;;;
68;;;
69;;;
70;;;
71;;;
72;;;
73;;;
74;;;
75;;;
76;;;
77;;;
78;;;
79;;;
