n;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;0.05812811851501465;0.5217211411775496;1.0;0.05789446830749512;0.5216369422610282;1.0
2;0.059091806411743164;0.5220685624005341;1.0;0.14899706840515137;0.5555192598450035;1.0
3;0.21421051025390625;0.5811164281063618;1.0;0.20150256156921387;0.5760375153694675;1.0
4;0.3923153877258301;0.6571955533865104;1.0;0.39360547065734863;0.6577814793136098;1.0
5;0.6642727851867676;0.793015791408;1.0;0.6826491355895996;0.8031464437289958;1.0
6;0.6910667419433594;0.8078300841901134;1.0;0.6894865036010742;0.8069487460860637;1.0
7;0.8971254825592041;0.931403026441516;1.0;0.9379866123199463;0.958067225601634;1.0
8;1.4722423553466797;1.4722423553466797;1.4722423553466797;1.768845558166504;1.768845558166504;1.768845558166504
9;1.9545865058898926;1.9545865058898926;1.9545865058898926;2.16494083404541;2.16494083404541;2.16494083404541
10;2.142435073852539;2.142435073852539;2.142435073852539;2.216487169265747;2.216487169265747;2.216487169265747
11;2.1808085441589355;2.1808085441589355;2.1808085441589355;2.2669341564178467;2.2669341564178467;2.2669341564178467
12;2.2575981616973877;2.2575981616973877;2.2575981616973877;2.27908992767334;2.27908992767334;2.27908992767334
13;2.2688140869140625;2.2688140869140625;2.2688140869140625;2.7306294441223145;2.7306294441223145;2.7306294441223145
14;2.446643352508545;2.446643352508545;2.446643352508545;3.108995199203491;3.108995199203491;3.108995199203491
15;2.9445862770080566;2.9445862770080566;2.9445862770080566;3.39422869682312;3.39422869682312;3.39422869682312
16;3.0804600715637207;3.0804600715637207;3.0804600715637207;3.7377400398254395;3.7377400398254395;3.7377400398254395
17;3.308198928833008;3.308198928833008;3.308198928833008;3.8733320236206055;3.8733320236206055;3.8733320236206055
18;3.5967905521392822;3.5967905521392822;3.5967905521392822;4.169516324996948;4.169516324996948;4.169516324996948
19;3.741335391998291;3.741335391998291;3.741335391998291;4.392428398132324;4.392428398132324;4.392428398132324
20;4.3939149379730225;4.3939149379730225;4.3939149379730225;4.9781715869903564;4.9781715869903564;4.9781715869903564
21;4.461927890777588;4.461927890777588;4.461927890777588;6.286620140075684;6.286620140075684;6.286620140075684
22;4.733031749725342;4.733031749725342;4.733031749725342;6.392507314682007;6.392507314682007;6.392507314682007
23;5.933776378631592;5.933776378631592;5.933776378631592;6.714429140090942;6.714429140090942;6.714429140090942
24;6.345813751220703;6.345813751220703;6.345813751220703;7.4985737800598145;7.4985737800598145;7.4985737800598145
25;6.773974657058716;6.773974657058716;6.773974657058716;8.127794742584229;8.127794742584229;8.127794742584229
26;6.775426387786865;6.775426387786865;6.775426387786865;10.1396963596344;10.1396963596344;10.1396963596344
27;6.889751434326172;6.889751434326172;6.889751434326172;10.203178644180298;10.203178644180298;10.203178644180298
28;8.219969749450684;8.219969749450684;8.219969749450684;11.396338701248169;11.396338701248169;11.396338701248169
29;10.045049667358398;10.045049667358398;10.045049667358398;11.635896444320679;11.635896444320679;11.635896444320679
30;10.15958547592163;10.15958547592163;10.15958547592163;12.117155313491821;12.117155313491821;12.117155313491821
31;12.492045164108276;12.492045164108276;12.492045164108276;13.945918083190918;13.945918083190918;13.945918083190918
32;12.759975910186768;12.759975910186768;12.759975910186768;19.846829652786255;19.846829652786255;19.846829652786255
33;12.850451946258545;12.850451946258545;12.850451946258545;23.133259534835815;23.133259534835815;23.133259534835815
34;18.84705924987793;18.84705924987793;18.84705924987793;23.13333821296692;23.13333821296692;23.13333821296692
35;21.319919109344482;21.319919109344482;21.319919109344482;23.198837518692017;23.198837518692017;23.198837518692017
36;21.93387508392334;21.93387508392334;21.93387508392334;24.567019939422607;24.567019939422607;24.567019939422607
37;22.983810424804688;22.983810424804688;22.983810424804688;25.969027519226074;25.969027519226074;25.969027519226074
38;24.138248205184937;24.138248205184937;24.138248205184937;26.62376356124878;26.62376356124878;26.62376356124878
39;24.922232151031494;24.922232151031494;24.922232151031494;26.96647024154663;26.96647024154663;26.96647024154663
40;25.328108072280884;25.328108072280884;25.328108072280884;29.044142961502075;29.044142961502075;29.044142961502075
41;29.50862407684326;29.50862407684326;29.50862407684326;33.565741777420044;33.565741777420044;33.565741777420044
42;33.76974010467529;33.76974010467529;33.76974010467529;42.26013398170471;42.26013398170471;42.26013398170471
43;39.68534469604492;39.68534469604492;39.68534469604492;46.49849843978882;46.49849843978882;46.49849843978882
44;44.29549741744995;44.29549741744995;44.29549741744995;55.14811706542969;55.14811706542969;55.14811706542969
45;53.61393761634827;53.61393761634827;53.61393761634827;60.469526052474976;60.469526052474976;60.469526052474976
46;55.254512548446655;55.254512548446655;55.254512548446655;61.77132225036621;61.77132225036621;61.77132225036621
47;60.6494300365448;60.6494300365448;60.6494300365448;61.816192626953125;61.816192626953125;61.816192626953125
48;62.87200951576233;62.87200951576233;62.87200951576233;83.69861578941345;83.69861578941345;83.69861578941345
49;63.16690683364868;63.16690683364868;63.16690683364868;111.23198866844177;111.23198866844177;111.23198866844177
50;79.01687121391296;79.01687121391296;79.01687121391296;120.38787984848022;120.38787984848022;120.38787984848022
51;113.87231206893921;113.87231206893921;113.87231206893921;148.83796000480652;148.83796000480652;148.83796000480652
52;120.4232223033905;120.4232223033905;120.4232223033905;179.66518425941467;179.66518425941467;179.66518425941467
