n;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;0.05805468559265137;0.5216946771965553;1.0;0.05789446830749512;0.5216369422610282;1.0
2;0.0743565559387207;0.5276026482537076;1.0;0.14899706840515137;0.5555192598450035;1.0
3;0.21421051025390625;0.5811164281063618;1.0;0.20150256156921387;0.5760375153694675;1.0
4;0.3880298137664795;0.6552528885614496;1.0;0.39360547065734863;0.6577814793136098;1.0
5;0.6837470531463623;0.8037557927420639;1.0;0.6826491355895996;0.8031464437289958;1.0
6;0.6911580562591553;0.8078810418566614;1.0;0.6894865036010742;0.8069487460860637;1.0
7;4.3939149379730225;4.3939149379730225;4.3939149379730225;0.9379866123199463;0.958067225601634;1.0
8;6.945496559143066;6.945496559143066;6.945496559143066;1.768845558166504;1.768845558166504;1.768845558166504
9;8.219969749450684;8.219969749450684;8.219969749450684;2.16494083404541;2.16494083404541;2.16494083404541
10;9.781537294387817;9.781537294387817;9.781537294387817;2.216487169265747;2.216487169265747;2.216487169265747
11;11.480687618255615;11.480687618255615;11.480687618255615;2.2669341564178467;2.2669341564178467;2.2669341564178467
12;12.492045164108276;12.492045164108276;12.492045164108276;2.27908992767334;2.27908992767334;2.27908992767334
13;21.602163314819336;21.602163314819336;21.602163314819336;2.7306294441223145;2.7306294441223145;2.7306294441223145
14;23.05221939086914;23.05221939086914;23.05221939086914;3.108995199203491;3.108995199203491;3.108995199203491
15;24.922232151031494;24.922232151031494;24.922232151031494;3.39422869682312;3.39422869682312;3.39422869682312
16;26.445937395095825;26.445937395095825;26.445937395095825;3.7377400398254395;3.7377400398254395;3.7377400398254395
17;26.949522972106934;26.949522972106934;26.949522972106934;3.8733320236206055;3.8733320236206055;3.8733320236206055
18;29.50862407684326;29.50862407684326;29.50862407684326;4.169516324996948;4.169516324996948;4.169516324996948
19;33.76974010467529;33.76974010467529;33.76974010467529;4.392428398132324;4.392428398132324;4.392428398132324
20;35.676105976104736;35.676105976104736;35.676105976104736;4.9781715869903564;4.9781715869903564;4.9781715869903564
21;36.902015209198;36.902015209198;36.902015209198;6.286620140075684;6.286620140075684;6.286620140075684
22;41.70446443557739;41.70446443557739;41.70446443557739;6.392507314682007;6.392507314682007;6.392507314682007
23;54.872095823287964;54.872095823287964;54.872095823287964;6.714429140090942;6.714429140090942;6.714429140090942
24;55.254512548446655;55.254512548446655;55.254512548446655;7.4985737800598145;7.4985737800598145;7.4985737800598145
25;64.5777235031128;64.5777235031128;64.5777235031128;8.127794742584229;8.127794742584229;8.127794742584229
26;76.26245617866516;76.26245617866516;76.26245617866516;10.1396963596344;10.1396963596344;10.1396963596344
27;85.08009696006775;85.08009696006775;85.08009696006775;10.203178644180298;10.203178644180298;10.203178644180298
28;107.17447090148926;107.17447090148926;107.17447090148926;11.396338701248169;11.396338701248169;11.396338701248169
29;120.4232223033905;120.4232223033905;120.4232223033905;11.635896444320679;11.635896444320679;11.635896444320679
30;140.55977034568787;140.55977034568787;140.55977034568787;12.117155313491821;12.117155313491821;12.117155313491821
31;148.90492415428162;148.90492415428162;148.90492415428162;13.945918083190918;13.945918083190918;13.945918083190918
32;149.65225505828857;149.65225505828857;149.65225505828857;19.846829652786255;19.846829652786255;19.846829652786255
33;152.66473937034607;152.66473937034607;152.66473937034607;23.133259534835815;23.133259534835815;23.133259534835815
34;180.4610435962677;180.4610435962677;180.4610435962677;23.13333821296692;23.13333821296692;23.13333821296692
35;264.89034962654114;264.89034962654114;264.89034962654114;23.198837518692017;23.198837518692017;23.198837518692017
36;296.93585109710693;296.93585109710693;296.93585109710693;24.567019939422607;24.567019939422607;24.567019939422607
37;361.30269408226013;361.30269408226013;361.30269408226013;25.969027519226074;25.969027519226074;25.969027519226074
38;362.5325975418091;362.5325975418091;362.5325975418091;26.62376356124878;26.62376356124878;26.62376356124878
39;363.5332942008972;363.5332942008972;363.5332942008972;26.96647024154663;26.96647024154663;26.96647024154663
40;398.2325966358185;398.2325966358185;398.2325966358185;29.044142961502075;29.044142961502075;29.044142961502075
41;432.9323706626892;432.9323706626892;432.9323706626892;33.565741777420044;33.565741777420044;33.565741777420044
42;435.64355516433716;435.64355516433716;435.64355516433716;42.26013398170471;42.26013398170471;42.26013398170471
43;832.8982346057892;832.8982346057892;832.8982346057892;46.49849843978882;46.49849843978882;46.49849843978882
44;1361.8617415428162;1361.8617415428162;1361.8617415428162;55.14811706542969;55.14811706542969;55.14811706542969
45;;;;60.469526052474976;60.469526052474976;60.469526052474976
46;;;;61.77132225036621;61.77132225036621;61.77132225036621
47;;;;61.816192626953125;61.816192626953125;61.816192626953125
48;;;;83.69861578941345;83.69861578941345;83.69861578941345
49;;;;111.23198866844177;111.23198866844177;111.23198866844177
50;;;;120.38787984848022;120.38787984848022;120.38787984848022
51;;;;148.83796000480652;148.83796000480652;148.83796000480652
52;;;;179.66518425941467;179.66518425941467;179.66518425941467
53;;;;263.37078833580017;263.37078833580017;263.37078833580017
54;;;;379.62979555130005;379.62979555130005;379.62979555130005
55;;;;381.7367424964905;381.7367424964905;381.7367424964905
56;;;;631.8465120792389;631.8465120792389;631.8465120792389
57;;;;1085.0439291000366;1085.0439291000366;1085.0439291000366
58;;;;1256.3348574638367;1256.3348574638367;1256.3348574638367
59;;;;;;
60;;;;;;
61;;;;;;
62;;;;;;
63;;;;;;
64;;;;;;
65;;;;;;
66;;;;;;
67;;;;;;
68;;;;;;
69;;;;;;
70;;;;;;
71;;;;;;
72;;;;;;
73;;;;;;
74;;;;;;
75;;;;;;
76;;;;;;
77;;;;;;
78;;;;;;
79;;;;;;
