n;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;PRISM;PRISMscaled;PRISMshifted;mcsta;mcstascaled;mcstashifted;PRISM-TUM;PRISM-TUMscaled;PRISM-TUMshifted
1;0.05773663520812988;0.5215800727238303;1.0;0.08191394805908203;0.5303641795450432;1.0;1.6637887954711914;1.6637887954711914;1.6637887954711914;0.5755856037139893;0.7458915395869395;1.0;0.7072618007659912;0.8169181407096249;1.0
2;0.0590822696685791;0.5220651231553205;1.0;0.1027524471282959;0.5380538386482377;1.0;1.6678879261016846;1.6678879261016846;1.6678879261016846;0.6173396110534668;0.7677182829686423;1.0;0.9578907489776611;0.9713309446243447;1.0
3;0.0793914794921875;0.5294408460815107;1.0;0.15395784378051758;0.557426168787137;1.0;1.6802911758422852;1.6802911758422852;1.6802911758422852;0.7770628929138184;0.8572724515030918;1.0;1.2535321712493896;1.2535321712493896;1.2535321712493896
4;0.0998842716217041;0.5369888665122815;1.0;0.16910052299499512;0.5632875558394658;1.0;9.860687971115112;9.860687971115112;9.860687971115112;1.4287035465240479;1.4287035465240479;1.4287035465240479;5.798058032989502;5.798058032989502;5.798058032989502
5;0.1541273593902588;0.5574914456719072;1.0;0.25651979446411133;0.5983508858588394;1.0;10.866581439971924;10.866581439971924;10.866581439971924;1.6188671588897705;1.6188671588897705;1.6188671588897705;24.536492586135864;24.536492586135864;24.536492586135864
6;0.16639447212219238;0.562235600716774;1.0;0.36247920989990234;0.6437893128734731;1.0;14.927441120147705;14.927441120147705;14.927441120147705;3.0912322998046875;3.0912322998046875;3.0912322998046875;37.16520047187805;37.16520047187805;37.16520047187805
7;0.2558293342590332;0.5980655686480644;1.0;0.3788769245147705;0.6511230613164263;1.0;16.05742835998535;16.05742835998535;16.05742835998535;3.658759117126465;3.658759117126465;3.658759117126465;41.34941029548645;41.34941029548645;41.34941029548645
8;0.36586451530456543;0.6452965669104422;1.0;0.725492000579834;0.8272706186100282;1.0;16.072890758514404;16.072890758514404;16.072890758514404;4.43337869644165;4.43337869644165;4.43337869644165;59.041176319122314;59.041176319122314;59.041176319122314
9;0.3819291591644287;0.6524973433050726;1.0;0.7776095867156982;0.8575962553231897;1.0;17.49091148376465;17.49091148376465;17.49091148376465;4.455019235610962;4.455019235610962;4.455019235610962;248.33732914924622;248.33732914924622;248.33732914924622
10;0.720970869064331;0.824691010754468;1.0;2.521324396133423;2.521324396133423;2.521324396133423;18.34593915939331;18.34593915939331;18.34593915939331;4.775858163833618;4.775858163833618;4.775858163833618;;;
11;0.761833667755127;0.8483012370635707;1.0;2.706317901611328;2.706317901611328;2.706317901611328;23.160612106323242;23.160612106323242;23.160612106323242;5.612792491912842;5.612792491912842;5.612792491912842;;;
12;0.9160435199737549;0.943654588497375;1.0;2.7310752868652344;2.7310752868652344;2.7310752868652344;23.52586030960083;23.52586030960083;23.52586030960083;5.793745040893555;5.793745040893555;5.793745040893555;;;
13;1.5427393913269043;1.5427393913269043;1.5427393913269043;3.349825859069824;3.349825859069824;3.349825859069824;27.328224658966064;27.328224658966064;27.328224658966064;5.85488486289978;5.85488486289978;5.85488486289978;;;
14;1.905656337738037;1.905656337738037;1.905656337738037;4.010963439941406;4.010963439941406;4.010963439941406;30.526582956314087;30.526582956314087;30.526582956314087;5.944459915161133;5.944459915161133;5.944459915161133;;;
15;1.940492868423462;1.940492868423462;1.940492868423462;4.286552429199219;4.286552429199219;4.286552429199219;37.29662275314331;37.29662275314331;37.29662275314331;6.741584300994873;6.741584300994873;6.741584300994873;;;
16;2.2112386226654053;2.2112386226654053;2.2112386226654053;5.8338963985443115;5.8338963985443115;5.8338963985443115;49.68142890930176;49.68142890930176;49.68142890930176;6.934811353683472;6.934811353683472;6.934811353683472;;;
17;2.2439589500427246;2.2439589500427246;2.2439589500427246;8.17256760597229;8.17256760597229;8.17256760597229;51.32397675514221;51.32397675514221;51.32397675514221;7.4150354862213135;7.4150354862213135;7.4150354862213135;;;
