n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;PRISM;PRISMscaled;PRISMshifted
1;3.0912322998046875;3.0912322998046875;3.0912322998046875;0.725492000579834;0.8272706186100282;1.0;1.6637887954711914;1.6637887954711914;1.6637887954711914
2;3.658759117126465;3.658759117126465;3.658759117126465;0.7776095867156982;0.8575962553231897;1.0;1.6678879261016846;1.6678879261016846;1.6678879261016846
3;4.43337869644165;4.43337869644165;4.43337869644165;2.521324396133423;2.521324396133423;2.521324396133423;1.6802911758422852;1.6802911758422852;1.6802911758422852
4;4.455019235610962;4.455019235610962;4.455019235610962;2.7310752868652344;2.7310752868652344;2.7310752868652344;9.860687971115112;9.860687971115112;9.860687971115112
5;5.793745040893555;5.793745040893555;5.793745040893555;3.349825859069824;3.349825859069824;3.349825859069824;10.866581439971924;10.866581439971924;10.866581439971924
6;5.85488486289978;5.85488486289978;5.85488486289978;4.010963439941406;4.010963439941406;4.010963439941406;14.927441120147705;14.927441120147705;14.927441120147705
7;5.944459915161133;5.944459915161133;5.944459915161133;4.286552429199219;4.286552429199219;4.286552429199219;16.072890758514404;16.072890758514404;16.072890758514404
8;6.741584300994873;6.741584300994873;6.741584300994873;5.8338963985443115;5.8338963985443115;5.8338963985443115;17.49091148376465;17.49091148376465;17.49091148376465
9;6.934811353683472;6.934811353683472;6.934811353683472;10.094582796096802;10.094582796096802;10.094582796096802;23.160612106323242;23.160612106323242;23.160612106323242
10;7.716775894165039;7.716775894165039;7.716775894165039;10.283540487289429;10.283540487289429;10.283540487289429;27.328224658966064;27.328224658966064;27.328224658966064
11;9.742437362670898;9.742437362670898;9.742437362670898;12.812387466430664;12.812387466430664;12.812387466430664;49.68142890930176;49.68142890930176;49.68142890930176
12;13.372882604598999;13.372882604598999;13.372882604598999;15.401335954666138;15.401335954666138;15.401335954666138;51.74032163619995;51.74032163619995;51.74032163619995
13;15.006984233856201;15.006984233856201;15.006984233856201;15.47986888885498;15.47986888885498;15.47986888885498;53.79197669029236;53.79197669029236;53.79197669029236
14;16.4165301322937;16.4165301322937;16.4165301322937;16.778549194335938;16.778549194335938;16.778549194335938;54.00314116477966;54.00314116477966;54.00314116477966
15;17.554176330566406;17.554176330566406;17.554176330566406;16.839864492416382;16.839864492416382;16.839864492416382;56.15145516395569;56.15145516395569;56.15145516395569
16;17.638596296310425;17.638596296310425;17.638596296310425;18.7403507232666;18.7403507232666;18.7403507232666;58.00962686538696;58.00962686538696;58.00962686538696
17;24.83673930168152;24.83673930168152;24.83673930168152;22.844069957733154;22.844069957733154;22.844069957733154;58.63333249092102;58.63333249092102;58.63333249092102
18;31.547567129135132;31.547567129135132;31.547567129135132;25.6209614276886;25.6209614276886;25.6209614276886;60.594013929367065;60.594013929367065;60.594013929367065
19;34.8837206363678;34.8837206363678;34.8837206363678;38.42928433418274;38.42928433418274;38.42928433418274;65.42909288406372;65.42909288406372;65.42909288406372
20;38.592076778411865;38.592076778411865;38.592076778411865;50.95739698410034;50.95739698410034;50.95739698410034;65.6973922252655;65.6973922252655;65.6973922252655
21;52.1372435092926;52.1372435092926;52.1372435092926;54.76093506813049;54.76093506813049;54.76093506813049;67.62052202224731;67.62052202224731;67.62052202224731
22;94.67513275146484;94.67513275146484;94.67513275146484;58.39931845664978;58.39931845664978;58.39931845664978;91.39933586120605;91.39933586120605;91.39933586120605
23;102.39689588546753;102.39689588546753;102.39689588546753;61.572596311569214;61.572596311569214;61.572596311569214;97.3213300704956;97.3213300704956;97.3213300704956
24;107.16213178634644;107.16213178634644;107.16213178634644;65.05634808540344;65.05634808540344;65.05634808540344;99.07485222816467;99.07485222816467;99.07485222816467
25;133.58866024017334;133.58866024017334;133.58866024017334;71.43869113922119;71.43869113922119;71.43869113922119;100.30750513076782;100.30750513076782;100.30750513076782
26;153.74606847763062;153.74606847763062;153.74606847763062;90.11320543289185;90.11320543289185;90.11320543289185;120.44681477546692;120.44681477546692;120.44681477546692
27;173.04456162452698;173.04456162452698;173.04456162452698;115.52258896827698;115.52258896827698;115.52258896827698;121.32249283790588;121.32249283790588;121.32249283790588
28;187.3759527206421;187.3759527206421;187.3759527206421;175.18121123313904;175.18121123313904;175.18121123313904;136.04128742218018;136.04128742218018;136.04128742218018
29;275.48971247673035;275.48971247673035;275.48971247673035;187.60143303871155;187.60143303871155;187.60143303871155;166.6452181339264;166.6452181339264;166.6452181339264
30;286.7274241447449;286.7274241447449;286.7274241447449;203.3464035987854;203.3464035987854;203.3464035987854;221.09106278419495;221.09106278419495;221.09106278419495
31;293.5284035205841;293.5284035205841;293.5284035205841;251.73936486244202;251.73936486244202;251.73936486244202;241.07750391960144;241.07750391960144;241.07750391960144
32;732.2853336334229;732.2853336334229;732.2853336334229;270.77259159088135;270.77259159088135;270.77259159088135;309.71330881118774;309.71330881118774;309.71330881118774
33;788.7622807025909;788.7622807025909;788.7622807025909;450.2413065433502;450.2413065433502;450.2413065433502;420.44023418426514;420.44023418426514;420.44023418426514
34;;;;622.0803983211517;622.0803983211517;622.0803983211517;453.78631138801575;453.78631138801575;453.78631138801575
35;;;;822.566379070282;822.566379070282;822.566379070282;629.9062688350677;629.9062688350677;629.9062688350677
36;;;;929.2023448944092;929.2023448944092;929.2023448944092;1103.403888463974;1103.403888463974;1103.403888463974
37;;;;;;;;;
38;;;;;;;;;
39;;;;;;;;;
40;;;;;;;;;
41;;;;;;;;;
42;;;;;;;;;
43;;;;;;;;;
