n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted
1;0.5755856037139893;0.7458915395869395;1.0;0.08191394805908203;0.5303641795450432;1.0
2;0.7770628929138184;0.8572724515030918;1.0;0.1027524471282959;0.5380538386482377;1.0
3;1.4287035465240479;1.4287035465240479;1.4287035465240479;0.15395784378051758;0.557426168787137;1.0
4;1.6188671588897705;1.6188671588897705;1.6188671588897705;0.16910052299499512;0.5632875558394658;1.0
5;3.0912322998046875;3.0912322998046875;3.0912322998046875;0.25651979446411133;0.5983508858588394;1.0
6;3.658759117126465;3.658759117126465;3.658759117126465;0.36247920989990234;0.6437893128734731;1.0
7;4.43337869644165;4.43337869644165;4.43337869644165;0.3788769245147705;0.6511230613164263;1.0
8;4.455019235610962;4.455019235610962;4.455019235610962;0.725492000579834;0.8272706186100282;1.0
9;4.775858163833618;4.775858163833618;4.775858163833618;0.7776095867156982;0.8575962553231897;1.0
10;5.612792491912842;5.612792491912842;5.612792491912842;2.521324396133423;2.521324396133423;2.521324396133423
11;5.793745040893555;5.793745040893555;5.793745040893555;2.706317901611328;2.706317901611328;2.706317901611328
12;5.85488486289978;5.85488486289978;5.85488486289978;2.7310752868652344;2.7310752868652344;2.7310752868652344
13;5.944459915161133;5.944459915161133;5.944459915161133;3.349825859069824;3.349825859069824;3.349825859069824
14;6.741584300994873;6.741584300994873;6.741584300994873;4.010963439941406;4.010963439941406;4.010963439941406
15;6.934811353683472;6.934811353683472;6.934811353683472;4.286552429199219;4.286552429199219;4.286552429199219
16;7.4150354862213135;7.4150354862213135;7.4150354862213135;5.8338963985443115;5.8338963985443115;5.8338963985443115
17;7.716775894165039;7.716775894165039;7.716775894165039;8.17256760597229;8.17256760597229;8.17256760597229
18;9.742437362670898;9.742437362670898;9.742437362670898;9.037866592407227;9.037866592407227;9.037866592407227
19;13.372882604598999;13.372882604598999;13.372882604598999;9.348163366317749;9.348163366317749;9.348163366317749
20;13.540799140930176;13.540799140930176;13.540799140930176;9.499298095703125;9.499298095703125;9.499298095703125
21;14.378597259521484;14.378597259521484;14.378597259521484;10.094582796096802;10.094582796096802;10.094582796096802
22;15.006984233856201;15.006984233856201;15.006984233856201;10.283540487289429;10.283540487289429;10.283540487289429
23;15.103620767593384;15.103620767593384;15.103620767593384;12.812387466430664;12.812387466430664;12.812387466430664
24;16.4165301322937;16.4165301322937;16.4165301322937;15.401335954666138;15.401335954666138;15.401335954666138
25;17.554176330566406;17.554176330566406;17.554176330566406;15.47986888885498;15.47986888885498;15.47986888885498
26;17.638596296310425;17.638596296310425;17.638596296310425;16.778549194335938;16.778549194335938;16.778549194335938
27;18.377565145492554;18.377565145492554;18.377565145492554;16.839864492416382;16.839864492416382;16.839864492416382
28;20.523709535598755;20.523709535598755;20.523709535598755;18.7403507232666;18.7403507232666;18.7403507232666
29;21.660690784454346;21.660690784454346;21.660690784454346;22.844069957733154;22.844069957733154;22.844069957733154
30;24.83673930168152;24.83673930168152;24.83673930168152;22.88879656791687;22.88879656791687;22.88879656791687
31;24.932472705841064;24.932472705841064;24.932472705841064;24.356085538864136;24.356085538864136;24.356085538864136
32;26.42363739013672;26.42363739013672;26.42363739013672;25.23244547843933;25.23244547843933;25.23244547843933
33;29.406187295913696;29.406187295913696;29.406187295913696;25.6209614276886;25.6209614276886;25.6209614276886
34;30.969996690750122;30.969996690750122;30.969996690750122;26.376999139785767;26.376999139785767;26.376999139785767
35;31.393735647201538;31.393735647201538;31.393735647201538;30.256913661956787;30.256913661956787;30.256913661956787
36;31.547567129135132;31.547567129135132;31.547567129135132;33.81913208961487;33.81913208961487;33.81913208961487
37;32.1480667591095;32.1480667591095;32.1480667591095;38.42928433418274;38.42928433418274;38.42928433418274
38;34.8837206363678;34.8837206363678;34.8837206363678;38.651203632354736;38.651203632354736;38.651203632354736
39;36.19031739234924;36.19031739234924;36.19031739234924;44.786712408065796;44.786712408065796;44.786712408065796
40;38.592076778411865;38.592076778411865;38.592076778411865;48.22420382499695;48.22420382499695;48.22420382499695
41;46.59911608695984;46.59911608695984;46.59911608695984;50.95739698410034;50.95739698410034;50.95739698410034
42;52.1372435092926;52.1372435092926;52.1372435092926;54.76093506813049;54.76093506813049;54.76093506813049
43;63.02658224105835;63.02658224105835;63.02658224105835;57.09825539588928;57.09825539588928;57.09825539588928
44;84.2539849281311;84.2539849281311;84.2539849281311;57.566176891326904;57.566176891326904;57.566176891326904
45;94.67513275146484;94.67513275146484;94.67513275146484;58.33520221710205;58.33520221710205;58.33520221710205
46;102.39689588546753;102.39689588546753;102.39689588546753;58.39931845664978;58.39931845664978;58.39931845664978
47;107.16213178634644;107.16213178634644;107.16213178634644;59.000834941864014;59.000834941864014;59.000834941864014
48;133.58866024017334;133.58866024017334;133.58866024017334;61.572596311569214;61.572596311569214;61.572596311569214
49;143.44368028640747;143.44368028640747;143.44368028640747;65.05634808540344;65.05634808540344;65.05634808540344
50;153.74606847763062;153.74606847763062;153.74606847763062;65.33126592636108;65.33126592636108;65.33126592636108
51;163.4789719581604;163.4789719581604;163.4789719581604;68.44365859031677;68.44365859031677;68.44365859031677
52;171.73880887031555;171.73880887031555;171.73880887031555;71.43869113922119;71.43869113922119;71.43869113922119
53;173.04456162452698;173.04456162452698;173.04456162452698;90.11320543289185;90.11320543289185;90.11320543289185
54;187.3759527206421;187.3759527206421;187.3759527206421;98.27381205558777;98.27381205558777;98.27381205558777
55;232.88129138946533;232.88129138946533;232.88129138946533;115.52258896827698;115.52258896827698;115.52258896827698
56;246.28502535820007;246.28502535820007;246.28502535820007;159.89765620231628;159.89765620231628;159.89765620231628
57;275.48971247673035;275.48971247673035;275.48971247673035;175.18121123313904;175.18121123313904;175.18121123313904
58;286.7274241447449;286.7274241447449;286.7274241447449;187.60143303871155;187.60143303871155;187.60143303871155
59;293.5284035205841;293.5284035205841;293.5284035205841;189.17512202262878;189.17512202262878;189.17512202262878
60;424.4119780063629;424.4119780063629;424.4119780063629;203.3464035987854;203.3464035987854;203.3464035987854
61;732.2853336334229;732.2853336334229;732.2853336334229;251.73936486244202;251.73936486244202;251.73936486244202
62;788.7622807025909;788.7622807025909;788.7622807025909;270.77259159088135;270.77259159088135;270.77259159088135
63;1797.438803911209;1797.438803911209;1797.438803911209;273.16239285469055;273.16239285469055;273.16239285469055
64;;;;450.2413065433502;450.2413065433502;450.2413065433502
65;;;;490.5423345565796;490.5423345565796;490.5423345565796
66;;;;622.0803983211517;622.0803983211517;622.0803983211517
67;;;;822.566379070282;822.566379070282;822.566379070282
68;;;;929.2023448944092;929.2023448944092;929.2023448944092
69;;;;;;
70;;;;;;
71;;;;;;
72;;;;;;
73;;;;;;
74;;;;;;
75;;;;;;
76;;;;;;
77;;;;;;
78;;;;;;
79;;;;;;
80;;;;;;
81;;;;;;
82;;;;;;
83;;;;;;
84;;;;;;
85;;;;;;
86;;;;;;
