n;mcsta;mcstascaled;mcstashifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;0.5755856037139893;0.7458915395869395;1.0;0.7072618007659912;0.8169181407096249;1.0;1.6276671886444092;1.6276671886444092;1.6276671886444092;0.05738496780395508;0.52145338419275;1.0;0.05773663520812988;0.5215800727238303;1.0
2;0.6173396110534668;0.7677182829686423;1.0;0.9578907489776611;0.9713309446243447;1.0;1.665952205657959;1.665952205657959;1.665952205657959;0.058670997619628906;0.5219168272602017;1.0;0.0590822696685791;0.5220651231553205;1.0
3;0.7770628929138184;0.8572724515030918;1.0;1.2535321712493896;1.2535321712493896;1.2535321712493896;1.6688551902770996;1.6688551902770996;1.6688551902770996;0.08191394805908203;0.5303641795450432;1.0;0.0793914794921875;0.5294408460815107;1.0
4;1.4287035465240479;1.4287035465240479;1.4287035465240479;5.798058032989502;5.798058032989502;5.798058032989502;1.674776315689087;1.674776315689087;1.674776315689087;0.1027524471282959;0.5380538386482377;1.0;0.0998842716217041;0.5369888665122815;1.0
5;1.6188671588897705;1.6188671588897705;1.6188671588897705;24.536492586135864;24.536492586135864;24.536492586135864;1.8639512062072754;1.8639512062072754;1.8639512062072754;0.15395784378051758;0.557426168787137;1.0;0.1541273593902588;0.5574914456719072;1.0
6;3.0912322998046875;3.0912322998046875;3.0912322998046875;37.16520047187805;37.16520047187805;37.16520047187805;3.323509931564331;3.323509931564331;3.323509931564331;0.16910052299499512;0.5632875558394658;1.0;0.16639447212219238;0.562235600716774;1.0
7;3.658759117126465;3.658759117126465;3.658759117126465;41.34941029548645;41.34941029548645;41.34941029548645;4.742913484573364;4.742913484573364;4.742913484573364;0.25651979446411133;0.5983508858588394;1.0;0.2558293342590332;0.5980655686480644;1.0
8;4.43337869644165;4.43337869644165;4.43337869644165;59.041176319122314;59.041176319122314;59.041176319122314;9.912076473236084;9.912076473236084;9.912076473236084;0.36247920989990234;0.6437893128734731;1.0;0.36586451530456543;0.6452965669104422;1.0
9;4.455019235610962;4.455019235610962;4.455019235610962;248.33732914924622;248.33732914924622;248.33732914924622;10.79970407485962;10.79970407485962;10.79970407485962;0.39992547035217285;0.6606594342327091;1.0;0.3819291591644287;0.6524973433050726;1.0
10;4.775858163833618;4.775858163833618;4.775858163833618;;;;14.994486331939697;14.994486331939697;14.994486331939697;0.6642203330993652;0.7929870588900031;1.0;0.720970869064331;0.824691010754468;1.0
11;5.612792491912842;5.612792491912842;5.612792491912842;;;;15.919564008712769;15.919564008712769;15.919564008712769;0.6937885284423828;0.8093503493871351;1.0;0.761833667755127;0.8483012370635707;1.0
12;5.793745040893555;5.793745040893555;5.793745040893555;;;;16.05951762199402;16.05951762199402;16.05951762199402;0.8796257972717285;0.9202116754113877;1.0;0.9160435199737549;0.943654588497375;1.0
13;5.85488486289978;5.85488486289978;5.85488486289978;;;;17.61607336997986;17.61607336997986;17.61607336997986;1.433549404144287;1.433549404144287;1.433549404144287;1.5427393913269043;1.5427393913269043;1.5427393913269043
14;5.944459915161133;5.944459915161133;5.944459915161133;;;;17.805126667022705;17.805126667022705;17.805126667022705;1.4831013679504395;1.4831013679504395;1.4831013679504395;1.905656337738037;1.905656337738037;1.905656337738037
15;6.741584300994873;6.741584300994873;6.741584300994873;;;;23.138051986694336;23.138051986694336;23.138051986694336;1.6944959163665771;1.6944959163665771;1.6944959163665771;1.940492868423462;1.940492868423462;1.940492868423462
16;6.934811353683472;6.934811353683472;6.934811353683472;;;;23.454471111297607;23.454471111297607;23.454471111297607;2.193664312362671;2.193664312362671;2.193664312362671;2.2112386226654053;2.2112386226654053;2.2112386226654053
17;7.58325982093811;7.58325982093811;7.58325982093811;;;;27.552652835845947;27.552652835845947;27.552652835845947;2.313897132873535;2.313897132873535;2.313897132873535;2.2439589500427246;2.2439589500427246;2.2439589500427246
18;7.716775894165039;7.716775894165039;7.716775894165039;;;;30.594868183135986;30.594868183135986;30.594868183135986;2.3455748558044434;2.3455748558044434;2.3455748558044434;2.5018160343170166;2.5018160343170166;2.5018160343170166
19;7.954316139221191;7.954316139221191;7.954316139221191;;;;37.278345823287964;37.278345823287964;37.278345823287964;2.366802453994751;2.366802453994751;2.366802453994751;2.6328952312469482;2.6328952312469482;2.6328952312469482
20;9.742437362670898;9.742437362670898;9.742437362670898;;;;48.82263207435608;48.82263207435608;48.82263207435608;2.521324396133423;2.521324396133423;2.521324396133423;2.752821207046509;2.752821207046509;2.752821207046509
21;11.21123719215393;11.21123719215393;11.21123719215393;;;;51.29620695114136;51.29620695114136;51.29620695114136;2.5483968257904053;2.5483968257904053;2.5483968257904053;2.7680435180664062;2.7680435180664062;2.7680435180664062
22;13.372882604598999;13.372882604598999;13.372882604598999;;;;51.84496235847473;51.84496235847473;51.84496235847473;2.706317901611328;2.706317901611328;2.706317901611328;2.9710896015167236;2.9710896015167236;2.9710896015167236
23;14.378597259521484;14.378597259521484;14.378597259521484;;;;53.798011779785156;53.798011779785156;53.798011779785156;2.7310752868652344;2.7310752868652344;2.7310752868652344;3.4181132316589355;3.4181132316589355;3.4181132316589355
24;15.006984233856201;15.006984233856201;15.006984233856201;;;;56.32371640205383;56.32371640205383;56.32371640205383;2.765669584274292;2.765669584274292;2.765669584274292;3.7900478839874268;3.7900478839874268;3.7900478839874268
25;15.103620767593384;15.103620767593384;15.103620767593384;;;;57.077486753463745;57.077486753463745;57.077486753463745;2.7979609966278076;2.7979609966278076;2.7979609966278076;3.8154256343841553;3.8154256343841553;3.8154256343841553
26;16.4165301322937;16.4165301322937;16.4165301322937;;;;58.6254403591156;58.6254403591156;58.6254403591156;3.202493906021118;3.202493906021118;3.202493906021118;3.902383804321289;3.902383804321289;3.902383804321289
27;17.554176330566406;17.554176330566406;17.554176330566406;;;;65.2795238494873;65.2795238494873;65.2795238494873;3.2893946170806885;3.2893946170806885;3.2893946170806885;4.2475574016571045;4.2475574016571045;4.2475574016571045
28;17.638596296310425;17.638596296310425;17.638596296310425;;;;65.35194230079651;65.35194230079651;65.35194230079651;3.6952710151672363;3.6952710151672363;3.6952710151672363;4.490706443786621;4.490706443786621;4.490706443786621
29;18.242122888565063;18.242122888565063;18.242122888565063;;;;65.6035807132721;65.6035807132721;65.6035807132721;4.208723306655884;4.208723306655884;4.208723306655884;4.663182973861694;4.663182973861694;4.663182973861694
30;20.523709535598755;20.523709535598755;20.523709535598755;;;;67.59494757652283;67.59494757652283;67.59494757652283;4.401174306869507;4.401174306869507;4.401174306869507;4.754761219024658;4.754761219024658;4.754761219024658
31;21.660690784454346;21.660690784454346;21.660690784454346;;;;86.09223508834839;86.09223508834839;86.09223508834839;4.480809926986694;4.480809926986694;4.480809926986694;5.82468318939209;5.82468318939209;5.82468318939209
32;24.83673930168152;24.83673930168152;24.83673930168152;;;;86.25383281707764;86.25383281707764;86.25383281707764;4.837682008743286;4.837682008743286;4.837682008743286;6.02581000328064;6.02581000328064;6.02581000328064
33;24.932472705841064;24.932472705841064;24.932472705841064;;;;91.71955871582031;91.71955871582031;91.71955871582031;5.677488803863525;5.677488803863525;5.677488803863525;6.436121940612793;6.436121940612793;6.436121940612793
34;26.42363739013672;26.42363739013672;26.42363739013672;;;;97.7777988910675;97.7777988910675;97.7777988910675;5.8338963985443115;5.8338963985443115;5.8338963985443115;6.627501726150513;6.627501726150513;6.627501726150513
35;29.406187295913696;29.406187295913696;29.406187295913696;;;;99.43871903419495;99.43871903419495;99.43871903419495;5.943589210510254;5.943589210510254;5.943589210510254;7.1591527462005615;7.1591527462005615;7.1591527462005615
36;30.969996690750122;30.969996690750122;30.969996690750122;;;;99.81274127960205;99.81274127960205;99.81274127960205;6.329901933670044;6.329901933670044;6.329901933670044;7.224566459655762;7.224566459655762;7.224566459655762
37;31.393735647201538;31.393735647201538;31.393735647201538;;;;119.92536211013794;119.92536211013794;119.92536211013794;6.496020555496216;6.496020555496216;6.496020555496216;7.998741626739502;7.998741626739502;7.998741626739502
38;31.547567129135132;31.547567129135132;31.547567129135132;;;;121.40709328651428;121.40709328651428;121.40709328651428;7.033733606338501;7.033733606338501;7.033733606338501;8.143287658691406;8.143287658691406;8.143287658691406
39;32.12148833274841;32.12148833274841;32.12148833274841;;;;145.0431888103485;145.0431888103485;145.0431888103485;7.807588577270508;7.807588577270508;7.807588577270508;8.706298112869263;8.706298112869263;8.706298112869263
40;34.8837206363678;34.8837206363678;34.8837206363678;;;;166.73553204536438;166.73553204536438;166.73553204536438;7.993322134017944;7.993322134017944;7.993322134017944;8.891348838806152;8.891348838806152;8.891348838806152
41;38.592076778411865;38.592076778411865;38.592076778411865;;;;220.8152859210968;220.8152859210968;220.8152859210968;8.030089139938354;8.030089139938354;8.030089139938354;8.911469221115112;8.911469221115112;8.911469221115112
42;46.59911608695984;46.59911608695984;46.59911608695984;;;;241.09447407722473;241.09447407722473;241.09447407722473;8.17256760597229;8.17256760597229;8.17256760597229;9.19304895401001;9.19304895401001;9.19304895401001
43;52.1372435092926;52.1372435092926;52.1372435092926;;;;255.8859715461731;255.8859715461731;255.8859715461731;9.037866592407227;9.037866592407227;9.037866592407227;9.480974197387695;9.480974197387695;9.480974197387695
44;63.02658224105835;63.02658224105835;63.02658224105835;;;;310.6887845993042;310.6887845993042;310.6887845993042;9.348163366317749;9.348163366317749;9.348163366317749;10.366326808929443;10.366326808929443;10.366326808929443
45;84.2539849281311;84.2539849281311;84.2539849281311;;;;436.67204427719116;436.67204427719116;436.67204427719116;9.499298095703125;9.499298095703125;9.499298095703125;12.665531635284424;12.665531635284424;12.665531635284424
