n;mcsta;mcstascaled;mcstashifted;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;PRISM;PRISMscaled;PRISMshifted
1;3.5277037620544434;3.5277037620544434;3.5277037620544434;0.05773663520812988;0.5215800727238303;1.0;0.05738496780395508;0.52145338419275;1.0;1.6276671886444092;1.6276671886444092;1.6276671886444092
2;3.8598902225494385;3.8598902225494385;3.8598902225494385;0.0590822696685791;0.5220651231553205;1.0;0.058670997619628906;0.5219168272602017;1.0;1.665952205657959;1.665952205657959;1.665952205657959
3;4.436482906341553;4.436482906341553;4.436482906341553;0.720970869064331;0.824691010754468;1.0;0.6642203330993652;0.7929870588900031;1.0;1.6688551902770996;1.6688551902770996;1.6688551902770996
4;4.638792276382446;4.638792276382446;4.638792276382446;0.761833667755127;0.8483012370635707;1.0;0.6937885284423828;0.8093503493871351;1.0;1.674776315689087;1.674776315689087;1.674776315689087
5;6.1775171756744385;6.1775171756744385;6.1775171756744385;0.9160435199737549;0.943654588497375;1.0;0.8796257972717285;0.9202116754113877;1.0;1.8639512062072754;1.8639512062072754;1.8639512062072754
6;6.465235710144043;6.465235710144043;6.465235710144043;1.905656337738037;1.905656337738037;1.905656337738037;1.6944959163665771;1.6944959163665771;1.6944959163665771;3.323509931564331;3.323509931564331;3.323509931564331
7;6.977084398269653;6.977084398269653;6.977084398269653;2.2112386226654053;2.2112386226654053;2.2112386226654053;2.193664312362671;2.193664312362671;2.193664312362671;4.742913484573364;4.742913484573364;4.742913484573364
8;8.815616607666016;8.815616607666016;8.815616607666016;2.2439589500427246;2.2439589500427246;2.2439589500427246;2.3455748558044434;2.3455748558044434;2.3455748558044434;9.912076473236084;9.912076473236084;9.912076473236084
9;9.406142473220825;9.406142473220825;9.406142473220825;2.5018160343170166;2.5018160343170166;2.5018160343170166;2.366802453994751;2.366802453994751;2.366802453994751;10.79970407485962;10.79970407485962;10.79970407485962
10;9.758317947387695;9.758317947387695;9.758317947387695;2.6328952312469482;2.6328952312469482;2.6328952312469482;2.521324396133423;2.521324396133423;2.521324396133423;14.994486331939697;14.994486331939697;14.994486331939697
11;12.252447605133057;12.252447605133057;12.252447605133057;2.7680435180664062;2.7680435180664062;2.7680435180664062;2.5483968257904053;2.5483968257904053;2.5483968257904053;16.05951762199402;16.05951762199402;16.05951762199402
12;14.97414493560791;14.97414493560791;14.97414493560791;2.9710896015167236;2.9710896015167236;2.9710896015167236;2.7310752868652344;2.7310752868652344;2.7310752868652344;17.61607336997986;17.61607336997986;17.61607336997986
13;16.454181671142578;16.454181671142578;16.454181671142578;3.4181132316589355;3.4181132316589355;3.4181132316589355;2.765669584274292;2.765669584274292;2.765669584274292;23.138051986694336;23.138051986694336;23.138051986694336
14;18.885274171829224;18.885274171829224;18.885274171829224;3.7900478839874268;3.7900478839874268;3.7900478839874268;2.7979609966278076;2.7979609966278076;2.7979609966278076;27.552652835845947;27.552652835845947;27.552652835845947
15;18.93598484992981;18.93598484992981;18.93598484992981;3.8154256343841553;3.8154256343841553;3.8154256343841553;3.2893946170806885;3.2893946170806885;3.2893946170806885;48.82263207435608;48.82263207435608;48.82263207435608
16;25.33460569381714;25.33460569381714;25.33460569381714;3.902383804321289;3.902383804321289;3.902383804321289;3.6952710151672363;3.6952710151672363;3.6952710151672363;51.84496235847473;51.84496235847473;51.84496235847473
17;29.283401489257812;29.283401489257812;29.283401489257812;4.754761219024658;4.754761219024658;4.754761219024658;4.208723306655884;4.208723306655884;4.208723306655884;53.798011779785156;53.798011779785156;53.798011779785156
18;33.660383462905884;33.660383462905884;33.660383462905884;5.82468318939209;5.82468318939209;5.82468318939209;4.480809926986694;4.480809926986694;4.480809926986694;56.32371640205383;56.32371640205383;56.32371640205383
19;43.19442105293274;43.19442105293274;43.19442105293274;6.02581000328064;6.02581000328064;6.02581000328064;5.677488803863525;5.677488803863525;5.677488803863525;57.077486753463745;57.077486753463745;57.077486753463745
20;44.747639179229736;44.747639179229736;44.747639179229736;6.436121940612793;6.436121940612793;6.436121940612793;5.8338963985443115;5.8338963985443115;5.8338963985443115;58.6254403591156;58.6254403591156;58.6254403591156
