n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted
1;0.5755856037139893;0.7458915395869395;1.0;0.05738496780395508;0.52145338419275;1.0
2;0.7770628929138184;0.8572724515030918;1.0;0.058670997619628906;0.5219168272602017;1.0
3;1.4287035465240479;1.4287035465240479;1.4287035465240479;0.08191394805908203;0.5303641795450432;1.0
4;1.6188671588897705;1.6188671588897705;1.6188671588897705;0.1027524471282959;0.5380538386482377;1.0
5;3.0912322998046875;3.0912322998046875;3.0912322998046875;0.15395784378051758;0.557426168787137;1.0
6;3.658759117126465;3.658759117126465;3.658759117126465;0.16910052299499512;0.5632875558394658;1.0
7;4.43337869644165;4.43337869644165;4.43337869644165;0.25651979446411133;0.5983508858588394;1.0
8;4.455019235610962;4.455019235610962;4.455019235610962;0.36247920989990234;0.6437893128734731;1.0
9;4.775858163833618;4.775858163833618;4.775858163833618;0.39992547035217285;0.6606594342327091;1.0
10;5.612792491912842;5.612792491912842;5.612792491912842;0.6642203330993652;0.7929870588900031;1.0
11;5.793745040893555;5.793745040893555;5.793745040893555;0.6937885284423828;0.8093503493871351;1.0
12;5.85488486289978;5.85488486289978;5.85488486289978;0.8796257972717285;0.9202116754113877;1.0
13;5.944459915161133;5.944459915161133;5.944459915161133;1.433549404144287;1.433549404144287;1.433549404144287
14;6.741584300994873;6.741584300994873;6.741584300994873;1.6944959163665771;1.6944959163665771;1.6944959163665771
15;6.934811353683472;6.934811353683472;6.934811353683472;2.193664312362671;2.193664312362671;2.193664312362671
16;7.58325982093811;7.58325982093811;7.58325982093811;2.313897132873535;2.313897132873535;2.313897132873535
17;7.716775894165039;7.716775894165039;7.716775894165039;2.3455748558044434;2.3455748558044434;2.3455748558044434
18;7.954316139221191;7.954316139221191;7.954316139221191;2.366802453994751;2.366802453994751;2.366802453994751
19;9.742437362670898;9.742437362670898;9.742437362670898;2.521324396133423;2.521324396133423;2.521324396133423
20;11.21123719215393;11.21123719215393;11.21123719215393;2.5483968257904053;2.5483968257904053;2.5483968257904053
21;13.372882604598999;13.372882604598999;13.372882604598999;2.706317901611328;2.706317901611328;2.706317901611328
22;14.378597259521484;14.378597259521484;14.378597259521484;2.7310752868652344;2.7310752868652344;2.7310752868652344
