n;mcsta;mcstascaled;mcstashifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;3.0912322998046875;3.0912322998046875;3.0912322998046875;0.7072618007659912;0.8169181407096249;1.0;1.665952205657959;1.665952205657959;1.665952205657959;0.05738496780395508;0.52145338419275;1.0;0.05773663520812988;0.5215800727238303;1.0
2;3.658759117126465;3.658759117126465;3.658759117126465;0.9578907489776611;0.9713309446243447;1.0;1.6688551902770996;1.6688551902770996;1.6688551902770996;0.6642203330993652;0.7929870588900031;1.0;0.761833667755127;0.8483012370635707;1.0
3;4.43337869644165;4.43337869644165;4.43337869644165;1.2535321712493896;1.2535321712493896;1.2535321712493896;1.8639512062072754;1.8639512062072754;1.8639512062072754;0.8796257972717285;0.9202116754113877;1.0;0.9160435199737549;0.943654588497375;1.0
4;5.85488486289978;5.85488486289978;5.85488486289978;5.798058032989502;5.798058032989502;5.798058032989502;4.742913484573364;4.742913484573364;4.742913484573364;1.6944959163665771;1.6944959163665771;1.6944959163665771;1.905656337738037;1.905656337738037;1.905656337738037
5;5.944459915161133;5.944459915161133;5.944459915161133;24.536492586135864;24.536492586135864;24.536492586135864;9.912076473236084;9.912076473236084;9.912076473236084;2.193664312362671;2.193664312362671;2.193664312362671;2.2112386226654053;2.2112386226654053;2.2112386226654053
6;6.934811353683472;6.934811353683472;6.934811353683472;37.16520047187805;37.16520047187805;37.16520047187805;10.79970407485962;10.79970407485962;10.79970407485962;2.3455748558044434;2.3455748558044434;2.3455748558044434;2.2439589500427246;2.2439589500427246;2.2439589500427246
7;7.716775894165039;7.716775894165039;7.716775894165039;41.34941029548645;41.34941029548645;41.34941029548645;14.994486331939697;14.994486331939697;14.994486331939697;2.366802453994751;2.366802453994751;2.366802453994751;2.5018160343170166;2.5018160343170166;2.5018160343170166
8;13.372882604598999;13.372882604598999;13.372882604598999;59.041176319122314;59.041176319122314;59.041176319122314;16.05951762199402;16.05951762199402;16.05951762199402;2.521324396133423;2.521324396133423;2.521324396133423;2.6328952312469482;2.6328952312469482;2.6328952312469482
9;16.4165301322937;16.4165301322937;16.4165301322937;248.33732914924622;248.33732914924622;248.33732914924622;17.61607336997986;17.61607336997986;17.61607336997986;2.5483968257904053;2.5483968257904053;2.5483968257904053;2.9710896015167236;2.9710896015167236;2.9710896015167236
10;17.554176330566406;17.554176330566406;17.554176330566406;;;;23.138051986694336;23.138051986694336;23.138051986694336;2.765669584274292;2.765669584274292;2.765669584274292;3.4181132316589355;3.4181132316589355;3.4181132316589355
11;24.83673930168152;24.83673930168152;24.83673930168152;;;;27.552652835845947;27.552652835845947;27.552652835845947;2.7979609966278076;2.7979609966278076;2.7979609966278076;3.8154256343841553;3.8154256343841553;3.8154256343841553
12;31.547567129135132;31.547567129135132;31.547567129135132;;;;48.82263207435608;48.82263207435608;48.82263207435608;3.2893946170806885;3.2893946170806885;3.2893946170806885;6.02581000328064;6.02581000328064;6.02581000328064
13;38.592076778411865;38.592076778411865;38.592076778411865;;;;56.32371640205383;56.32371640205383;56.32371640205383;5.677488803863525;5.677488803863525;5.677488803863525;6.627501726150513;6.627501726150513;6.627501726150513
14;107.16213178634644;107.16213178634644;107.16213178634644;;;;65.2795238494873;65.2795238494873;65.2795238494873;6.329901933670044;6.329901933670044;6.329901933670044;7.224566459655762;7.224566459655762;7.224566459655762
15;133.58866024017334;133.58866024017334;133.58866024017334;;;;67.59494757652283;67.59494757652283;67.59494757652283;6.496020555496216;6.496020555496216;6.496020555496216;7.998741626739502;7.998741626739502;7.998741626739502
16;173.04456162452698;173.04456162452698;173.04456162452698;;;;99.81274127960205;99.81274127960205;99.81274127960205;7.807588577270508;7.807588577270508;7.807588577270508;8.706298112869263;8.706298112869263;8.706298112869263
17;198.3799090385437;198.3799090385437;198.3799090385437;;;;119.92536211013794;119.92536211013794;119.92536211013794;7.993322134017944;7.993322134017944;7.993322134017944;23.079660415649414;23.079660415649414;23.079660415649414
18;275.48971247673035;275.48971247673035;275.48971247673035;;;;121.40709328651428;121.40709328651428;121.40709328651428;22.844069957733154;22.844069957733154;22.844069957733154;25.882107973098755;25.882107973098755;25.882107973098755
19;293.5284035205841;293.5284035205841;293.5284035205841;;;;145.0431888103485;145.0431888103485;145.0431888103485;25.6209614276886;25.6209614276886;25.6209614276886;26.065330743789673;26.065330743789673;26.065330743789673
20;1412.378526210785;1412.378526210785;1412.378526210785;;;;220.8152859210968;220.8152859210968;220.8152859210968;31.325125694274902;31.325125694274902;31.325125694274902;32.043384075164795;32.043384075164795;32.043384075164795
21;;;;;;;310.6887845993042;310.6887845993042;310.6887845993042;33.888845682144165;33.888845682144165;33.888845682144165;36.33254337310791;36.33254337310791;36.33254337310791
22;;;;;;;;;;42.30743622779846;42.30743622779846;42.30743622779846;45.16190147399902;45.16190147399902;45.16190147399902
23;;;;;;;;;;72.56280946731567;72.56280946731567;72.56280946731567;73.31355834007263;73.31355834007263;73.31355834007263
