n;mcsta;mcstascaled;mcstashifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;3.0912322998046875;3.0912322998046875;3.0912322998046875;1.6276671886444092;1.6276671886444092;1.6276671886444092;0.05738496780395508;0.52145338419275;1.0;0.05773663520812988;0.5215800727238303;1.0
2;3.658759117126465;3.658759117126465;3.658759117126465;1.665952205657959;1.665952205657959;1.665952205657959;0.058670997619628906;0.5219168272602017;1.0;0.0590822696685791;0.5220651231553205;1.0
3;4.43337869644165;4.43337869644165;4.43337869644165;1.6688551902770996;1.6688551902770996;1.6688551902770996;0.6642203330993652;0.7929870588900031;1.0;0.720970869064331;0.824691010754468;1.0
4;4.455019235610962;4.455019235610962;4.455019235610962;1.674776315689087;1.674776315689087;1.674776315689087;0.6937885284423828;0.8093503493871351;1.0;0.761833667755127;0.8483012370635707;1.0
5;5.793745040893555;5.793745040893555;5.793745040893555;1.8639512062072754;1.8639512062072754;1.8639512062072754;0.8796257972717285;0.9202116754113877;1.0;0.9160435199737549;0.943654588497375;1.0
6;5.85488486289978;5.85488486289978;5.85488486289978;3.323509931564331;3.323509931564331;3.323509931564331;1.6944959163665771;1.6944959163665771;1.6944959163665771;1.905656337738037;1.905656337738037;1.905656337738037
7;5.944459915161133;5.944459915161133;5.944459915161133;4.742913484573364;4.742913484573364;4.742913484573364;2.193664312362671;2.193664312362671;2.193664312362671;2.2112386226654053;2.2112386226654053;2.2112386226654053
8;6.741584300994873;6.741584300994873;6.741584300994873;9.912076473236084;9.912076473236084;9.912076473236084;2.3455748558044434;2.3455748558044434;2.3455748558044434;2.2439589500427246;2.2439589500427246;2.2439589500427246
9;6.934811353683472;6.934811353683472;6.934811353683472;10.79970407485962;10.79970407485962;10.79970407485962;2.366802453994751;2.366802453994751;2.366802453994751;2.5018160343170166;2.5018160343170166;2.5018160343170166
10;7.716775894165039;7.716775894165039;7.716775894165039;14.994486331939697;14.994486331939697;14.994486331939697;2.521324396133423;2.521324396133423;2.521324396133423;2.6328952312469482;2.6328952312469482;2.6328952312469482
11;9.742437362670898;9.742437362670898;9.742437362670898;16.05951762199402;16.05951762199402;16.05951762199402;2.5483968257904053;2.5483968257904053;2.5483968257904053;2.7680435180664062;2.7680435180664062;2.7680435180664062
12;13.372882604598999;13.372882604598999;13.372882604598999;17.61607336997986;17.61607336997986;17.61607336997986;2.7310752868652344;2.7310752868652344;2.7310752868652344;2.9710896015167236;2.9710896015167236;2.9710896015167236
13;15.006984233856201;15.006984233856201;15.006984233856201;23.138051986694336;23.138051986694336;23.138051986694336;2.765669584274292;2.765669584274292;2.765669584274292;3.4181132316589355;3.4181132316589355;3.4181132316589355
14;16.4165301322937;16.4165301322937;16.4165301322937;27.552652835845947;27.552652835845947;27.552652835845947;2.7979609966278076;2.7979609966278076;2.7979609966278076;3.7900478839874268;3.7900478839874268;3.7900478839874268
15;17.554176330566406;17.554176330566406;17.554176330566406;48.82263207435608;48.82263207435608;48.82263207435608;3.2893946170806885;3.2893946170806885;3.2893946170806885;3.8154256343841553;3.8154256343841553;3.8154256343841553
16;17.638596296310425;17.638596296310425;17.638596296310425;51.84496235847473;51.84496235847473;51.84496235847473;3.6952710151672363;3.6952710151672363;3.6952710151672363;3.902383804321289;3.902383804321289;3.902383804321289
17;24.83673930168152;24.83673930168152;24.83673930168152;53.798011779785156;53.798011779785156;53.798011779785156;4.208723306655884;4.208723306655884;4.208723306655884;4.754761219024658;4.754761219024658;4.754761219024658
18;31.547567129135132;31.547567129135132;31.547567129135132;56.32371640205383;56.32371640205383;56.32371640205383;4.480809926986694;4.480809926986694;4.480809926986694;5.82468318939209;5.82468318939209;5.82468318939209
