n;mcsta;mcstascaled;mcstashifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;3.0912322998046875;3.0912322998046875;3.0912322998046875;0.7072618007659912;0.8169181407096249;1.0;1.6637887954711914;1.6637887954711914;1.6637887954711914;0.7776095867156982;0.8575962553231897;1.0;0.05773663520812988;0.5215800727238303;1.0
2;3.658759117126465;3.658759117126465;3.658759117126465;0.9578907489776611;0.9713309446243447;1.0;1.6802911758422852;1.6802911758422852;1.6802911758422852;2.521324396133423;2.521324396133423;2.521324396133423;0.761833667755127;0.8483012370635707;1.0
3;4.43337869644165;4.43337869644165;4.43337869644165;1.2535321712493896;1.2535321712493896;1.2535321712493896;9.860687971115112;9.860687971115112;9.860687971115112;3.349825859069824;3.349825859069824;3.349825859069824;0.9160435199737549;0.943654588497375;1.0
4;5.85488486289978;5.85488486289978;5.85488486289978;5.798058032989502;5.798058032989502;5.798058032989502;10.866581439971924;10.866581439971924;10.866581439971924;4.286552429199219;4.286552429199219;4.286552429199219;1.905656337738037;1.905656337738037;1.905656337738037
5;5.944459915161133;5.944459915161133;5.944459915161133;24.536492586135864;24.536492586135864;24.536492586135864;14.927441120147705;14.927441120147705;14.927441120147705;10.283540487289429;10.283540487289429;10.283540487289429;2.2112386226654053;2.2112386226654053;2.2112386226654053
6;6.934811353683472;6.934811353683472;6.934811353683472;37.16520047187805;37.16520047187805;37.16520047187805;16.072890758514404;16.072890758514404;16.072890758514404;12.812387466430664;12.812387466430664;12.812387466430664;2.2439589500427246;2.2439589500427246;2.2439589500427246
7;7.716775894165039;7.716775894165039;7.716775894165039;41.34941029548645;41.34941029548645;41.34941029548645;17.49091148376465;17.49091148376465;17.49091148376465;15.47986888885498;15.47986888885498;15.47986888885498;2.5018160343170166;2.5018160343170166;2.5018160343170166
8;13.372882604598999;13.372882604598999;13.372882604598999;59.041176319122314;59.041176319122314;59.041176319122314;23.160612106323242;23.160612106323242;23.160612106323242;16.778549194335938;16.778549194335938;16.778549194335938;2.6328952312469482;2.6328952312469482;2.6328952312469482
9;16.4165301322937;16.4165301322937;16.4165301322937;248.33732914924622;248.33732914924622;248.33732914924622;27.328224658966064;27.328224658966064;27.328224658966064;18.7403507232666;18.7403507232666;18.7403507232666;2.9710896015167236;2.9710896015167236;2.9710896015167236
10;17.554176330566406;17.554176330566406;17.554176330566406;;;;49.68142890930176;49.68142890930176;49.68142890930176;22.844069957733154;22.844069957733154;22.844069957733154;3.4181132316589355;3.4181132316589355;3.4181132316589355
11;24.83673930168152;24.83673930168152;24.83673930168152;;;;54.00314116477966;54.00314116477966;54.00314116477966;25.6209614276886;25.6209614276886;25.6209614276886;3.8154256343841553;3.8154256343841553;3.8154256343841553
12;31.547567129135132;31.547567129135132;31.547567129135132;;;;56.15145516395569;56.15145516395569;56.15145516395569;50.95739698410034;50.95739698410034;50.95739698410034;6.02581000328064;6.02581000328064;6.02581000328064
13;38.592076778411865;38.592076778411865;38.592076778411865;;;;60.594013929367065;60.594013929367065;60.594013929367065;54.76093506813049;54.76093506813049;54.76093506813049;6.627501726150513;6.627501726150513;6.627501726150513
14;107.16213178634644;107.16213178634644;107.16213178634644;;;;65.42909288406372;65.42909288406372;65.42909288406372;90.11320543289185;90.11320543289185;90.11320543289185;7.224566459655762;7.224566459655762;7.224566459655762
15;133.58866024017334;133.58866024017334;133.58866024017334;;;;100.30750513076782;100.30750513076782;100.30750513076782;115.52258896827698;115.52258896827698;115.52258896827698;7.998741626739502;7.998741626739502;7.998741626739502
16;173.04456162452698;173.04456162452698;173.04456162452698;;;;120.44681477546692;120.44681477546692;120.44681477546692;203.3464035987854;203.3464035987854;203.3464035987854;8.706298112869263;8.706298112869263;8.706298112869263
17;187.3759527206421;187.3759527206421;187.3759527206421;;;;121.32249283790588;121.32249283790588;121.32249283790588;270.77259159088135;270.77259159088135;270.77259159088135;23.079660415649414;23.079660415649414;23.079660415649414
18;275.48971247673035;275.48971247673035;275.48971247673035;;;;136.04128742218018;136.04128742218018;136.04128742218018;622.0803983211517;622.0803983211517;622.0803983211517;25.882107973098755;25.882107973098755;25.882107973098755
19;293.5284035205841;293.5284035205841;293.5284035205841;;;;221.09106278419495;221.09106278419495;221.09106278419495;822.566379070282;822.566379070282;822.566379070282;26.065330743789673;26.065330743789673;26.065330743789673
20;;;;;;;309.71330881118774;309.71330881118774;309.71330881118774;;;;32.043384075164795;32.043384075164795;32.043384075164795
21;;;;;;;;;;;;;36.33254337310791;36.33254337310791;36.33254337310791
22;;;;;;;;;;;;;45.16190147399902;45.16190147399902;45.16190147399902
23;;;;;;;;;;;;;73.31355834007263;73.31355834007263;73.31355834007263
