n;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;mcsta;mcstascaled;mcstashifted
1;0.05629229545593262;0.5210599442068282;1.0;0.16849946975708008;0.5630537314082853;1.0;0.5834999084472656;0.7499805016333018;1.0
2;0.05872178077697754;0.5219351362995924;1.0;0.383988618850708;0.6534262625101314;1.0;0.6256382465362549;0.7721318619765983;1.0
3;0.17017889022827148;0.5637073105210464;1.0;2.6739039421081543;2.6739039421081543;2.6739039421081543;1.5008697509765625;1.5008697509765625;1.5008697509765625
4;0.3793656826019287;0.6513429319829738;1.0;3.3944742679595947;3.3944742679595947;3.3944742679595947;3.161301851272583;3.161301851272583;3.161301851272583
5;0.9615771770477295;0.9738075853719411;1.0;4.140555143356323;4.140555143356323;4.140555143356323;4.457219123840332;4.457219123840332;4.457219123840332
6;1.5224509239196777;1.5224509239196777;1.5224509239196777;4.3166961669921875;4.3166961669921875;4.3166961669921875;4.865910768508911;4.865910768508911;4.865910768508911
7;1.8831770420074463;1.8831770420074463;1.8831770420074463;9.010342359542847;9.010342359542847;9.010342359542847;6.813416481018066;6.813416481018066;6.813416481018066
8;2.044778823852539;2.044778823852539;2.044778823852539;9.320540189743042;9.320540189743042;9.320540189743042;6.853604316711426;6.853604316711426;6.853604316711426
9;2.22442889213562;2.22442889213562;2.22442889213562;9.679322957992554;9.679322957992554;9.679322957992554;7.563396215438843;7.563396215438843;7.563396215438843
10;2.2538836002349854;2.2538836002349854;2.2538836002349854;10.371217727661133;10.371217727661133;10.371217727661133;8.622283220291138;8.622283220291138;8.622283220291138
11;2.676541566848755;2.676541566848755;2.676541566848755;12.852572679519653;12.852572679519653;12.852572679519653;8.715144634246826;8.715144634246826;8.715144634246826
12;2.8162624835968018;2.8162624835968018;2.8162624835968018;14.712675333023071;14.712675333023071;14.712675333023071;11.371845722198486;11.371845722198486;11.371845722198486
13;2.9586479663848877;2.9586479663848877;2.9586479663848877;15.631234884262085;15.631234884262085;15.631234884262085;14.362655639648438;14.362655639648438;14.362655639648438
14;3.366090774536133;3.366090774536133;3.366090774536133;15.790925979614258;15.790925979614258;15.790925979614258;14.709834575653076;14.709834575653076;14.709834575653076
15;3.609356164932251;3.609356164932251;3.609356164932251;16.936426401138306;16.936426401138306;16.936426401138306;17.583662271499634;17.583662271499634;17.583662271499634
16;3.7198030948638916;3.7198030948638916;3.7198030948638916;22.880977153778076;22.880977153778076;22.880977153778076;18.091585874557495;18.091585874557495;18.091585874557495
17;3.813185453414917;3.813185453414917;3.813185453414917;24.51815176010132;24.51815176010132;24.51815176010132;18.24471354484558;18.24471354484558;18.24471354484558
18;4.46652364730835;4.46652364730835;4.46652364730835;31.024540185928345;31.024540185928345;31.024540185928345;19.47104835510254;19.47104835510254;19.47104835510254
19;4.655896425247192;4.655896425247192;4.655896425247192;33.82659387588501;33.82659387588501;33.82659387588501;20.58755660057068;20.58755660057068;20.58755660057068
