n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted
1;0.5834999084472656;0.7499805016333018;1.0;0.16849946975708008;0.5630537314082853;1.0
2;1.5008697509765625;1.5008697509765625;1.5008697509765625;0.383988618850708;0.6534262625101314;1.0
3;3.161301851272583;3.161301851272583;3.161301851272583;2.6739039421081543;2.6739039421081543;2.6739039421081543
4;4.457219123840332;4.457219123840332;4.457219123840332;3.3944742679595947;3.3944742679595947;3.3944742679595947
5;4.865910768508911;4.865910768508911;4.865910768508911;4.140555143356323;4.140555143356323;4.140555143356323
6;6.813416481018066;6.813416481018066;6.813416481018066;4.3166961669921875;4.3166961669921875;4.3166961669921875
7;6.853604316711426;6.853604316711426;6.853604316711426;9.010342359542847;9.010342359542847;9.010342359542847
8;7.563396215438843;7.563396215438843;7.563396215438843;9.320540189743042;9.320540189743042;9.320540189743042
9;8.622283220291138;8.622283220291138;8.622283220291138;9.679322957992554;9.679322957992554;9.679322957992554
10;8.715144634246826;8.715144634246826;8.715144634246826;10.371217727661133;10.371217727661133;10.371217727661133
11;11.371845722198486;11.371845722198486;11.371845722198486;12.852572679519653;12.852572679519653;12.852572679519653
12;14.362655639648438;14.362655639648438;14.362655639648438;15.631234884262085;15.631234884262085;15.631234884262085
13;14.709834575653076;14.709834575653076;14.709834575653076;15.790925979614258;15.790925979614258;15.790925979614258
14;17.583662271499634;17.583662271499634;17.583662271499634;16.936426401138306;16.936426401138306;16.936426401138306
15;18.091585874557495;18.091585874557495;18.091585874557495;22.880977153778076;22.880977153778076;22.880977153778076
16;18.24471354484558;18.24471354484558;18.24471354484558;24.51815176010132;24.51815176010132;24.51815176010132
17;19.47104835510254;19.47104835510254;19.47104835510254;31.024540185928345;31.024540185928345;31.024540185928345
18;20.58755660057068;20.58755660057068;20.58755660057068;33.82659387588501;33.82659387588501;33.82659387588501
19;22.28098726272583;22.28098726272583;22.28098726272583;38.82311010360718;38.82311010360718;38.82311010360718
20;25.009660720825195;25.009660720825195;25.009660720825195;45.793503522872925;45.793503522872925;45.793503522872925
21;28.12315845489502;28.12315845489502;28.12315845489502;50.94161510467529;50.94161510467529;50.94161510467529
22;28.93529224395752;28.93529224395752;28.93529224395752;56.54443359375;56.54443359375;56.54443359375
23;31.09599471092224;31.09599471092224;31.09599471092224;57.60802936553955;57.60802936553955;57.60802936553955
24;31.653822660446167;31.653822660446167;31.653822660446167;59.88052248954773;59.88052248954773;59.88052248954773
25;44.12491154670715;44.12491154670715;44.12491154670715;61.870182275772095;61.870182275772095;61.870182275772095
26;44.932929277420044;44.932929277420044;44.932929277420044;117.70915150642395;117.70915150642395;117.70915150642395
27;45.77377796173096;45.77377796173096;45.77377796173096;162.3375163078308;162.3375163078308;162.3375163078308
28;52.10481858253479;52.10481858253479;52.10481858253479;187.50555801391602;187.50555801391602;187.50555801391602
29;59.76944828033447;59.76944828033447;59.76944828033447;273.24077248573303;273.24077248573303;273.24077248573303
30;104.52406144142151;104.52406144142151;104.52406144142151;274.65901041030884;274.65901041030884;274.65901041030884
31;132.88539385795593;132.88539385795593;132.88539385795593;534.0406477451324;534.0406477451324;534.0406477451324
32;159.04154920578003;159.04154920578003;159.04154920578003;626.6586534976959;626.6586534976959;626.6586534976959
33;170.64026975631714;170.64026975631714;170.64026975631714;822.0309743881226;822.0309743881226;822.0309743881226
34;173.48348712921143;173.48348712921143;173.48348712921143;911.4347832202911;911.4347832202911;911.4347832202911
35;183.95032668113708;183.95032668113708;183.95032668113708;;;
36;212.11378288269043;212.11378288269043;212.11378288269043;;;
37;212.87614274024963;212.87614274024963;212.87614274024963;;;
38;290.8097138404846;290.8097138404846;290.8097138404846;;;
39;291.33624744415283;291.33624744415283;291.33624744415283;;;
40;295.1395661830902;295.1395661830902;295.1395661830902;;;
41;342.58429980278015;342.58429980278015;342.58429980278015;;;
42;530.0237901210785;530.0237901210785;530.0237901210785;;;
43;551.6223564147949;551.6223564147949;551.6223564147949;;;
44;787.9914536476135;787.9914536476135;787.9914536476135;;;
45;;;;;;
46;;;;;;
47;;;;;;
48;;;;;;
49;;;;;;
50;;;;;;
51;;;;;;
52;;;;;;
53;;;;;;
54;;;;;;
55;;;;;;
56;;;;;;
57;;;;;;
58;;;;;;
59;;;;;;
60;;;;;;
61;;;;;;
62;;;;;;
63;;;;;;
64;;;;;;
65;;;;;;
66;;;;;;
67;;;;;;
