id;Type;Storm-static;Storm-staticshifted;other;othershifted
bluetooth.1.time;dtmc;4000;4000;4000;4000
coupon.9-4-5.collect_all_bounded;dtmc;273.24077248573303;273.24077248573303;4000;4000
coupon.9-4-5.exp_draws;dtmc;534.0406477451324;534.0406477451324;31.653822660446167;31.653822660446167
coupon.15-4-5.collect_all_bounded;dtmc;4000;4000;4000;4000
coupon.15-4-5.exp_draws;dtmc;4000;4000;4000;4000
crowds.5-20.positive;dtmc;15.790925979614258;15.790925979614258;8.715144634246826;8.715144634246826
crowds.6-20.positive;dtmc;117.70915150642395;117.70915150642395;44.12491154670715;44.12491154670715
egl.10-2.messagesB;dtmc;911.4347832202911;911.4347832202911;291.33624744415283;291.33624744415283
egl.10-2.unfairA;dtmc;822.0309743881226;822.0309743881226;183.95032668113708;183.95032668113708
egl.10-8.messagesB;dtmc;4000;4000;4000;4000
egl.10-8.unfairA;dtmc;4000;4000;4000;4000
haddad-monmege.100-0.7.exp_steps;dtmc;16000;16000;4000;4000
haddad-monmege.100-0.7.target;dtmc;16000;16000;4000;4000
herman.15.steps;dtmc;157.99568390846252;157.99568390846252;4000;4000
nand.40-4.reliable;dtmc;16000;16000;6.853604316711426;6.853604316711426
nand.60-4.reliable;dtmc;16000;16000;31.09599471092224;31.09599471092224
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;192.95502257347107;192.95502257347107;4000;4000
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;16000;16000;4000;4000
cluster.128-2000-20.premium_steady;ctmc;4000;4000;4000;4000
embedded.8-12.actuators;ctmc;16000;16000;4000;4000
embedded.8-12.up_time;ctmc;16000;16000;4000;4000
fms.8.productivity;ctmc;4000;4000;4000;4000
kanban.5.throughput;ctmc;4000;4000;4000;4000
mapk_cascade.4-30.activated_time;ctmc;4000;4000;22.28098726272583;22.28098726272583
philosophers.16-1.MaxPrReachDeadlock;ctmc;38.82311010360718;38.82311010360718;14.362655639648438;14.362655639648438
philosophers.16-1.MinExpTimeDeadlock;ctmc;4000;4000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;4000;4000;4000;4000
philosophers.20-1.MinExpTimeDeadlock;ctmc;4000;4000;4000;4000
polling.18-16.s1_before_s2;ctmc;4000;4000;530.0237901210785;530.0237901210785
beb.4-8-7.LineSeized;mdp;162.3375163078308;162.3375163078308;290.8097138404846;290.8097138404846
beb.5-16-15.LineSeized;mdp;4000;4000;4000;4000
consensus.4-4.disagree;mdp;4000;4000;4000;4000
consensus.4-4.steps_min;mdp;4000;4000;4000;4000
consensus.6-2.disagree;mdp;4000;4000;342.58429980278015;342.58429980278015
consensus.6-2.steps_min;mdp;4000;4000;212.11378288269043;212.11378288269043
csma.3-4.all_before_max;mdp;16.936426401138306;16.936426401138306;44.932929277420044;44.932929277420044
csma.3-4.time_max;mdp;4000;4000;6.813416481018066;6.813416481018066
csma.4-2.all_before_max;mdp;10.371217727661133;10.371217727661133;28.93529224395752;28.93529224395752
csma.4-2.time_max;mdp;4000;4000;4.865910768508911;4.865910768508911
eajs.5-250-11.ExpUtil;mdp;57.60802936553955;57.60802936553955;17.583662271499634;17.583662271499634
eajs.6-300-13.ExpUtil;mdp;187.50555801391602;187.50555801391602;52.10481858253479;52.10481858253479
echoring.100.MaxOffline1;mdp;59.88052248954773;59.88052248954773;19.47104835510254;19.47104835510254
elevators.b-11-9.goal;mdp;9.010342359542847;9.010342359542847;8.622283220291138;8.622283220291138
exploding-blocksworld.10.goal;mdp;4000;4000;4000;4000
firewire.false-36-800.deadline;mdp;33.82659387588501;33.82659387588501;4000;4000
pacman.100.crash;mdp;626.6586534976959;626.6586534976959;295.1395661830902;295.1395661830902
pacman.60.crash;mdp;274.65901041030884;274.65901041030884;132.88539385795593;132.88539385795593
pnueli-zuck.5.live;mdp;4.3166961669921875;4.3166961669921875;3.161301851272583;3.161301851272583
pnueli-zuck.10.live;mdp;4000;4000;4000;4000
rabin.10.live;mdp;4000;4000;4000;4000
