id;Type;Storm;Stormshifted;other;othershifted
bluetooth.1.time;dtmc;10.407439708709717;10.407439708709717;4000;4000
coupon.9-4-5.collect_all_bounded;dtmc;4.655896425247192;4.655896425247192;273.24077248573303;273.24077248573303
coupon.9-4-5.exp_draws;dtmc;4.46652364730835;4.46652364730835;31.653822660446167;31.653822660446167
coupon.15-4-5.collect_all_bounded;dtmc;4000;4000;4000;4000
coupon.15-4-5.exp_draws;dtmc;1389.020504951477;1389.020504951477;4000;4000
crowds.5-20.positive;dtmc;2.8162624835968018;2.8162624835968018;8.715144634246826;8.715144634246826
crowds.6-20.positive;dtmc;2.9586479663848877;2.9586479663848877;44.12491154670715;44.12491154670715
egl.10-2.messagesB;dtmc;3.7198030948638916;3.7198030948638916;291.33624744415283;291.33624744415283
egl.10-2.unfairA;dtmc;3.813185453414917;3.813185453414917;183.95032668113708;183.95032668113708
egl.10-8.messagesB;dtmc;16.53235912322998;16.53235912322998;4000;4000
egl.10-8.unfairA;dtmc;26.025044202804565;26.025044202804565;4000;4000
haddad-monmege.100-0.7.exp_steps;dtmc;0.05629229545593262;1;4000;4000
haddad-monmege.100-0.7.target;dtmc;0.05872178077697754;1;4000;4000
herman.15.steps;dtmc;181.08157563209534;181.08157563209534;157.99568390846252;157.99568390846252
nand.40-4.reliable;dtmc;8.527657985687256;8.527657985687256;6.853604316711426;6.853604316711426
nand.60-4.reliable;dtmc;34.5156352519989;34.5156352519989;31.09599471092224;31.09599471092224
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;210.2073950767517;210.2073950767517;192.95502257347107;192.95502257347107
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;16000;16000;4000;4000
cluster.128-2000-20.premium_steady;ctmc;4000;4000;4000;4000
embedded.8-12.actuators;ctmc;16000;16000;4000;4000
embedded.8-12.up_time;ctmc;16000;16000;4000;4000
fms.8.productivity;ctmc;4000;4000;4000;4000
kanban.5.throughput;ctmc;4000;4000;4000;4000
mapk_cascade.4-30.activated_time;ctmc;4000;4000;22.28098726272583;22.28098726272583
philosophers.16-1.MaxPrReachDeadlock;ctmc;1.5224509239196777;1.5224509239196777;14.362655639648438;14.362655639648438
philosophers.16-1.MinExpTimeDeadlock;ctmc;4000;4000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;2.044778823852539;2.044778823852539;4000;4000
philosophers.20-1.MinExpTimeDeadlock;ctmc;4000;4000;4000;4000
polling.18-16.s1_before_s2;ctmc;4000;4000;530.0237901210785;530.0237901210785
beb.4-8-7.LineSeized;mdp;32.44777822494507;32.44777822494507;162.3375163078308;162.3375163078308
beb.5-16-15.LineSeized;mdp;4000;4000;4000;4000
consensus.4-4.disagree;mdp;4000;4000;4000;4000
consensus.4-4.steps_min;mdp;4000;4000;4000;4000
consensus.6-2.disagree;mdp;4000;4000;342.58429980278015;342.58429980278015
consensus.6-2.steps_min;mdp;3.609356164932251;3.609356164932251;212.11378288269043;212.11378288269043
csma.3-4.all_before_max;mdp;6.182638168334961;6.182638168334961;16.936426401138306;16.936426401138306
csma.3-4.time_max;mdp;4000;4000;6.813416481018066;6.813416481018066
csma.4-2.all_before_max;mdp;6.9316794872283936;6.9316794872283936;10.371217727661133;10.371217727661133
csma.4-2.time_max;mdp;4000;4000;4.865910768508911;4.865910768508911
eajs.5-250-11.ExpUtil;mdp;19.410677671432495;19.410677671432495;17.583662271499634;17.583662271499634
eajs.6-300-13.ExpUtil;mdp;45.23035383224487;45.23035383224487;52.10481858253479;52.10481858253479
echoring.100.MaxOffline1;mdp;59.86336040496826;59.86336040496826;19.47104835510254;19.47104835510254
