n;Storm;Stormscaled;Stormshifted;mcsta;mcstascaled;mcstashifted
1;0.05629229545593262;0.5210599442068282;1.0;0.5844430923461914;0.7504692944102137;1.0
2;0.05872178077697754;0.5219351362995924;1.0;0.5904035568237305;0.7535656038129918;1.0
3;0.17017889022827148;0.5637073105210464;1.0;1.4182538986206055;1.4182538986206055;1.4182538986206055
4;0.3793656826019287;0.6513429319829738;1.0;3.1427016258239746;3.1427016258239746;3.1427016258239746
5;0.9615771770477295;0.9738075853719411;1.0;4.385583162307739;4.385583162307739;4.385583162307739
6;1.5224509239196777;1.5224509239196777;1.5224509239196777;6.30218243598938;6.30218243598938;6.30218243598938
7;1.8831770420074463;1.8831770420074463;1.8831770420074463;7.513400316238403;7.513400316238403;7.513400316238403
8;2.044778823852539;2.044778823852539;2.044778823852539;8.557281970977783;8.557281970977783;8.557281970977783
9;2.22442889213562;2.22442889213562;2.22442889213562;9.456515073776245;9.456515073776245;9.456515073776245
10;2.2538836002349854;2.2538836002349854;2.2538836002349854;11.288529396057129;11.288529396057129;11.288529396057129
11;2.676541566848755;2.676541566848755;2.676541566848755;11.375508308410645;11.375508308410645;11.375508308410645
12;2.8162624835968018;2.8162624835968018;2.8162624835968018;17.947413206100464;17.947413206100464;17.947413206100464
13;2.9586479663848877;2.9586479663848877;2.9586479663848877;18.216113090515137;18.216113090515137;18.216113090515137
14;3.366090774536133;3.366090774536133;3.366090774536133;18.753608226776123;18.753608226776123;18.753608226776123
15;3.609356164932251;3.609356164932251;3.609356164932251;19.339738845825195;19.339738845825195;19.339738845825195
16;3.7198030948638916;3.7198030948638916;3.7198030948638916;20.3244686126709;20.3244686126709;20.3244686126709
17;3.813185453414917;3.813185453414917;3.813185453414917;21.313676834106445;21.313676834106445;21.313676834106445
18;4.46652364730835;4.46652364730835;4.46652364730835;22.357255697250366;22.357255697250366;22.357255697250366
19;4.655896425247192;4.655896425247192;4.655896425247192;24.981683492660522;24.981683492660522;24.981683492660522
20;5.840109348297119;5.840109348297119;5.840109348297119;25.19708800315857;25.19708800315857;25.19708800315857
21;5.9681556224823;5.9681556224823;5.9681556224823;28.361085414886475;28.361085414886475;28.361085414886475
22;6.182638168334961;6.182638168334961;6.182638168334961;37.00420832633972;37.00420832633972;37.00420832633972
23;6.9316794872283936;6.9316794872283936;6.9316794872283936;41.05248975753784;41.05248975753784;41.05248975753784
24;6.977262020111084;6.977262020111084;6.977262020111084;51.26855659484863;51.26855659484863;51.26855659484863
25;8.527657985687256;8.527657985687256;8.527657985687256;56.20546364784241;56.20546364784241;56.20546364784241
26;8.91723370552063;8.91723370552063;8.91723370552063;58.892714500427246;58.892714500427246;58.892714500427246
27;9.272659063339233;9.272659063339233;9.272659063339233;59.5441677570343;59.5441677570343;59.5441677570343
28;9.737785339355469;9.737785339355469;9.737785339355469;61.47295570373535;61.47295570373535;61.47295570373535
29;10.407439708709717;10.407439708709717;10.407439708709717;76.96847033500671;76.96847033500671;76.96847033500671
30;12.610655546188354;12.610655546188354;12.610655546188354;135.5001802444458;135.5001802444458;135.5001802444458
31;13.434968948364258;13.434968948364258;13.434968948364258;139.54072904586792;139.54072904586792;139.54072904586792
32;16.53235912322998;16.53235912322998;16.53235912322998;149.4958369731903;149.4958369731903;149.4958369731903
33;19.410677671432495;19.410677671432495;19.410677671432495;162.87360382080078;162.87360382080078;162.87360382080078
34;22.943785429000854;22.943785429000854;22.943785429000854;173.41524147987366;173.41524147987366;173.41524147987366
35;26.025044202804565;26.025044202804565;26.025044202804565;179.8933653831482;179.8933653831482;179.8933653831482
36;27.43579864501953;27.43579864501953;27.43579864501953;199.78237676620483;199.78237676620483;199.78237676620483
37;31.598219633102417;31.598219633102417;31.598219633102417;218.52976417541504;218.52976417541504;218.52976417541504
38;31.746829986572266;31.746829986572266;31.746829986572266;230.5843846797943;230.5843846797943;230.5843846797943
39;32.44777822494507;32.44777822494507;32.44777822494507;248.00359749794006;248.00359749794006;248.00359749794006
40;34.5156352519989;34.5156352519989;34.5156352519989;293.54992389678955;293.54992389678955;293.54992389678955
41;40.66728639602661;40.66728639602661;40.66728639602661;295.526837348938;295.526837348938;295.526837348938
42;45.23035383224487;45.23035383224487;45.23035383224487;303.49792075157166;303.49792075157166;303.49792075157166
43;45.649383306503296;45.649383306503296;45.649383306503296;394.4858675003052;394.4858675003052;394.4858675003052
44;47.466766595840454;47.466766595840454;47.466766595840454;449.1398730278015;449.1398730278015;449.1398730278015
45;50.82344913482666;50.82344913482666;50.82344913482666;637.7351698875427;637.7351698875427;637.7351698875427
46;57.142983198165894;57.142983198165894;57.142983198165894;734.5955059528351;734.5955059528351;734.5955059528351
47;59.86336040496826;59.86336040496826;59.86336040496826;1236.1005115509033;1236.1005115509033;1236.1005115509033
48;72.00539875030518;72.00539875030518;72.00539875030518;1504.1953692436218;1504.1953692436218;1504.1953692436218
49;120.10231924057007;120.10231924057007;120.10231924057007;1591.1591517925262;1591.1591517925262;1591.1591517925262
50;181.08157563209534;181.08157563209534;181.08157563209534;1768.261378288269;1768.261378288269;1768.261378288269
51;210.2073950767517;210.2073950767517;210.2073950767517;;;
52;1389.020504951477;1389.020504951477;1389.020504951477;;;
53;;;;;;
54;;;;;;
55;;;;;;
56;;;;;;
57;;;;;;
58;;;;;;
59;;;;;;
60;;;;;;
61;;;;;;
62;;;;;;
63;;;;;;
64;;;;;;
65;;;;;;
66;;;;;;
67;;;;;;
68;;;;;;
69;;;;;;
70;;;;;;
71;;;;;;
72;;;;;;
73;;;;;;
74;;;;;;
75;;;;;;
76;;;;;;
77;;;;;;
78;;;;;;
79;;;;;;
80;;;;;;
81;;;;;;
82;;;;;;
83;;;;;;
84;;;;;;
85;;;;;;
86;;;;;;
87;;;;;;
88;;;;;;
89;;;;;;
90;;;;;;
91;;;;;;
92;;;;;;
93;;;;;;
94;;;;;;
95;;;;;;
96;;;;;;
97;;;;;;
98;;;;;;
99;;;;;;
100;;;;;;
