id;Type;ModestFRETpiLRTDP;ModestFRETpiLRTDPshifted;other;othershifted
beb.4-8-7.LineSeized;mdp;0.00011451465990083245;1;2.85791589995175e-17;1
beb.5-16-15.LineSeized;mdp;1e-20;1;1e-20;1
consensus.4-4.disagree;mdp;4.5672989246867255;4.5672989246867255;2.6152700435214278e-14;1
consensus.4-4.steps_min;mdp;0.9194024906596071;1;1.0677083333333333e-14;1
consensus.6-2.disagree;mdp;1.74945003365778;1.74945003365778;1.2215798022463565e-14;1
consensus.6-2.steps_min;mdp;0.9586137135823567;1;5.555555555555555e-15;1
csma.3-4.time_max;mdp;0.8609348606723466;1;3.035559388707642e-17;1
csma.4-2.time_max;mdp;0.9058292973878281;1;1.2073953584965321e-16;1
eajs.5-250-11.ExpUtil;mdp;0.6013133014320882;1;1.4422885903006456e-15;1
eajs.6-300-13.ExpUtil;mdp;0.6680803903759294;1;1.379263650168444e-15;1
echoring.100.MaxOffline1;mdp;704841.1647079608;704841.1647079608;3.5867717133825884e-15;1
elevators.b-11-9.goal;mdp;1e-20;1;1e-20;1
exploding-blocksworld.10.goal;mdp;80000;80000;80000;80000
pacman.100.crash;mdp;3.197587145077231e-05;1;6.547166682995522e-17;1
pacman.60.crash;mdp;1.3603639833539331e-05;1;4.5291388247946815e-17;1
pnueli-zuck.5.live;mdp;1e-20;1;1e-20;1
pnueli-zuck.10.live;mdp;1e-20;1;1e-20;1
rabin.10.live;mdp;1e-20;1;1e-20;1
rectangle-tireworld.11.goal;mdp;1e-20;1;1e-20;1
resource-gathering.1300-100-100.expsteps;mdp;0.9448053633426475;1;3.4097421203438397e-15;1
tireworld.45.goal;mdp;5.802777259719216e-07;1;4.6107458482042723e-17;1
triangle-tireworld.441.goal;mdp;1e-20;1;1e-20;1
wlan.4-0.sent;mdp;1.0;1;1e-20;1
wlan.4-0.cost_min;mdp;1e-20;1;1e-20;1
wlan.5-0.sent;mdp;1.0;1;1e-20;1
wlan.5-0.cost_min;mdp;1e-20;1;1e-20;1
wlan.6-0.sent;mdp;1.0;1;1e-20;1
wlan.6-0.cost_min;mdp;1e-20;1;1e-20;1
zenotravel.4-2-2.goal;mdp;1e-20;1;1e-20;1
zeroconf.1000-8-false.correct_max;mdp;0.00028171448656063593;1;5.552947237229823e-16;1
zeroconf.1000-8-false.correct_min;mdp;0.6960773423587847;1;4.70833776261531e-16;1
