id;Type;PET;PETshifted;other;othershifted
crowds.5-20.positive;dtmc;80000;80000;9.515362669829673e-16;1
crowds.6-20.positive;dtmc;80000;80000;1.2050697748760292e-15;1
egl.10-2.unfairA;dtmc;80000;80000;1e-20;1
egl.10-8.unfairA;dtmc;80000;80000;1e-20;1
haddad-monmege.100-0.7.target;dtmc;80000;80000;1e-20;1
nand.40-4.reliable;dtmc;80000;80000;4.5617803606653975e-15;1
nand.60-4.reliable;dtmc;80000;80000;4.369369602175868e-15;1
embedded.8-12.actuators;ctmc;0.00041081771136981473;1;1e-20;1
polling.18-16.s1_before_s2;ctmc;80000;80000;1e-20;1
consensus.4-4.disagree;mdp;80000;80000;2.6152700435214278e-14;1
consensus.6-2.disagree;mdp;80000;80000;1.2215798022463565e-14;1
csma.3-4.all_before_max;mdp;2.4957501700571253e-05;1;6.627997924459708e-17;1
csma.4-2.all_before_max;mdp;0.0001536852691646035;1;1.932587577876039e-16;1
pacman.100.crash;mdp;80000;80000;6.547166682995522e-17;1
pacman.60.crash;mdp;80000;80000;4.5291388247946815e-17;1
pnueli-zuck.5.live;mdp;1e-20;1;1e-20;1
pnueli-zuck.10.live;mdp;1e-20;1;1e-20;1
rabin.10.live;mdp;1e-20;1;1e-20;1
resource-gathering.1300-100-100.prgoldgem;mdp;80000;80000;5.727704752942418e-15;1
wlan.4-0.sent;mdp;80000;80000;1e-20;1
wlan.5-0.sent;mdp;80000;80000;1e-20;1
wlan.6-0.sent;mdp;80000;80000;1e-20;1
zeroconf.1000-8-false.correct_max;mdp;80000;80000;5.552947237229823e-16;1
zeroconf.1000-8-false.correct_min;mdp;1.0;1;4.70833776261531e-16;1
