id;Type;modes;modesshifted;other;othershifted
coupon.9-4-5.collect_all_bounded;dtmc;0.0004169905725708594;1;1.259200181487105e-16;1
coupon.9-4-5.exp_draws;dtmc;0.00011229516299799429;1;1.2296227244389844e-15;1
coupon.15-4-5.collect_all_bounded;dtmc;0.004694147893130471;1;80000;80000
coupon.15-4-5.exp_draws;dtmc;0.00012299067433968355;1;80000;80000
crowds.5-20.positive;dtmc;0.0001913248858658629;1;9.515362669829673e-16;1
crowds.6-20.positive;dtmc;0.0005510063148920901;1;1.2050697748760292e-15;1
egl.10-2.messagesB;dtmc;0.0006039252397868916;1;1.5583187771991254e-17;1
egl.10-2.unfairA;dtmc;0.00031931702040486086;1;1e-20;1
egl.10-8.messagesB;dtmc;7.026689924691426e-05;1;1.0751316283480098e-16;1
egl.10-8.unfairA;dtmc;0.00047046417326699393;1;1e-20;1
haddad-monmege.100-0.7.exp_steps;dtmc;80000;80000;1e-20;1
haddad-monmege.100-0.7.target;dtmc;80000;80000;1e-20;1
nand.40-4.reliable;dtmc;0.00012991721994300915;1;4.5617803606653975e-15;1
nand.60-4.reliable;dtmc;0.00042935507794751793;1;4.369369602175868e-15;1
cluster.128-2000-20.qos1;ctmc;0.03772753192995884;1;1e-20;1
cluster.64-2000-20.below_min;ctmc;0.0003960281002405651;1;1.9421996908322827e-08;1
embedded.8-12.actuators;ctmc;80000;80000;1e-20;1
embedded.8-12.up_time;ctmc;80000;80000;1e-20;1
majority.2100.change_state;ctmc;0.0036388697323774337;1;1e-20;1
mapk_cascade.4-30.activated_time;ctmc;0.000334988705842077;1;1e-20;1
mapk_cascade.4-30.reactions;ctmc;0.0002302773642310367;1;5.613668679756939e-09;1
philosophers.16-1.MaxPrReachDeadlockTB;ctmc;0.014803410167937344;1;1e-20;1
philosophers.16-1.MaxPrReachDeadlock;ctmc;1e-20;1;1e-20;1
philosophers.16-1.MinExpTimeDeadlock;ctmc;9.383091936794903e-05;1;1.3752174878464596e-10;1
philosophers.20-1.MaxPrReachDeadlockTB;ctmc;0.0026755031536901215;1;80000;80000
philosophers.20-1.MaxPrReachDeadlock;ctmc;1e-20;1;1e-20;1
philosophers.20-1.MinExpTimeDeadlock;ctmc;0.0004872069225042018;1;80000;80000
polling.18-16.s1_before_s2;ctmc;0.018211753060276954;1;1e-20;1
speed-ind.2100.change_state;ctmc;0.0010824045191676738;1;1e-20;1
beb.4-8-7.LineSeized;mdp;0.0026635812141544697;1;2.85791589995175e-17;1
beb.5-16-15.LineSeized;mdp;1e-20;1;1e-20;1
consensus.4-4.disagree;mdp;80000;80000;2.6152700435214278e-14;1
consensus.4-4.steps_min;mdp;0.10116505456349231;1;1.0677083333333333e-14;1
consensus.6-2.disagree;mdp;0.890669442868901;1;1.2215798022463565e-14;1
consensus.6-2.steps_min;mdp;0.1974217372134;1;5.555555555555555e-15;1
csma.3-4.all_before_max;mdp;0.009475947060749272;1;6.627997924459708e-17;1
csma.3-4.time_max;mdp;0.06571395120374415;1;3.035559388707642e-17;1
csma.4-2.all_before_max;mdp;0.15837732961151574;1;1.932587577876039e-16;1
csma.4-2.time_max;mdp;0.08376335986634065;1;1.2073953584965321e-16;1
eajs.5-250-11.ExpUtil;mdp;0.8092335060192238;1;1.4422885903006456e-15;1
eajs.6-300-13.ExpUtil;mdp;0.8670402951043463;1;1.379263650168444e-15;1
echoring.100.MaxOffline1;mdp;80000;80000;3.5867717133825884e-15;1
elevators.b-11-9.goal;mdp;80000;80000;1e-20;1
exploding-blocksworld.10.goal;mdp;80000;80000;80000;80000
firewire.false-36-800.deadline;mdp;0.02998118998118996;1;1e-20;1
pacman.100.crash;mdp;0.8144946908520219;1;6.547166682995522e-17;1
pacman.60.crash;mdp;0.794733177017636;1;4.5291388247946815e-17;1
pnueli-zuck.5.live;mdp;1e-20;1;1e-20;1
pnueli-zuck.10.live;mdp;1e-20;1;1e-20;1
rabin.10.live;mdp;1e-20;1;1e-20;1
rectangle-tireworld.11.goal;mdp;80000;80000;1e-20;1
resource-gathering.1300-100-100.expgold;mdp;1.0;1;4.893797605219141e-15;1
resource-gathering.1300-100-100.expsteps;mdp;80000;80000;3.4097421203438397e-15;1
resource-gathering.1300-100-100.prgoldgem;mdp;1.0;1;5.727704752942418e-15;1
tireworld.45.goal;mdp;0.0976553476553476;1;4.6107458482042723e-17;1
triangle-tireworld.441.goal;mdp;1e-20;1;1e-20;1
wlan.4-0.sent;mdp;1.0;1;1e-20;1
wlan.4-0.cost_min;mdp;0.09298360655737653;1;1e-20;1
wlan.5-0.sent;mdp;1.0;1;1e-20;1
wlan.5-0.cost_min;mdp;0.07842622950819646;1;1e-20;1
wlan.6-0.sent;mdp;1.0;1;1e-20;1
wlan.6-0.cost_min;mdp;0.018622950819672395;1;1e-20;1
zenotravel.4-2-2.goal;mdp;80000;80000;1e-20;1
zeroconf.1000-8-false.correct_max;mdp;1.0;1;5.552947237229823e-16;1
zeroconf.1000-8-false.correct_min;mdp;1.0;1;4.70833776261531e-16;1
bitcoin-attack.20-6.P_MWinMax;ma;0.20618270840308248;1;1e-20;1
cabinets.3-2-true.Unreliability;ma;0.15073158027035138;1;1e-20;1
dpm.4-8-5.PmaxQueuesFullBound;ma;0.05190982825321303;1;1e-20;1
dpm.6-6-5.PminQueue1Full;ma;80000;80000;1e-20;1
ftwc.8-5.TimeMax;ma;80000;80000;1.3345979821682612e-08;1
ftwc.8-5.TimeMin;ma;80000;80000;3.804311069211233e-09;1
hecs.false-1-1.Unreliability;ma;0.0039624978143900196;1;1e-20;1
hecs.false-2-2.Unreliability;ma;0.002873230376870146;1;1e-20;1
hecs.false-3-2.Unreliability;ma;1.0;1;1e-20;1
readers-writers.40.exp_time_many_requests;ma;0.007943976367743943;1;1e-20;1
readers-writers.40.prtb_many_requests;ma;0.0019662650890626874;1;1e-20;1
sms.3-true.Unreliability;ma;0.005609956721997932;1;1e-20;1
stream.1000.exp_buffertime;ma;0.03692842090527146;1;4.093489606950049e-17;1
stream.1000.pr_underrun;ma;1.77623509302384;1.77623509302384;1.207691470804388e-16;1
stream.1000.pr_underrun_tb;ma;0.03853885518682587;1;1e-20;1
vgs.5-10000.MaxPrReachFailedTB;ma;80000;80000;1e-20;1
vgs.5-10000.MinExpTimeFailed;ma;80000;80000;2.0723690594421383e-16;1
firewire-pta.30-5000.deadline;pta;80000;80000;1e-20;1
firewire-pta.30-5000.eventually;pta;80000;80000;1e-20;1
wlan-large.2.E_or;pta;80000;80000;1.1071198198386272e-16;1
wlan-large.2.P_max;pta;80000;80000;1e-20;1
zeroconf-pta.200.deadline;pta;80000;80000;1e-20;1
zeroconf-pta.200.incorrect;pta;80000;80000;1e-20;1
