n;DFTRES;DFTRESscaled;DFTRESshifted;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;ModestFRETpiLRTDP;ModestFRETpiLRTDPscaled;ModestFRETpiLRTDPshifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;STAMINA;STAMINAscaled;STAMINAshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;3.0705976486206055;3.0705976486206055;3.0705976486206055;2.1086807250976562;2.1086807250976562;2.1086807250976562;0.589979887008667;0.7533450970140398;1.0;1.4498915672302246;1.4498915672302246;1.4498915672302246;1.0364038944244385;1.0364038944244385;1.0364038944244385;0.6351883411407471;0.777242432584211;1.0;1.419585943222046;1.419585943222046;1.419585943222046;904.0696170330048;904.0696170330048;904.0696170330048;0.06034135818481445;0.5225193855271721;1.0;0.057616233825683594;0.5215366945417468;1.0
2;3.4535748958587646;3.4535748958587646;3.4535748958587646;2.48786997795105;2.48786997795105;2.48786997795105;0.5905470848083496;0.75364032024534;1.0;1.7078475952148438;1.7078475952148438;1.7078475952148438;1.040675163269043;1.040675163269043;1.040675163269043;0.6649792194366455;0.7934028676315708;1.0;1.4234633445739746;1.4234633445739746;1.4234633445739746;;;;0.06630277633666992;0.5246755577956781;1.0;0.05772733688354492;0.5215767225970569;1.0
3;46.96740245819092;46.96740245819092;46.96740245819092;2.5823302268981934;2.5823302268981934;2.5823302268981934;0.6193630695343018;0.7687921158011951;1.0;1.977264404296875;1.977264404296875;1.977264404296875;1.0410223007202148;1.0410223007202148;1.0410223007202148;1.2021286487579346;1.2021286487579346;1.2021286487579346;1.4320857524871826;1.4320857524871826;1.4320857524871826;;;;0.07272958755493164;0.5270100245732117;1.0;0.06799006462097168;0.5252874433286562;1.0
4;114.38483238220215;114.38483238220215;114.38483238220215;10.496257781982422;10.496257781982422;10.496257781982422;0.7864203453063965;0.8628317220703787;1.0;9.82671594619751;9.82671594619751;9.82671594619751;1.5411746501922607;1.5411746501922607;1.5411746501922607;1.2377865314483643;1.2377865314483643;1.2377865314483643;1.4675109386444092;1.4675109386444092;1.4675109386444092;;;;0.0974283218383789;0.5360786318554405;1.0;0.07076811790466309;0.5262964436598392;1.0
5;131.3851716518402;131.3851716518402;131.3851716518402;11.484796285629272;11.484796285629272;11.484796285629272;1.3950080871582031;1.3950080871582031;1.3950080871582031;19.671817779541016;19.671817779541016;19.671817779541016;2.0422236919403076;2.0422236919403076;2.0422236919403076;37.3504204750061;37.3504204750061;37.3504204750061;1.6586251258850098;1.6586251258850098;1.6586251258850098;;;;0.0995478630065918;0.5368640940131897;1.0;0.0983588695526123;0.5364233337546697;1.0
6;;;;12.494310855865479;12.494310855865479;12.494310855865479;1.6118519306182861;1.6118519306182861;1.6118519306182861;23.584816455841064;23.584816455841064;23.584816455841064;2.043485403060913;2.043485403060913;2.043485403060913;38.91295313835144;38.91295313835144;38.91295313835144;1.6628661155700684;1.6628661155700684;1.6628661155700684;;;;0.13095998764038086;0.5486406676761612;1.0;0.10082387924194336;0.5373375165398888;1.0
7;;;;31.50078582763672;31.50078582763672;31.50078582763672;3.0694596767425537;3.0694596767425537;3.0694596767425537;98.42154455184937;98.42154455184937;98.42154455184937;3.0407462120056152;3.0407462120056152;3.0407462120056152;43.49664902687073;43.49664902687073;43.49664902687073;1.6804678440093994;1.6804678440093994;1.6804678440093994;;;;0.16817975044250488;0.5629293923137041;1.0;0.12589550018310547;0.5467246434854078;1.0
8;;;;44.629342794418335;44.629342794418335;44.629342794418335;3.591623544692993;3.591623544692993;3.591623544692993;128.88317608833313;128.88317608833313;128.88317608833313;3.0427956581115723;3.0427956581115723;3.0427956581115723;59.1930193901062;59.1930193901062;59.1930193901062;5.859082937240601;5.859082937240601;5.859082937240601;;;;0.1687946319580078;0.5631685446024731;1.0;0.1651628017425537;0.5617574497427184;1.0
9;;;;57.77967071533203;57.77967071533203;57.77967071533203;4.1229071617126465;4.1229071617126465;4.1229071617126465;179.95943593978882;179.95943593978882;179.95943593978882;3.5443286895751953;3.5443286895751953;3.5443286895751953;199.12494730949402;199.12494730949402;199.12494730949402;7.122632026672363;7.122632026672363;7.122632026672363;;;;0.3431873321533203;0.6352668593901711;1.0;0.16974854469299316;0.5635397609339582;1.0
10;;;;64.05401825904846;64.05401825904846;64.05401825904846;4.337080478668213;4.337080478668213;4.337080478668213;182.11770367622375;182.11770367622375;182.11770367622375;3.546347141265869;3.546347141265869;3.546347141265869;;;;7.755246877670288;7.755246877670288;7.755246877670288;;;;0.3787529468536377;0.6510673010470339;1.0;0.3427000045776367;0.6350530429804603;1.0
