n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted
1;2.2813973426818848;2.2813973426818848;2.2813973426818848;3.0694596767425537;3.0694596767425537;3.0694596767425537;0.0974283218383789;0.5360786318554405;1.0
2;2.523216485977173;2.523216485977173;2.523216485977173;3.591623544692993;3.591623544692993;3.591623544692993;0.13095998764038086;0.5486406676761612;1.0
3;2.530890464782715;2.530890464782715;2.530890464782715;4.1229071617126465;4.1229071617126465;4.1229071617126465;1.4592525959014893;1.4592525959014893;1.4592525959014893
4;32.334659814834595;32.334659814834595;32.334659814834595;4.337080478668213;4.337080478668213;4.337080478668213;2.243938684463501;2.243938684463501;2.243938684463501
5;44.409607887268066;44.409607887268066;44.409607887268066;4.363117456436157;4.363117456436157;4.363117456436157;3.3916406631469727;3.3916406631469727;3.3916406631469727
6;55.30375266075134;55.30375266075134;55.30375266075134;4.468922138214111;4.468922138214111;4.468922138214111;3.711729049682617;3.711729049682617;3.711729049682617
7;83.54272627830505;83.54272627830505;83.54272627830505;5.541377305984497;5.541377305984497;5.541377305984497;4.280115604400635;4.280115604400635;4.280115604400635
8;88.45959448814392;88.45959448814392;88.45959448814392;5.950003385543823;5.950003385543823;5.950003385543823;4.341279983520508;4.341279983520508;4.341279983520508
9;89.23931074142456;89.23931074142456;89.23931074142456;6.658794164657593;6.658794164657593;6.658794164657593;8.989420175552368;8.989420175552368;8.989420175552368
10;107.73973107337952;107.73973107337952;107.73973107337952;7.0185158252716064;7.0185158252716064;7.0185158252716064;10.272721529006958;10.272721529006958;10.272721529006958
11;129.35116958618164;129.35116958618164;129.35116958618164;7.495967864990234;7.495967864990234;7.495967864990234;10.315888166427612;10.315888166427612;10.315888166427612
12;167.5069031715393;167.5069031715393;167.5069031715393;7.530000448226929;7.530000448226929;7.530000448226929;12.840407848358154;12.840407848358154;12.840407848358154
13;174.05734181404114;174.05734181404114;174.05734181404114;7.807526111602783;7.807526111602783;7.807526111602783;15.359503030776978;15.359503030776978;15.359503030776978
14;176.73462772369385;176.73462772369385;176.73462772369385;12.376911401748657;12.376911401748657;12.376911401748657;16.67484951019287;16.67484951019287;16.67484951019287
15;177.70716762542725;177.70716762542725;177.70716762542725;13.202630519866943;13.202630519866943;13.202630519866943;17.072768688201904;17.072768688201904;17.072768688201904
16;215.66537404060364;215.66537404060364;215.66537404060364;14.484102010726929;14.484102010726929;14.484102010726929;17.269431829452515;17.269431829452515;17.269431829452515
17;352.29078555107117;352.29078555107117;352.29078555107117;14.642618894577026;14.642618894577026;14.642618894577026;18.563143730163574;18.563143730163574;18.563143730163574
18;477.92209553718567;477.92209553718567;477.92209553718567;15.878494501113892;15.878494501113892;15.878494501113892;20.71578359603882;20.71578359603882;20.71578359603882
19;601.3485345840454;601.3485345840454;601.3485345840454;17.623847723007202;17.623847723007202;17.623847723007202;22.864012479782104;22.864012479782104;22.864012479782104
20;816.1197836399078;816.1197836399078;816.1197836399078;24.88311743736267;24.88311743736267;24.88311743736267;23.80597162246704;23.80597162246704;23.80597162246704
21;993.5482563972473;993.5482563972473;993.5482563972473;30.964380502700806;30.964380502700806;30.964380502700806;24.570918560028076;24.570918560028076;24.570918560028076
22;;;;31.035571575164795;31.035571575164795;31.035571575164795;32.444220542907715;32.444220542907715;32.444220542907715
23;;;;31.335333108901978;31.335333108901978;31.335333108901978;34.1780846118927;34.1780846118927;34.1780846118927
24;;;;37.32885766029358;37.32885766029358;37.32885766029358;36.72918152809143;36.72918152809143;36.72918152809143
25;;;;46.398547887802124;46.398547887802124;46.398547887802124;39.51769757270813;39.51769757270813;39.51769757270813
26;;;;51.47614073753357;51.47614073753357;51.47614073753357;45.865715742111206;45.865715742111206;45.865715742111206
27;;;;81.24693274497986;81.24693274497986;81.24693274497986;51.19405913352966;51.19405913352966;51.19405913352966
28;;;;82.08800458908081;82.08800458908081;82.08800458908081;57.177348613739014;57.177348613739014;57.177348613739014
29;;;;96.99260330200195;96.99260330200195;96.99260330200195;57.92487025260925;57.92487025260925;57.92487025260925
30;;;;104.70440745353699;104.70440745353699;104.70440745353699;58.92658519744873;58.92658519744873;58.92658519744873
31;;;;136.16869854927063;136.16869854927063;136.16869854927063;72.52559161186218;72.52559161186218;72.52559161186218
32;;;;173.54415917396545;173.54415917396545;173.54415917396545;88.89722752571106;88.89722752571106;88.89722752571106
33;;;;188.08399486541748;188.08399486541748;188.08399486541748;114.9733829498291;114.9733829498291;114.9733829498291
34;;;;248.58886337280273;248.58886337280273;248.58886337280273;120.61619734764099;120.61619734764099;120.61619734764099
35;;;;287.81885743141174;287.81885743141174;287.81885743141174;126.30804967880249;126.30804967880249;126.30804967880249
36;;;;299.79538893699646;299.79538893699646;299.79538893699646;152.9982078075409;152.9982078075409;152.9982078075409
37;;;;401.94560527801514;401.94560527801514;401.94560527801514;157.68322658538818;157.68322658538818;157.68322658538818
38;;;;554.3715498447418;554.3715498447418;554.3715498447418;183.7072069644928;183.7072069644928;183.7072069644928
39;;;;788.1266028881073;788.1266028881073;788.1266028881073;185.3034143447876;185.3034143447876;185.3034143447876
40;;;;1796.9028866291046;1796.9028866291046;1796.9028866291046;186.30844974517822;186.30844974517822;186.30844974517822
41;;;;;;;275.1262061595917;275.1262061595917;275.1262061595917
42;;;;;;;632.4046204090118;632.4046204090118;632.4046204090118
43;;;;;;;822.0869903564453;822.0869903564453;822.0869903564453
44;;;;;;;923.8035209178925;923.8035209178925;923.8035209178925
45;;;;;;;;;
46;;;;;;;;;
47;;;;;;;;;
48;;;;;;;;;
49;;;;;;;;;
50;;;;;;;;;
51;;;;;;;;;
52;;;;;;;;;
53;;;;;;;;;
54;;;;;;;;;
55;;;;;;;;;
56;;;;;;;;;
