id;Type;PET;PETshifted;other;othershifted
crowds.5-20.positive;dtmc;4000;4000;7.530000448226929;7.530000448226929
crowds.6-20.positive;dtmc;4000;4000;37.257758140563965;37.257758140563965
egl.10-2.unfairA;dtmc;8000;8000;47.48324942588806;47.48324942588806
egl.10-8.unfairA;dtmc;8000;8000;17.521067142486572;17.521067142486572
haddad-monmege.100-0.7.target;dtmc;4000;4000;4000;4000
nand.40-4.reliable;dtmc;4000;4000;7.0185158252716064;7.0185158252716064
nand.60-4.reliable;dtmc;4000;4000;30.964380502700806;30.964380502700806
embedded.8-12.actuators;ctmc;37.3504204750061;37.3504204750061;0.13095998764038086;1
polling.18-16.s1_before_s2;ctmc;4000;4000;65.2170786857605;65.2170786857605
consensus.4-4.disagree;mdp;4000;4000;1.4592525959014893;1.4592525959014893
consensus.6-2.disagree;mdp;4000;4000;36.72918152809143;36.72918152809143
csma.3-4.all_before_max;mdp;59.1930193901062;59.1930193901062;5.950003385543823;5.950003385543823
csma.4-2.all_before_max;mdp;38.91295313835144;38.91295313835144;3.0694596767425537;3.0694596767425537
pacman.100.crash;mdp;8000;8000;299.79538893699646;299.79538893699646
pacman.60.crash;mdp;199.12494730949402;199.12494730949402;136.16869854927063;136.16869854927063
pnueli-zuck.5.live;mdp;0.6649792194366455;1;1.0364038944244385;1.0364038944244385
pnueli-zuck.10.live;mdp;0.6351883411407471;1;1.5411746501922607;1.5411746501922607
rabin.10.live;mdp;1.2377865314483643;1.2377865314483643;1.0410223007202148;1.0410223007202148
resource-gathering.1300-100-100.prgoldgem;mdp;4000;4000;23.38982105255127;23.38982105255127
wlan.4-0.sent;mdp;4000;4000;3.3916406631469727;3.3916406631469727
wlan.5-0.sent;mdp;4000;4000;12.840407848358154;12.840407848358154
wlan.6-0.sent;mdp;4000;4000;51.19405913352966;51.19405913352966
zeroconf.1000-8-false.correct_max;mdp;43.49664902687073;43.49664902687073;12.376911401748657;12.376911401748657
zeroconf.1000-8-false.correct_min;mdp;1.2021286487579346;1.2021286487579346;15.878494501113892;15.878494501113892
