id;Type;PRISM-TUM;PRISM-TUMshifted;other;othershifted
crowds.5-20.positive;dtmc;4000;4000;2.7329373359680176;2.7329373359680176
crowds.6-20.positive;dtmc;4000;4000;2.985177755355835;2.985177755355835
egl.10-2.unfairA;dtmc;8000;8000;3.8108909130096436;3.8108909130096436
egl.10-8.unfairA;dtmc;8000;8000;17.521067142486572;17.521067142486572
haddad-monmege.100-0.7.target;dtmc;4000;4000;0.057616233825683594;1
nand.40-4.reliable;dtmc;4000;4000;8.605183124542236;8.605183124542236
nand.60-4.reliable;dtmc;4000;4000;34.5739164352417;34.5739164352417
embedded.8-12.actuators;ctmc;37.3504204750061;37.3504204750061;0.12589550018310547;1
polling.18-16.s1_before_s2;ctmc;4000;4000;17.32126760482788;17.32126760482788
consensus.4-4.disagree;mdp;4000;4000;1.4549946784973145;1.4549946784973145
consensus.6-2.disagree;mdp;4000;4000;6.063857316970825;6.063857316970825
csma.3-4.all_before_max;mdp;59.1930193901062;59.1930193901062;5.794644594192505;5.794644594192505
csma.4-2.all_before_max;mdp;38.91295313835144;38.91295313835144;5.465436697006226;5.465436697006226
pacman.100.crash;mdp;8000;8000;73.49217557907104;73.49217557907104
pacman.60.crash;mdp;199.12494730949402;199.12494730949402;32.46374273300171;32.46374273300171
pnueli-zuck.5.live;mdp;0.6649792194366455;1;0.9487230777740479;1
pnueli-zuck.10.live;mdp;0.6351883411407471;1;1.5411746501922607;1.5411746501922607
rabin.10.live;mdp;1.2377865314483643;1.2377865314483643;1.0410223007202148;1.0410223007202148
resource-gathering.1300-100-100.prgoldgem;mdp;4000;4000;23.38982105255127;23.38982105255127
wlan.4-0.sent;mdp;4000;4000;2.2007222175598145;2.2007222175598145
wlan.5-0.sent;mdp;4000;4000;3.432474374771118;3.432474374771118
wlan.6-0.sent;mdp;4000;4000;6.631868124008179;6.631868124008179
zeroconf.1000-8-false.correct_max;mdp;43.49664902687073;43.49664902687073;14.900802373886108;14.900802373886108
zeroconf.1000-8-false.correct_min;mdp;1.2021286487579346;1.2021286487579346;19.866017818450928;19.866017818450928
