id;Type;PRISM;PRISMshifted;other;othershifted
bluetooth.1.time;dtmc;12.952099561691284;12.952099561691284;4000;4000
crowds.5-20.positive;dtmc;7.755246877670288;7.755246877670288;7.530000448226929;7.530000448226929
crowds.6-20.positive;dtmc;37.257758140563965;37.257758140563965;37.32885766029358;37.32885766029358
egl.10-2.messagesB;dtmc;362.3100280761719;362.3100280761719;287.81885743141174;287.81885743141174
egl.10-2.unfairA;dtmc;47.48324942588806;47.48324942588806;188.08399486541748;188.08399486541748
egl.10-8.messagesB;dtmc;64.76841044425964;64.76841044425964;1259.660579442978;1259.660579442978
egl.10-8.unfairA;dtmc;17.521067142486572;17.521067142486572;1406.6142647266388;1406.6142647266388
haddad-monmege.100-0.7.exp_steps;dtmc;16000;16000;4000;4000
haddad-monmege.100-0.7.target;dtmc;8000;8000;4000;4000
herman.15.steps;dtmc;5.859082937240601;5.859082937240601;22.627134799957275;22.627134799957275
nand.40-4.reliable;dtmc;15.936527252197266;15.936527252197266;7.0185158252716064;7.0185158252716064
nand.60-4.reliable;dtmc;47.24611163139343;47.24611163139343;30.964380502700806;30.964380502700806
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;60.04257249832153;60.04257249832153;193.24811363220215;193.24811363220215
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;60.17646670341492;60.17646670341492;192.6433880329132;192.6433880329132
cluster.128-2000-20.premium_steady;ctmc;65.2724494934082;65.2724494934082;1.4498915672302246;1.4498915672302246
cluster.128-2000-20.qos1;ctmc;628.9095811843872;628.9095811843872;152.9982078075409;152.9982078075409
cluster.64-2000-20.below_min;ctmc;51.14619183540344;51.14619183540344;308.0870907306671;308.0870907306671
embedded.8-12.actuators;ctmc;1.6804678440093994;1.6804678440093994;0.13095998764038086;1
embedded.8-12.up_time;ctmc;1.6628661155700684;1.6628661155700684;0.0974283218383789;1
fms.8.productivity;ctmc;91.5302300453186;91.5302300453186;23.584816455841064;23.584816455841064
kanban.5.throughput;ctmc;30.54009485244751;30.54009485244751;61.16575479507446;61.16575479507446
majority.2100.change_state;ctmc;100.18391919136047;100.18391919136047;32.444220542907715;32.444220542907715
mapk_cascade.4-30.activated_time;ctmc;11.515100240707397;11.515100240707397;3.711729049682617;3.711729049682617
mapk_cascade.4-30.reactions;ctmc;256.1978077888489;256.1978077888489;182.11770367622375;182.11770367622375
polling.18-16.s1_before_s2;ctmc;65.2170786857605;65.2170786857605;183.7072069644928;183.7072069644928
speed-ind.2100.change_state;ctmc;241.12155628204346;241.12155628204346;126.30804967880249;126.30804967880249
consensus.4-4.disagree;mdp;11.540806293487549;11.540806293487549;1.4592525959014893;1.4592525959014893
consensus.4-4.steps_min;mdp;8.910725116729736;8.910725116729736;2.243938684463501;2.243938684463501
consensus.6-2.disagree;mdp;147.07581901550293;147.07581901550293;36.72918152809143;36.72918152809143
consensus.6-2.steps_min;mdp;185.85908579826355;185.85908579826355;45.865715742111206;45.865715742111206
csma.3-4.all_before_max;mdp;42.58271408081055;42.58271408081055;5.950003385543823;5.950003385543823
csma.3-4.time_max;mdp;17.848053693771362;17.848053693771362;6.658794164657593;6.658794164657593
csma.4-2.all_before_max;mdp;38.53965520858765;38.53965520858765;3.0694596767425537;3.0694596767425537
csma.4-2.time_max;mdp;14.65919041633606;14.65919041633606;4.363117456436157;4.363117456436157
eajs.5-250-11.ExpUtil;mdp;21.713942527770996;21.713942527770996;17.623847723007202;17.623847723007202
eajs.6-300-13.ExpUtil;mdp;67.28400444984436;67.28400444984436;51.47614073753357;51.47614073753357
pacman.100.crash;mdp;4000;4000;299.79538893699646;299.79538893699646
pacman.60.crash;mdp;4000;4000;136.16869854927063;136.16869854927063
pnueli-zuck.5.live;mdp;1.6586251258850098;1.6586251258850098;0.6649792194366455;1
pnueli-zuck.10.live;mdp;14.925920009613037;14.925920009613037;0.6351883411407471;1
rabin.10.live;mdp;67.95242595672607;67.95242595672607;1.0410223007202148;1.0410223007202148
resource-gathering.1300-100-100.expgold;mdp;37.19826865196228;37.19826865196228;65.08939480781555;65.08939480781555
resource-gathering.1300-100-100.expsteps;mdp;52.355270862579346;52.355270862579346;25.759570121765137;25.759570121765137
resource-gathering.1300-100-100.prgoldgem;mdp;23.38982105255127;23.38982105255127;91.11417508125305;91.11417508125305
wlan.4-0.sent;mdp;10.2262864112854;10.2262864112854;3.3916406631469727;3.3916406631469727
wlan.4-0.cost_min;mdp;21.573160409927368;21.573160409927368;3.0407462120056152;3.0407462120056152
wlan.5-0.sent;mdp;27.517194986343384;27.517194986343384;12.840407848358154;12.840407848358154
wlan.5-0.cost_min;mdp;97.43040728569031;97.43040728569031;3.546347141265869;3.546347141265869
wlan.6-0.sent;mdp;99.05307197570801;99.05307197570801;51.19405913352966;51.19405913352966
wlan.6-0.cost_min;mdp;542.9152591228485;542.9152591228485;3.5443286895751953;3.5443286895751953
zeroconf.1000-8-false.correct_max;mdp;185.95202374458313;185.95202374458313;12.376911401748657;12.376911401748657
zeroconf.1000-8-false.correct_min;mdp;95.62473106384277;95.62473106384277;1.2021286487579346;1.2021286487579346
firewire-pta.30-5000.deadline;pta;7.122632026672363;7.122632026672363;468.57722568511963;468.57722568511963
firewire-pta.30-5000.eventually;pta;1.4320857524871826;1.4320857524871826;18.953999280929565;18.953999280929565
repudiation_malicious.20.deadline;pta;27.04858684539795;27.04858684539795;4000;4000
repudiation_malicious.20.eventually;pta;1.4234633445739746;1.4234633445739746;4000;4000
zeroconf-pta.200.deadline;pta;1.4675109386444092;1.4675109386444092;0.6193630695343018;1
zeroconf-pta.200.incorrect;pta;1.419585943222046;1.419585943222046;0.3787529468536377;1
