id;Type;Storm;Stormshifted;other;othershifted
bluetooth.1.time;dtmc;12.294154405593872;12.294154405593872;4000;4000
coupon.9-4-5.collect_all_bounded;dtmc;4.716279983520508;4.716279983520508;275.10556173324585;275.10556173324585
coupon.9-4-5.exp_draws;dtmc;4.516379117965698;4.516379117965698;186.30844974517822;186.30844974517822
coupon.15-4-5.collect_all_bounded;dtmc;4000;4000;4000;4000
coupon.15-4-5.exp_draws;dtmc;1408.3705487251282;1408.3705487251282;4000;4000
crowds.5-20.positive;dtmc;2.7329373359680176;2.7329373359680176;15.359503030776978;15.359503030776978
crowds.6-20.positive;dtmc;2.985177755355835;2.985177755355835;114.9733829498291;114.9733829498291
egl.10-2.messagesB;dtmc;3.7315237522125244;3.7315237522125244;923.8035209178925;923.8035209178925
egl.10-2.unfairA;dtmc;3.8108909130096436;3.8108909130096436;822.0869903564453;822.0869903564453
egl.10-8.messagesB;dtmc;16.54027271270752;16.54027271270752;4000;4000
egl.10-8.unfairA;dtmc;26.02415657043457;26.02415657043457;4000;4000
haddad-monmege.100-0.7.exp_steps;dtmc;0.05772733688354492;1;4000;4000
haddad-monmege.100-0.7.target;dtmc;0.057616233825683594;1;4000;4000
herman.15.steps;dtmc;4.200374364852905;4.200374364852905;22.627134799957275;22.627134799957275
nand.40-4.reliable;dtmc;8.605183124542236;8.605183124542236;18.563143730163574;18.563143730163574
nand.60-4.reliable;dtmc;34.5739164352417;34.5739164352417;88.89722752571106;88.89722752571106
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;209.80363702774048;209.80363702774048;193.24811363220215;193.24811363220215
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;210.48579907417297;210.48579907417297;192.6433880329132;192.6433880329132
cluster.128-2000-20.premium_steady;ctmc;34.00934982299805;34.00934982299805;34.1780846118927;34.1780846118927
cluster.128-2000-20.qos1;ctmc;153.45935201644897;153.45935201644897;152.9982078075409;152.9982078075409
cluster.64-2000-20.below_min;ctmc;307.41595363616943;307.41595363616943;308.0870907306671;308.0870907306671
embedded.8-12.actuators;ctmc;0.12589550018310547;1;0.13095998764038086;1
embedded.8-12.up_time;ctmc;0.0983588695526123;1;0.0974283218383789;1
fms.8.productivity;ctmc;119.04714965820312;119.04714965820312;120.61619734764099;120.61619734764099
kanban.5.throughput;ctmc;54.55537295341492;54.55537295341492;61.16575479507446;61.16575479507446
majority.2100.change_state;ctmc;32.29943537712097;32.29943537712097;32.444220542907715;32.444220542907715
mapk_cascade.4-30.activated_time;ctmc;3.724867343902588;3.724867343902588;3.711729049682617;3.711729049682617
mapk_cascade.4-30.reactions;ctmc;236.51128005981445;236.51128005981445;190.44857573509216;190.44857573509216
philosophers.16-1.MaxPrReachDeadlockTB;ctmc;46.3243293762207;46.3243293762207;57.92487025260925;57.92487025260925
philosophers.16-1.MaxPrReachDeadlock;ctmc;1.5130267143249512;1.5130267143249512;39.51769757270813;39.51769757270813
philosophers.16-1.MinExpTimeDeadlock;ctmc;29.750993251800537;29.750993251800537;44.84270930290222;44.84270930290222
philosophers.20-1.MaxPrReachDeadlockTB;ctmc;4000;4000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;1.9974346160888672;1.9974346160888672;4000;4000
philosophers.20-1.MinExpTimeDeadlock;ctmc;4000;4000;4000;4000
polling.18-16.s1_before_s2;ctmc;17.32126760482788;17.32126760482788;183.7072069644928;183.7072069644928
speed-ind.2100.change_state;ctmc;125.93564033508301;125.93564033508301;126.30804967880249;126.30804967880249
beb.4-8-7.LineSeized;mdp;29.184969186782837;29.184969186782837;157.68322658538818;157.68322658538818
beb.5-16-15.LineSeized;mdp;4000;4000;4000;4000
consensus.4-4.disagree;mdp;1.4549946784973145;1.4549946784973145;1.4592525959014893;1.4592525959014893
consensus.4-4.steps_min;mdp;2.2787680625915527;2.2787680625915527;2.243938684463501;2.243938684463501
consensus.6-2.disagree;mdp;6.063857316970825;6.063857316970825;36.72918152809143;36.72918152809143
consensus.6-2.steps_min;mdp;3.677351474761963;3.677351474761963;45.865715742111206;45.865715742111206
csma.3-4.all_before_max;mdp;5.794644594192505;5.794644594192505;16.67484951019287;16.67484951019287
csma.3-4.time_max;mdp;8.822865724563599;8.822865724563599;17.269431829452515;17.269431829452515
csma.4-2.all_before_max;mdp;6.691576242446899;6.691576242446899;10.272721529006958;10.272721529006958
csma.4-2.time_max;mdp;6.330239295959473;6.330239295959473;10.315888166427612;10.315888166427612
eajs.5-250-11.ExpUtil;mdp;19.423076629638672;19.423076629638672;57.177348613739014;57.177348613739014
eajs.6-300-13.ExpUtil;mdp;45.686034202575684;45.686034202575684;185.3034143447876;185.3034143447876
echoring.100.MaxOffline1;mdp;58.6887629032135;58.6887629032135;58.92658519744873;58.92658519744873
elevators.b-11-9.goal;mdp;8.883005619049072;8.883005619049072;8.989420175552368;8.989420175552368
exploding-blocksworld.10.goal;mdp;4000;4000;4000;4000
firewire.false-36-800.deadline;mdp;28.186004877090454;28.186004877090454;33.79242920875549;33.79242920875549
pacman.100.crash;mdp;73.49217557907104;73.49217557907104;632.4046204090118;632.4046204090118
pacman.60.crash;mdp;32.46374273300171;32.46374273300171;275.1262061595917;275.1262061595917
pnueli-zuck.5.live;mdp;0.9487230777740479;1;4.280115604400635;4.280115604400635
pnueli-zuck.10.live;mdp;2.186258554458618;2.186258554458618;4000;4000
rabin.10.live;mdp;1.9226794242858887;1.9226794242858887;4000;4000
rectangle-tireworld.11.goal;mdp;22.949683904647827;22.949683904647827;22.864012479782104;22.864012479782104
resource-gathering.1300-100-100.expgold;mdp;47.809059619903564;47.809059619903564;65.08939480781555;65.08939480781555
resource-gathering.1300-100-100.expsteps;mdp;25.82897114753723;25.82897114753723;25.759570121765137;25.759570121765137
resource-gathering.1300-100-100.prgoldgem;mdp;48.76055908203125;48.76055908203125;91.11417508125305;91.11417508125305
tireworld.45.goal;mdp;4000;4000;4000;4000
triangle-tireworld.441.goal;mdp;4000;4000;4000;4000
wlan.4-0.sent;mdp;2.2007222175598145;2.2007222175598145;3.3916406631469727;3.3916406631469727
wlan.4-0.cost_min;mdp;4.885735034942627;4.885735034942627;4.341279983520508;4.341279983520508
wlan.5-0.sent;mdp;3.432474374771118;3.432474374771118;12.840407848358154;12.840407848358154
wlan.5-0.cost_min;mdp;14.526547908782959;14.526547908782959;17.072768688201904;17.072768688201904
wlan.6-0.sent;mdp;6.631868124008179;6.631868124008179;51.19405913352966;51.19405913352966
wlan.6-0.cost_min;mdp;53.05412244796753;53.05412244796753;72.52559161186218;72.52559161186218
zenotravel.4-2-2.goal;mdp;7.005172967910767;7.005172967910767;24.570918560028076;24.570918560028076
zeroconf.1000-8-false.correct_max;mdp;23.670626878738403;23.670626878738403;23.80597162246704;23.80597162246704
zeroconf.1000-8-false.correct_min;mdp;20.77903938293457;20.77903938293457;20.71578359603882;20.71578359603882
bitcoin-attack.20-6.P_MWinMax;ma;0.48480820655822754;1;0.06034135818481445;1
cabinets.3-2-true.Unavailability;ma;57.11825132369995;57.11825132369995;56.88949704170227;56.88949704170227
