id;Type;DFTRES;DFTRESshifted;other;othershifted
crowds.5-20.positive;dtmc;4000;4000;2.7329373359680176;2.7329373359680176
crowds.6-20.positive;dtmc;4000;4000;2.985177755355835;2.985177755355835
haddad-monmege.100-0.7.target;dtmc;4000;4000;0.057616233825683594;1
cabinets.3-2-true.Unavailability;ma;1212.1613109111786;1212.1613109111786;57.11825132369995;57.11825132369995
cabinets.3-2-true.Unreliability;ma;4000;4000;37.9644033908844;37.9644033908844
ftpp.2-2-true.Unavailability;ma;28.200142860412598;28.200142860412598;4000;4000
hecs.false-1-1.Unreliability;ma;394.78051590919495;394.78051590919495;0.06799006462097168;1
hecs.false-2-2.Unreliability;ma;258.26403999328613;258.26403999328613;0.10082387924194336;1
hecs.false-3-2.Unreliability;ma;4000;4000;0.3427000045776367;1
sms.3-true.Unreliability;ma;0.735368013381958;1;0.07076811790466309;1
sms.3-true.Unavailability;ma;0.8678011894226074;1;13.504166603088379;13.504166603088379
vgs.5-10000.MaxPrReachFailedTB;ma;4000;4000;0.16974854469299316;1
