id;Type;PRISM-TUM;PRISM-TUMshifted;other;othershifted
crowds.5-20.positive;dtmc;4000;4000;2.5337255001068115;2.5337255001068115
crowds.6-20.positive;dtmc;4000;4000;2.7959890365600586;2.7959890365600586
egl.10-2.unfairA;dtmc;4000;4000;1.6905262470245361;1.6905262470245361
egl.10-8.unfairA;dtmc;8000;8000;2.835864543914795;2.835864543914795
haddad-monmege.100-0.7.target;dtmc;4000;4000;0.057616233825683594;1
nand.40-4.reliable;dtmc;4000;4000;6.3303751945495605;6.3303751945495605
nand.60-4.reliable;dtmc;4000;4000;28.106406450271606;28.106406450271606
embedded.8-12.actuators;ctmc;37.3504204750061;37.3504204750061;0.12589550018310547;1
polling.18-16.s1_before_s2;ctmc;4000;4000;15.528366327285767;15.528366327285767
consensus.4-4.disagree;mdp;4000;4000;1.4549946784973145;1.4549946784973145
consensus.6-2.disagree;mdp;8000;8000;6.0522401332855225;6.0522401332855225
csma.3-4.all_before_max;mdp;59.1930193901062;59.1930193901062;5.371433973312378;5.371433973312378
csma.4-2.all_before_max;mdp;38.91295313835144;38.91295313835144;3.7005794048309326;3.7005794048309326
pacman.100.crash;mdp;4000;4000;73.49217557907104;73.49217557907104
pacman.60.crash;mdp;4000;4000;31.299440145492554;31.299440145492554
pnueli-zuck.5.live;mdp;1.7829954624176025;1.7829954624176025;0.9487230777740479;1
pnueli-zuck.10.live;mdp;0.6351883411407471;1;1.5411746501922607;1.5411746501922607
rabin.10.live;mdp;1.2377865314483643;1.2377865314483643;1.0410223007202148;1.0410223007202148
resource-gathering.1300-100-100.prgoldgem;mdp;4000;4000;23.40638279914856;23.40638279914856
wlan.4-0.sent;mdp;4000;4000;2.2007222175598145;2.2007222175598145
wlan.5-0.sent;mdp;4000;4000;3.2890472412109375;3.2890472412109375
wlan.6-0.sent;mdp;4000;4000;5.663889408111572;5.663889408111572
zeroconf.1000-8-false.correct_max;mdp;4000;4000;8.858085870742798;8.858085870742798
zeroconf.1000-8-false.correct_min;mdp;16000;16000;13.747929573059082;13.747929573059082
