n;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;mcsta;mcstascaled;mcstashifted;PRISM;PRISMscaled;PRISMshifted;PRISM-TUM;PRISM-TUMscaled;PRISM-TUMshifted;modes;modesscaled;modesshifted;STAMINA;STAMINAscaled;STAMINAshifted;DFTRES;DFTRESscaled;DFTRESshifted;ModestFRETpiLRTDP;ModestFRETpiLRTDPscaled;ModestFRETpiLRTDPshifted;ePMC;ePMCscaled;ePMCshifted;ePMC-6;ePMC-6scaled;ePMC-6shifted
1;0.057616233825683594;0.5215366945417468;1.0;0.05823087692260742;0.5217581758201919;1.0;0.589979887008667;0.7533450970140398;1.0;1.4214060306549072;1.4214060306549072;1.4214060306549072;0.6351883411407471;0.777242432584211;1.0;1.4498915672302246;1.4498915672302246;1.4498915672302246;904.0696170330048;904.0696170330048;904.0696170330048;0.6572535037994385;0.7891799648224513;1.0;1.0364038944244385;1.0364038944244385;1.0364038944244385;2.2813973426818848;2.2813973426818848;2.2813973426818848;2.1086807250976562;2.1086807250976562;2.1086807250976562
2;0.05772733688354492;0.5215767225970569;1.0;0.0586543083190918;0.5219108103452239;1.0;0.5905470848083496;0.75364032024534;1.0;1.4274663925170898;1.4274663925170898;1.4274663925170898;1.2377865314483643;1.2377865314483643;1.2377865314483643;1.7078475952148438;1.7078475952148438;1.7078475952148438;;;;0.8109464645385742;0.8775743869698606;1.0;1.040675163269043;1.040675163269043;1.040675163269043;2.523216485977173;2.523216485977173;2.523216485977173;2.48786997795105;2.48786997795105;2.48786997795105
3;0.06799006462097168;0.5252874433286562;1.0;0.06630277633666992;0.5246755577956781;1.0;0.6193630695343018;0.7687921158011951;1.0;1.428832769393921;1.428832769393921;1.428832769393921;1.7829954624176025;1.7829954624176025;1.7829954624176025;1.977264404296875;1.977264404296875;1.977264404296875;;;;27.409754753112793;27.409754753112793;27.409754753112793;1.0410223007202148;1.0410223007202148;1.0410223007202148;2.530890464782715;2.530890464782715;2.530890464782715;2.5823302268981934;2.5823302268981934;2.5823302268981934
4;0.07076811790466309;0.5262964436598392;1.0;0.07272958755493164;0.5270100245732117;1.0;0.7864203453063965;0.8628317220703787;1.0;1.4533360004425049;1.4533360004425049;1.4533360004425049;37.3504204750061;37.3504204750061;37.3504204750061;9.82671594619751;9.82671594619751;9.82671594619751;;;;120.06547665596008;120.06547665596008;120.06547665596008;1.5411746501922607;1.5411746501922607;1.5411746501922607;32.334659814834595;32.334659814834595;32.334659814834595;10.496257781982422;10.496257781982422;10.496257781982422
5;0.0983588695526123;0.5364233337546697;1.0;0.0995478630065918;0.5368640940131897;1.0;1.3950080871582031;1.3950080871582031;1.3950080871582031;1.5117073059082031;1.5117073059082031;1.5117073059082031;38.91295313835144;38.91295313835144;38.91295313835144;19.671817779541016;19.671817779541016;19.671817779541016;;;;125.13202500343323;125.13202500343323;125.13202500343323;2.0422236919403076;2.0422236919403076;2.0422236919403076;44.409607887268066;44.409607887268066;44.409607887268066;11.484796285629272;11.484796285629272;11.484796285629272
6;0.10082387924194336;0.5373375165398888;1.0;0.16817975044250488;0.5629293923137041;1.0;1.6118519306182861;1.6118519306182861;1.6118519306182861;1.6590197086334229;1.6590197086334229;1.6590197086334229;59.1930193901062;59.1930193901062;59.1930193901062;23.584816455841064;23.584816455841064;23.584816455841064;;;;1228.600569486618;1228.600569486618;1228.600569486618;2.043485403060913;2.043485403060913;2.043485403060913;55.30375266075134;55.30375266075134;55.30375266075134;12.494310855865479;12.494310855865479;12.494310855865479
7;0.12589550018310547;0.5467246434854078;1.0;0.1687946319580078;0.5631685446024731;1.0;3.0694596767425537;3.0694596767425537;3.0694596767425537;1.6977758407592773;1.6977758407592773;1.6977758407592773;;;;98.42154455184937;98.42154455184937;98.42154455184937;;;;;;;3.0407462120056152;3.0407462120056152;3.0407462120056152;83.54272627830505;83.54272627830505;83.54272627830505;31.50078582763672;31.50078582763672;31.50078582763672
8;0.1651628017425537;0.5617574497427184;1.0;0.3431873321533203;0.6352668593901711;1.0;3.591623544692993;3.591623544692993;3.591623544692993;1.7214460372924805;1.7214460372924805;1.7214460372924805;;;;128.88317608833313;128.88317608833313;128.88317608833313;;;;;;;3.0427956581115723;3.0427956581115723;3.0427956581115723;88.45959448814392;88.45959448814392;88.45959448814392;44.629342794418335;44.629342794418335;44.629342794418335
9;0.16974854469299316;0.5635397609339582;1.0;0.38587093353271484;0.6542764371313867;1.0;4.1229071617126465;4.1229071617126465;4.1229071617126465;1.7486941814422607;1.7486941814422607;1.7486941814422607;;;;179.95943593978882;179.95943593978882;179.95943593978882;;;;;;;3.5443286895751953;3.5443286895751953;3.5443286895751953;89.23931074142456;89.23931074142456;89.23931074142456;57.77967071533203;57.77967071533203;57.77967071533203
10;0.3427000045776367;0.6350530429804603;1.0;0.5223746299743652;0.7189726814985722;1.0;4.337080478668213;4.337080478668213;4.337080478668213;2.3705031871795654;2.3705031871795654;2.3705031871795654;;;;182.11770367622375;182.11770367622375;182.11770367622375;;;;;;;3.546347141265869;3.546347141265869;3.546347141265869;107.73973107337952;107.73973107337952;107.73973107337952;64.05401825904846;64.05401825904846;64.05401825904846
11;0.3787095546722412;0.6510477860808958;1.0;0.6616361141204834;0.7915727483437297;1.0;4.363117456436157;4.363117456436157;4.363117456436157;4.573534250259399;4.573534250259399;4.573534250259399;;;;300.26718401908875;300.26718401908875;300.26718401908875;;;;;;;112.6804678440094;112.6804678440094;112.6804678440094;129.35116958618164;129.35116958618164;129.35116958618164;93.35506010055542;93.35506010055542;93.35506010055542
12;0.48480820655822754;0.7005553627877511;1.0;0.6909940242767334;0.8077895066240827;1.0;4.468922138214111;4.468922138214111;4.468922138214111;5.8607237339019775;5.8607237339019775;5.8607237339019775;;;;428.6573052406311;428.6573052406311;428.6573052406311;;;;;;;;;;167.5069031715393;167.5069031715393;167.5069031715393;93.61200714111328;93.61200714111328;93.61200714111328
13;0.9487230777740479;0.9651991334550568;1.0;0.9504830837249756;0.9663733062956728;1.0;4.882536888122559;4.882536888122559;4.882536888122559;7.696681261062622;7.696681261062622;7.696681261062622;;;;871.3053133487701;871.3053133487701;871.3053133487701;;;;;;;;;;174.05734181404114;174.05734181404114;174.05734181404114;95.0761833190918;95.0761833190918;95.0761833190918
14;1.4549946784973145;1.4549946784973145;1.4549946784973145;1.4345078468322754;1.4345078468322754;1.4345078468322754;5.541377305984497;5.541377305984497;5.541377305984497;7.7713303565979;7.7713303565979;7.7713303565979;;;;1040.465175151825;1040.465175151825;1040.465175151825;;;;;;;;;;176.73462772369385;176.73462772369385;176.73462772369385;129.5570089817047;129.5570089817047;129.5570089817047
15;1.5130267143249512;1.5130267143249512;1.5130267143249512;1.4592525959014893;1.4592525959014893;1.4592525959014893;5.950003385543823;5.950003385543823;5.950003385543823;8.984677076339722;8.984677076339722;8.984677076339722;;;;1187.2745399475098;1187.2745399475098;1187.2745399475098;;;;;;;;;;177.68129539489746;177.68129539489746;177.68129539489746;167.5735867023468;167.5735867023468;167.5735867023468
16;1.9226794242858887;1.9226794242858887;1.9226794242858887;1.4839723110198975;1.4839723110198975;1.4839723110198975;6.658794164657593;6.658794164657593;6.658794164657593;10.162575960159302;10.162575960159302;10.162575960159302;;;;1208.5479717254639;1208.5479717254639;1208.5479717254639;;;;;;;;;;177.70716762542725;177.70716762542725;177.70716762542725;167.82634019851685;167.82634019851685;167.82634019851685
17;1.9974346160888672;1.9974346160888672;1.9974346160888672;1.6905262470245361;1.6905262470245361;1.6905262470245361;7.0185158252716064;7.0185158252716064;7.0185158252716064;11.491005659103394;11.491005659103394;11.491005659103394;;;;1259.660579442978;1259.660579442978;1259.660579442978;;;;;;;;;;215.66537404060364;215.66537404060364;215.66537404060364;177.15648555755615;177.15648555755615;177.15648555755615
18;2.186258554458618;2.186258554458618;2.186258554458618;2.097104549407959;2.097104549407959;2.097104549407959;7.530000448226929;7.530000448226929;7.530000448226929;11.496192216873169;11.496192216873169;11.496192216873169;;;;1406.6142647266388;1406.6142647266388;1406.6142647266388;;;;;;;;;;352.29078555107117;352.29078555107117;352.29078555107117;178.9294502735138;178.9294502735138;178.9294502735138
19;2.2007222175598145;2.2007222175598145;2.2007222175598145;2.1772494316101074;2.1772494316101074;2.1772494316101074;7.751297473907471;7.751297473907471;7.751297473907471;13.026868104934692;13.026868104934692;13.026868104934692;;;;1475.5086421966553;1475.5086421966553;1475.5086421966553;;;;;;;;;;477.92209553718567;477.92209553718567;477.92209553718567;231.74307131767273;231.74307131767273;231.74307131767273
20;2.2787680625915527;2.2787680625915527;2.2787680625915527;2.243938684463501;2.243938684463501;2.243938684463501;7.807526111602783;7.807526111602783;7.807526111602783;14.64310908317566;14.64310908317566;14.64310908317566;;;;;;;;;;;;;;;;601.3485345840454;601.3485345840454;601.3485345840454;237.59037852287292;237.59037852287292;237.59037852287292
21;2.6688802242279053;2.6688802242279053;2.6688802242279053;2.360058307647705;2.360058307647705;2.360058307647705;7.948308229446411;7.948308229446411;7.948308229446411;14.90687608718872;14.90687608718872;14.90687608718872;;;;;;;;;;;;;;;;816.1197836399078;816.1197836399078;816.1197836399078;245.76520991325378;245.76520991325378;245.76520991325378
22;2.7329373359680176;2.7329373359680176;2.7329373359680176;2.386280059814453;2.386280059814453;2.386280059814453;11.022732257843018;11.022732257843018;11.022732257843018;16.01056933403015;16.01056933403015;16.01056933403015;;;;;;;;;;;;;;;;993.5482563972473;993.5482563972473;993.5482563972473;327.57287073135376;327.57287073135376;327.57287073135376
23;2.985177755355835;2.985177755355835;2.985177755355835;2.5337255001068115;2.5337255001068115;2.5337255001068115;12.376911401748657;12.376911401748657;12.376911401748657;17.481777906417847;17.481777906417847;17.481777906417847;;;;;;;;;;;;;;;;;;;355.84288477897644;355.84288477897644;355.84288477897644
24;3.432474374771118;3.432474374771118;3.432474374771118;2.6911981105804443;2.6911981105804443;2.6911981105804443;14.35648226737976;14.35648226737976;14.35648226737976;17.845696926116943;17.845696926116943;17.845696926116943;;;;;;;;;;;;;;;;;;;358.29974699020386;358.29974699020386;358.29974699020386
25;3.677351474761963;3.677351474761963;3.677351474761963;2.7959890365600586;2.7959890365600586;2.7959890365600586;14.484102010726929;14.484102010726929;14.484102010726929;21.588765382766724;21.588765382766724;21.588765382766724;;;;;;;;;;;;;;;;;;;424.566118478775;424.566118478775;424.566118478775
