n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;PRISM;PRISMscaled;PRISMshifted
1;32.334659814834595;32.334659814834595;32.334659814834595;3.0694596767425537;3.0694596767425537;3.0694596767425537;0.057616233825683594;0.5215366945417468;1.0;0.05823087692260742;0.5217581758201919;1.0;1.6590197086334229;1.6590197086334229;1.6590197086334229
2;44.409607887268066;44.409607887268066;44.409607887268066;3.591623544692993;3.591623544692993;3.591623544692993;0.0983588695526123;0.5364233337546697;1.0;0.6616361141204834;0.7915727483437297;1.0;1.6977758407592773;1.6977758407592773;1.6977758407592773
3;55.30375266075134;55.30375266075134;55.30375266075134;4.1229071617126465;4.1229071617126465;4.1229071617126465;0.12589550018310547;0.5467246434854078;1.0;0.6909940242767334;0.8077895066240827;1.0;1.7214460372924805;1.7214460372924805;1.7214460372924805
4;83.54272627830505;83.54272627830505;83.54272627830505;4.337080478668213;4.337080478668213;4.337080478668213;0.9487230777740479;0.9651991334550568;1.0;0.9504830837249756;0.9663733062956728;1.0;1.7486941814422607;1.7486941814422607;1.7486941814422607
5;88.45959448814392;88.45959448814392;88.45959448814392;4.363117456436157;4.363117456436157;4.363117456436157;1.4549946784973145;1.4549946784973145;1.4549946784973145;1.4592525959014893;1.4592525959014893;1.4592525959014893;2.3705031871795654;2.3705031871795654;2.3705031871795654
6;89.23931074142456;89.23931074142456;89.23931074142456;4.468922138214111;4.468922138214111;4.468922138214111;1.9226794242858887;1.9226794242858887;1.9226794242858887;1.6905262470245361;1.6905262470245361;1.6905262470245361;4.573534250259399;4.573534250259399;4.573534250259399
7;107.73973107337952;107.73973107337952;107.73973107337952;5.950003385543823;5.950003385543823;5.950003385543823;2.186258554458618;2.186258554458618;2.186258554458618;2.097104549407959;2.097104549407959;2.097104549407959;7.7713303565979;7.7713303565979;7.7713303565979
8;129.35116958618164;129.35116958618164;129.35116958618164;6.658794164657593;6.658794164657593;6.658794164657593;2.2007222175598145;2.2007222175598145;2.2007222175598145;2.243938684463501;2.243938684463501;2.243938684463501;8.984677076339722;8.984677076339722;8.984677076339722
9;167.5069031715393;167.5069031715393;167.5069031715393;7.0185158252716064;7.0185158252716064;7.0185158252716064;2.2787680625915527;2.2787680625915527;2.2787680625915527;2.360058307647705;2.360058307647705;2.360058307647705;10.162575960159302;10.162575960159302;10.162575960159302
10;174.05734181404114;174.05734181404114;174.05734181404114;7.530000448226929;7.530000448226929;7.530000448226929;2.7329373359680176;2.7329373359680176;2.7329373359680176;2.386280059814453;2.386280059814453;2.386280059814453;11.491005659103394;11.491005659103394;11.491005659103394
