n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted
1;2.2813973426818848;2.2813973426818848;2.2813973426818848;3.607548952102661;3.607548952102661;3.607548952102661;0.057616233825683594;0.5215366945417468;1.0;0.05823087692260742;0.5217581758201919;1.0
2;2.523216485977173;2.523216485977173;2.523216485977173;3.6859982013702393;3.6859982013702393;3.6859982013702393;0.0983588695526123;0.5364233337546697;1.0;0.6616361141204834;0.7915727483437297;1.0
3;2.530890464782715;2.530890464782715;2.530890464782715;3.7005794048309326;3.7005794048309326;3.7005794048309326;0.12589550018310547;0.5467246434854078;1.0;0.6909940242767334;0.8077895066240827;1.0
4;32.334659814834595;32.334659814834595;32.334659814834595;4.213353872299194;4.213353872299194;4.213353872299194;0.9487230777740479;0.9651991334550568;1.0;0.9504830837249756;0.9663733062956728;1.0
5;55.30375266075134;55.30375266075134;55.30375266075134;4.456523656845093;4.456523656845093;4.456523656845093;1.4549946784973145;1.4549946784973145;1.4549946784973145;1.4345078468322754;1.4345078468322754;1.4345078468322754
6;83.54272627830505;83.54272627830505;83.54272627830505;6.290363311767578;6.290363311767578;6.290363311767578;1.5130267143249512;1.5130267143249512;1.5130267143249512;1.4592525959014893;1.4592525959014893;1.4592525959014893
7;88.45959448814392;88.45959448814392;88.45959448814392;6.3303751945495605;6.3303751945495605;6.3303751945495605;1.9226794242858887;1.9226794242858887;1.9226794242858887;1.6905262470245361;1.6905262470245361;1.6905262470245361
8;89.23931074142456;89.23931074142456;89.23931074142456;7.4765944480896;7.4765944480896;7.4765944480896;1.9974346160888672;1.9974346160888672;1.9974346160888672;2.097104549407959;2.097104549407959;2.097104549407959
9;129.35116958618164;129.35116958618164;129.35116958618164;7.817455053329468;7.817455053329468;7.817455053329468;2.186258554458618;2.186258554458618;2.186258554458618;2.1772494316101074;2.1772494316101074;2.1772494316101074
10;167.5069031715393;167.5069031715393;167.5069031715393;8.511110544204712;8.511110544204712;8.511110544204712;2.2007222175598145;2.2007222175598145;2.2007222175598145;2.243938684463501;2.243938684463501;2.243938684463501
11;176.73462772369385;176.73462772369385;176.73462772369385;8.858085870742798;8.858085870742798;8.858085870742798;2.2787680625915527;2.2787680625915527;2.2787680625915527;2.360058307647705;2.360058307647705;2.360058307647705
12;215.66537404060364;215.66537404060364;215.66537404060364;9.434322118759155;9.434322118759155;9.434322118759155;2.7329373359680176;2.7329373359680176;2.7329373359680176;2.386280059814453;2.386280059814453;2.386280059814453
13;352.29078555107117;352.29078555107117;352.29078555107117;12.233030557632446;12.233030557632446;12.233030557632446;2.985177755355835;2.985177755355835;2.985177755355835;2.5337255001068115;2.5337255001068115;2.5337255001068115
14;477.92209553718567;477.92209553718567;477.92209553718567;12.766327857971191;12.766327857971191;12.766327857971191;3.432474374771118;3.432474374771118;3.432474374771118;2.7959890365600586;2.7959890365600586;2.7959890365600586
15;816.1197836399078;816.1197836399078;816.1197836399078;13.747929573059082;13.747929573059082;13.747929573059082;3.677351474761963;3.677351474761963;3.677351474761963;2.835864543914795;2.835864543914795;2.835864543914795
16;993.5482563972473;993.5482563972473;993.5482563972473;17.929536819458008;17.929536819458008;17.929536819458008;3.724867343902588;3.724867343902588;3.724867343902588;3.2890472412109375;3.2890472412109375;3.2890472412109375
17;;;;18.317424774169922;18.317424774169922;18.317424774169922;3.7315237522125244;3.7315237522125244;3.7315237522125244;3.6693572998046875;3.6693572998046875;3.6693572998046875
18;;;;19.221397399902344;19.221397399902344;19.221397399902344;3.8108909130096436;3.8108909130096436;3.8108909130096436;3.711729049682617;3.711729049682617;3.711729049682617
19;;;;21.12391948699951;21.12391948699951;21.12391948699951;4.516379117965698;4.516379117965698;4.516379117965698;3.728604316711426;3.728604316711426;3.728604316711426
20;;;;24.84837245941162;24.84837245941162;24.84837245941162;4.885735034942627;4.885735034942627;4.885735034942627;4.56065821647644;4.56065821647644;4.56065821647644
21;;;;28.106406450271606;28.106406450271606;28.106406450271606;5.794644594192505;5.794644594192505;5.794644594192505;4.903221607208252;4.903221607208252;4.903221607208252
22;;;;30.991530895233154;30.991530895233154;30.991530895233154;6.063857316970825;6.063857316970825;6.063857316970825;5.371433973312378;5.371433973312378;5.371433973312378
23;;;;44.069313526153564;44.069313526153564;44.069313526153564;6.330239295959473;6.330239295959473;6.330239295959473;5.663889408111572;5.663889408111572;5.663889408111572
24;;;;53.63685393333435;53.63685393333435;53.63685393333435;6.631868124008179;6.631868124008179;6.631868124008179;5.711490869522095;5.711490869522095;5.711490869522095
25;;;;61.98497533798218;61.98497533798218;61.98497533798218;6.691576242446899;6.691576242446899;6.691576242446899;5.978857517242432;5.978857517242432;5.978857517242432
26;;;;80.27683806419373;80.27683806419373;80.27683806419373;7.005172967910767;7.005172967910767;7.005172967910767;6.0522401332855225;6.0522401332855225;6.0522401332855225
27;;;;108.01949858665466;108.01949858665466;108.01949858665466;8.605183124542236;8.605183124542236;8.605183124542236;6.312912464141846;6.312912464141846;6.312912464141846
28;;;;115.8290650844574;115.8290650844574;115.8290650844574;8.822865724563599;8.822865724563599;8.822865724563599;7.530953407287598;7.530953407287598;7.530953407287598
29;;;;134.57772064208984;134.57772064208984;134.57772064208984;8.883005619049072;8.883005619049072;8.883005619049072;7.942528247833252;7.942528247833252;7.942528247833252
30;;;;140.44484734535217;140.44484734535217;140.44484734535217;14.526547908782959;14.526547908782959;14.526547908782959;8.989420175552368;8.989420175552368;8.989420175552368
31;;;;172.70851922035217;172.70851922035217;172.70851922035217;16.54027271270752;16.54027271270752;16.54027271270752;13.464123487472534;13.464123487472534;13.464123487472534
32;;;;197.79505705833435;197.79505705833435;197.79505705833435;17.32126760482788;17.32126760482788;17.32126760482788;15.528366327285767;15.528366327285767;15.528366327285767
33;;;;276.75137281417847;276.75137281417847;276.75137281417847;19.423076629638672;19.423076629638672;19.423076629638672;15.811761379241943;15.811761379241943;15.811761379241943
34;;;;285.6047546863556;285.6047546863556;285.6047546863556;20.77903938293457;20.77903938293457;20.77903938293457;20.642104864120483;20.642104864120483;20.642104864120483
35;;;;301.9067893028259;301.9067893028259;301.9067893028259;22.949683904647827;22.949683904647827;22.949683904647827;20.71578359603882;20.71578359603882;20.71578359603882
36;;;;428.8548004627228;428.8548004627228;428.8548004627228;23.670626878738403;23.670626878738403;23.670626878738403;22.941450834274292;22.941450834274292;22.941450834274292
37;;;;1219.276337146759;1219.276337146759;1219.276337146759;26.02415657043457;26.02415657043457;26.02415657043457;23.80597162246704;23.80597162246704;23.80597162246704
38;;;;1484.0206327438354;1484.0206327438354;1484.0206327438354;29.184969186782837;29.184969186782837;29.184969186782837;27.774599313735962;27.774599313735962;27.774599313735962
39;;;;1595.001648902893;1595.001648902893;1595.001648902893;32.46374273300171;32.46374273300171;32.46374273300171;31.299440145492554;31.299440145492554;31.299440145492554
40;;;;;;;34.5739164352417;34.5739164352417;34.5739164352417;31.525105476379395;31.525105476379395;31.525105476379395
41;;;;;;;45.686034202575684;45.686034202575684;45.686034202575684;43.639577865600586;43.639577865600586;43.639577865600586
42;;;;;;;53.05412244796753;53.05412244796753;53.05412244796753;49.87902021408081;49.87902021408081;49.87902021408081
43;;;;;;;58.6887629032135;58.6887629032135;58.6887629032135;58.92658519744873;58.92658519744873;58.92658519744873
44;;;;;;;73.49217557907104;73.49217557907104;73.49217557907104;74.1528058052063;74.1528058052063;74.1528058052063
45;;;;;;;1408.3705487251282;1408.3705487251282;1408.3705487251282;1409.8088328838348;1409.8088328838348;1409.8088328838348
46;;;;;;;;;;;;
47;;;;;;;;;;;;
48;;;;;;;;;;;;
49;;;;;;;;;;;;
