n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;11.484796285629272;11.484796285629272;11.484796285629272;3.0694596767425537;3.0694596767425537;3.0694596767425537;0.6351883411407471;0.777242432584211;1.0;1.6977758407592773;1.6977758407592773;1.6977758407592773;0.05823087692260742;0.5217581758201919;1.0;0.057616233825683594;0.5215366945417468;1.0
2;31.50078582763672;31.50078582763672;31.50078582763672;4.1229071617126465;4.1229071617126465;4.1229071617126465;1.2377865314483643;1.2377865314483643;1.2377865314483643;1.7214460372924805;1.7214460372924805;1.7214460372924805;0.6616361141204834;0.7915727483437297;1.0;0.12589550018310547;0.5467246434854078;1.0
3;57.77967071533203;57.77967071533203;57.77967071533203;4.337080478668213;4.337080478668213;4.337080478668213;1.7829954624176025;1.7829954624176025;1.7829954624176025;1.7486941814422607;1.7486941814422607;1.7486941814422607;0.9504830837249756;0.9663733062956728;1.0;0.9487230777740479;0.9651991334550568;1.0
4;64.05401825904846;64.05401825904846;64.05401825904846;4.468922138214111;4.468922138214111;4.468922138214111;37.3504204750061;37.3504204750061;37.3504204750061;4.573534250259399;4.573534250259399;4.573534250259399;1.4592525959014893;1.4592525959014893;1.4592525959014893;1.4549946784973145;1.4549946784973145;1.4549946784973145
5;93.35506010055542;93.35506010055542;93.35506010055542;5.950003385543823;5.950003385543823;5.950003385543823;38.91295313835144;38.91295313835144;38.91295313835144;7.7713303565979;7.7713303565979;7.7713303565979;1.6905262470245361;1.6905262470245361;1.6905262470245361;1.9226794242858887;1.9226794242858887;1.9226794242858887
6;93.61200714111328;93.61200714111328;93.61200714111328;7.0185158252716064;7.0185158252716064;7.0185158252716064;59.1930193901062;59.1930193901062;59.1930193901062;10.162575960159302;10.162575960159302;10.162575960159302;2.097104549407959;2.097104549407959;2.097104549407959;2.186258554458618;2.186258554458618;2.186258554458618
7;95.0761833190918;95.0761833190918;95.0761833190918;7.530000448226929;7.530000448226929;7.530000448226929;;;;11.496192216873169;11.496192216873169;11.496192216873169;2.360058307647705;2.360058307647705;2.360058307647705;2.2007222175598145;2.2007222175598145;2.2007222175598145
8;167.82634019851685;167.82634019851685;167.82634019851685;12.376911401748657;12.376911401748657;12.376911401748657;;;;14.90687608718872;14.90687608718872;14.90687608718872;2.386280059814453;2.386280059814453;2.386280059814453;2.7329373359680176;2.7329373359680176;2.7329373359680176
9;231.74307131767273;231.74307131767273;231.74307131767273;15.878494501113892;15.878494501113892;15.878494501113892;;;;16.01056933403015;16.01056933403015;16.01056933403015;2.5337255001068115;2.5337255001068115;2.5337255001068115;2.985177755355835;2.985177755355835;2.985177755355835
10;245.76520991325378;245.76520991325378;245.76520991325378;24.88311743736267;24.88311743736267;24.88311743736267;;;;17.481777906417847;17.481777906417847;17.481777906417847;2.7959890365600586;2.7959890365600586;2.7959890365600586;3.432474374771118;3.432474374771118;3.432474374771118
11;327.57287073135376;327.57287073135376;327.57287073135376;30.964380502700806;30.964380502700806;30.964380502700806;;;;27.509225606918335;27.509225606918335;27.509225606918335;2.835864543914795;2.835864543914795;2.835864543914795;3.8108909130096436;3.8108909130096436;3.8108909130096436
12;355.84288477897644;355.84288477897644;355.84288477897644;37.32885766029358;37.32885766029358;37.32885766029358;;;;37.40601205825806;37.40601205825806;37.40601205825806;3.2890472412109375;3.2890472412109375;3.2890472412109375;5.794644594192505;5.794644594192505;5.794644594192505
13;522.0889558792114;522.0889558792114;522.0889558792114;82.08800458908081;82.08800458908081;82.08800458908081;;;;38.80923652648926;38.80923652648926;38.80923652648926;5.371433973312378;5.371433973312378;5.371433973312378;6.063857316970825;6.063857316970825;6.063857316970825
14;877.6498515605927;877.6498515605927;877.6498515605927;136.16869854927063;136.16869854927063;136.16869854927063;;;;42.4298939704895;42.4298939704895;42.4298939704895;5.663889408111572;5.663889408111572;5.663889408111572;6.631868124008179;6.631868124008179;6.631868124008179
15;1167.08739900589;1167.08739900589;1167.08739900589;173.54415917396545;173.54415917396545;173.54415917396545;;;;47.4275860786438;47.4275860786438;47.4275860786438;5.978857517242432;5.978857517242432;5.978857517242432;6.691576242446899;6.691576242446899;6.691576242446899
16;;;;197.91679525375366;197.91679525375366;197.91679525375366;;;;57.005592823028564;57.005592823028564;57.005592823028564;6.0522401332855225;6.0522401332855225;6.0522401332855225;8.605183124542236;8.605183124542236;8.605183124542236
17;;;;248.58886337280273;248.58886337280273;248.58886337280273;;;;64.97881865501404;64.97881865501404;64.97881865501404;7.530953407287598;7.530953407287598;7.530953407287598;17.32126760482788;17.32126760482788;17.32126760482788
18;;;;299.79538893699646;299.79538893699646;299.79538893699646;;;;95.56758618354797;95.56758618354797;95.56758618354797;15.528366327285767;15.528366327285767;15.528366327285767;20.77903938293457;20.77903938293457;20.77903938293457
19;;;;1433.4535908699036;1433.4535908699036;1433.4535908699036;;;;99.85981130599976;99.85981130599976;99.85981130599976;20.71578359603882;20.71578359603882;20.71578359603882;23.670626878738403;23.670626878738403;23.670626878738403
20;;;;;;;;;;147.040429353714;147.040429353714;147.040429353714;23.80597162246704;23.80597162246704;23.80597162246704;26.02415657043457;26.02415657043457;26.02415657043457
21;;;;;;;;;;186.17752933502197;186.17752933502197;186.17752933502197;31.299440145492554;31.299440145492554;31.299440145492554;32.46374273300171;32.46374273300171;32.46374273300171
22;;;;;;;;;;;;;31.525105476379395;31.525105476379395;31.525105476379395;34.5739164352417;34.5739164352417;34.5739164352417
