n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;10.496257781982422;10.496257781982422;10.496257781982422;3.0694596767425537;3.0694596767425537;3.0694596767425537;1.6590197086334229;1.6590197086334229;1.6590197086334229;0.05823087692260742;0.5217581758201919;1.0;0.057616233825683594;0.5215366945417468;1.0
2;11.484796285629272;11.484796285629272;11.484796285629272;3.591623544692993;3.591623544692993;3.591623544692993;1.6977758407592773;1.6977758407592773;1.6977758407592773;0.6616361141204834;0.7915727483437297;1.0;0.0983588695526123;0.5364233337546697;1.0
3;12.494310855865479;12.494310855865479;12.494310855865479;4.1229071617126465;4.1229071617126465;4.1229071617126465;1.7214460372924805;1.7214460372924805;1.7214460372924805;0.6909940242767334;0.8077895066240827;1.0;0.12589550018310547;0.5467246434854078;1.0
4;31.50078582763672;31.50078582763672;31.50078582763672;4.337080478668213;4.337080478668213;4.337080478668213;1.7486941814422607;1.7486941814422607;1.7486941814422607;0.9504830837249756;0.9663733062956728;1.0;0.9487230777740479;0.9651991334550568;1.0
5;44.629342794418335;44.629342794418335;44.629342794418335;4.363117456436157;4.363117456436157;4.363117456436157;2.3705031871795654;2.3705031871795654;2.3705031871795654;1.4592525959014893;1.4592525959014893;1.4592525959014893;1.4549946784973145;1.4549946784973145;1.4549946784973145
6;57.77967071533203;57.77967071533203;57.77967071533203;4.468922138214111;4.468922138214111;4.468922138214111;4.573534250259399;4.573534250259399;4.573534250259399;1.6905262470245361;1.6905262470245361;1.6905262470245361;1.9226794242858887;1.9226794242858887;1.9226794242858887
7;64.05401825904846;64.05401825904846;64.05401825904846;5.950003385543823;5.950003385543823;5.950003385543823;7.7713303565979;7.7713303565979;7.7713303565979;2.097104549407959;2.097104549407959;2.097104549407959;2.186258554458618;2.186258554458618;2.186258554458618
8;93.35506010055542;93.35506010055542;93.35506010055542;6.658794164657593;6.658794164657593;6.658794164657593;8.984677076339722;8.984677076339722;8.984677076339722;2.243938684463501;2.243938684463501;2.243938684463501;2.2007222175598145;2.2007222175598145;2.2007222175598145
9;93.61200714111328;93.61200714111328;93.61200714111328;7.0185158252716064;7.0185158252716064;7.0185158252716064;10.162575960159302;10.162575960159302;10.162575960159302;2.360058307647705;2.360058307647705;2.360058307647705;2.2787680625915527;2.2787680625915527;2.2787680625915527
10;95.0761833190918;95.0761833190918;95.0761833190918;7.530000448226929;7.530000448226929;7.530000448226929;11.491005659103394;11.491005659103394;11.491005659103394;2.386280059814453;2.386280059814453;2.386280059814453;2.7329373359680176;2.7329373359680176;2.7329373359680176
11;129.5570089817047;129.5570089817047;129.5570089817047;7.807526111602783;7.807526111602783;7.807526111602783;11.496192216873169;11.496192216873169;11.496192216873169;2.5337255001068115;2.5337255001068115;2.5337255001068115;2.985177755355835;2.985177755355835;2.985177755355835
12;167.5735867023468;167.5735867023468;167.5735867023468;12.376911401748657;12.376911401748657;12.376911401748657;14.64310908317566;14.64310908317566;14.64310908317566;2.7959890365600586;2.7959890365600586;2.7959890365600586;3.432474374771118;3.432474374771118;3.432474374771118
13;167.82634019851685;167.82634019851685;167.82634019851685;14.642618894577026;14.642618894577026;14.642618894577026;14.90687608718872;14.90687608718872;14.90687608718872;2.835864543914795;2.835864543914795;2.835864543914795;3.677351474761963;3.677351474761963;3.677351474761963
14;177.15648555755615;177.15648555755615;177.15648555755615;15.878494501113892;15.878494501113892;15.878494501113892;16.01056933403015;16.01056933403015;16.01056933403015;3.2890472412109375;3.2890472412109375;3.2890472412109375;3.724867343902588;3.724867343902588;3.724867343902588
15;178.9294502735138;178.9294502735138;178.9294502735138;17.623847723007202;17.623847723007202;17.623847723007202;17.481777906417847;17.481777906417847;17.481777906417847;3.6693572998046875;3.6693572998046875;3.6693572998046875;3.7315237522125244;3.7315237522125244;3.7315237522125244
16;231.74307131767273;231.74307131767273;231.74307131767273;24.88311743736267;24.88311743736267;24.88311743736267;17.845696926116943;17.845696926116943;17.845696926116943;3.711729049682617;3.711729049682617;3.711729049682617;3.8108909130096436;3.8108909130096436;3.8108909130096436
17;237.59037852287292;237.59037852287292;237.59037852287292;30.964380502700806;30.964380502700806;30.964380502700806;21.588765382766724;21.588765382766724;21.588765382766724;3.728604316711426;3.728604316711426;3.728604316711426;4.885735034942627;4.885735034942627;4.885735034942627
18;245.76520991325378;245.76520991325378;245.76520991325378;37.32885766029358;37.32885766029358;37.32885766029358;21.742945194244385;21.742945194244385;21.742945194244385;4.56065821647644;4.56065821647644;4.56065821647644;5.794644594192505;5.794644594192505;5.794644594192505
19;327.57287073135376;327.57287073135376;327.57287073135376;51.47614073753357;51.47614073753357;51.47614073753357;27.509225606918335;27.509225606918335;27.509225606918335;5.371433973312378;5.371433973312378;5.371433973312378;6.063857316970825;6.063857316970825;6.063857316970825
20;355.84288477897644;355.84288477897644;355.84288477897644;82.08800458908081;82.08800458908081;82.08800458908081;37.40601205825806;37.40601205825806;37.40601205825806;5.663889408111572;5.663889408111572;5.663889408111572;6.330239295959473;6.330239295959473;6.330239295959473
21;358.29974699020386;358.29974699020386;358.29974699020386;96.99260330200195;96.99260330200195;96.99260330200195;38.80923652648926;38.80923652648926;38.80923652648926;5.711490869522095;5.711490869522095;5.711490869522095;6.631868124008179;6.631868124008179;6.631868124008179
22;522.0889558792114;522.0889558792114;522.0889558792114;104.70440745353699;104.70440745353699;104.70440745353699;42.4298939704895;42.4298939704895;42.4298939704895;5.978857517242432;5.978857517242432;5.978857517242432;6.691576242446899;6.691576242446899;6.691576242446899
