n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;2.1086807250976562;2.1086807250976562;2.1086807250976562;3.0694596767425537;3.0694596767425537;3.0694596767425537;0.05823087692260742;0.5217581758201919;1.0;0.057616233825683594;0.5215366945417468;1.0
2;2.48786997795105;2.48786997795105;2.48786997795105;3.591623544692993;3.591623544692993;3.591623544692993;0.6616361141204834;0.7915727483437297;1.0;0.0983588695526123;0.5364233337546697;1.0
3;2.5823302268981934;2.5823302268981934;2.5823302268981934;4.1229071617126465;4.1229071617126465;4.1229071617126465;0.6909940242767334;0.8077895066240827;1.0;0.12589550018310547;0.5467246434854078;1.0
4;10.496257781982422;10.496257781982422;10.496257781982422;4.337080478668213;4.337080478668213;4.337080478668213;0.9504830837249756;0.9663733062956728;1.0;0.9487230777740479;0.9651991334550568;1.0
5;11.484796285629272;11.484796285629272;11.484796285629272;4.363117456436157;4.363117456436157;4.363117456436157;1.4345078468322754;1.4345078468322754;1.4345078468322754;1.4549946784973145;1.4549946784973145;1.4549946784973145
6;12.494310855865479;12.494310855865479;12.494310855865479;4.468922138214111;4.468922138214111;4.468922138214111;1.4592525959014893;1.4592525959014893;1.4592525959014893;1.5130267143249512;1.5130267143249512;1.5130267143249512
7;31.50078582763672;31.50078582763672;31.50078582763672;5.541377305984497;5.541377305984497;5.541377305984497;1.6905262470245361;1.6905262470245361;1.6905262470245361;1.9226794242858887;1.9226794242858887;1.9226794242858887
8;44.629342794418335;44.629342794418335;44.629342794418335;5.950003385543823;5.950003385543823;5.950003385543823;2.097104549407959;2.097104549407959;2.097104549407959;1.9974346160888672;1.9974346160888672;1.9974346160888672
9;57.77967071533203;57.77967071533203;57.77967071533203;6.658794164657593;6.658794164657593;6.658794164657593;2.1772494316101074;2.1772494316101074;2.1772494316101074;2.186258554458618;2.186258554458618;2.186258554458618
10;64.05401825904846;64.05401825904846;64.05401825904846;7.0185158252716064;7.0185158252716064;7.0185158252716064;2.243938684463501;2.243938684463501;2.243938684463501;2.2007222175598145;2.2007222175598145;2.2007222175598145
11;93.35506010055542;93.35506010055542;93.35506010055542;7.530000448226929;7.530000448226929;7.530000448226929;2.360058307647705;2.360058307647705;2.360058307647705;2.2787680625915527;2.2787680625915527;2.2787680625915527
12;93.61200714111328;93.61200714111328;93.61200714111328;7.751297473907471;7.751297473907471;7.751297473907471;2.386280059814453;2.386280059814453;2.386280059814453;2.7329373359680176;2.7329373359680176;2.7329373359680176
