n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;12.494310855865479;12.494310855865479;12.494310855865479;7.0185158252716064;7.0185158252716064;7.0185158252716064;1.4498915672302246;1.4498915672302246;1.4498915672302246;1.4533360004425049;1.4533360004425049;1.4533360004425049;0.05823087692260742;0.5217581758201919;1.0;0.057616233825683594;0.5215366945417468;1.0
2;44.629342794418335;44.629342794418335;44.629342794418335;7.530000448226929;7.530000448226929;7.530000448226929;1.7078475952148438;1.7078475952148438;1.7078475952148438;1.6590197086334229;1.6590197086334229;1.6590197086334229;0.0586543083190918;0.5219108103452239;1.0;0.05772733688354492;0.5215767225970569;1.0
3;64.05401825904846;64.05401825904846;64.05401825904846;7.807526111602783;7.807526111602783;7.807526111602783;1.977264404296875;1.977264404296875;1.977264404296875;1.7214460372924805;1.7214460372924805;1.7214460372924805;0.6616361141204834;0.7915727483437297;1.0;0.0983588695526123;0.5364233337546697;1.0
4;93.61200714111328;93.61200714111328;93.61200714111328;14.484102010726929;14.484102010726929;14.484102010726929;9.82671594619751;9.82671594619751;9.82671594619751;1.7486941814422607;1.7486941814422607;1.7486941814422607;0.6909940242767334;0.8077895066240827;1.0;0.12589550018310547;0.5467246434854078;1.0
5;177.15648555755615;177.15648555755615;177.15648555755615;24.108980894088745;24.108980894088745;24.108980894088745;19.671817779541016;19.671817779541016;19.671817779541016;2.3705031871795654;2.3705031871795654;2.3705031871795654;1.4345078468322754;1.4345078468322754;1.4345078468322754;1.5130267143249512;1.5130267143249512;1.5130267143249512
6;178.9294502735138;178.9294502735138;178.9294502735138;28.958747386932373;28.958747386932373;28.958747386932373;23.584816455841064;23.584816455841064;23.584816455841064;4.573534250259399;4.573534250259399;4.573534250259399;1.6905262470245361;1.6905262470245361;1.6905262470245361;1.9974346160888672;1.9974346160888672;1.9974346160888672
7;327.57287073135376;327.57287073135376;327.57287073135376;30.964380502700806;30.964380502700806;30.964380502700806;98.42154455184937;98.42154455184937;98.42154455184937;5.8607237339019775;5.8607237339019775;5.8607237339019775;2.1772494316101074;2.1772494316101074;2.1772494316101074;2.7329373359680176;2.7329373359680176;2.7329373359680176
8;424.566118478775;424.566118478775;424.566118478775;31.035571575164795;31.035571575164795;31.035571575164795;128.88317608833313;128.88317608833313;128.88317608833313;7.7713303565979;7.7713303565979;7.7713303565979;2.5337255001068115;2.5337255001068115;2.5337255001068115;2.985177755355835;2.985177755355835;2.985177755355835
9;426.56995391845703;426.56995391845703;426.56995391845703;37.32885766029358;37.32885766029358;37.32885766029358;179.95943593978882;179.95943593978882;179.95943593978882;11.491005659103394;11.491005659103394;11.491005659103394;2.7959890365600586;2.7959890365600586;2.7959890365600586;3.724867343902588;3.724867343902588;3.724867343902588
10;522.0889558792114;522.0889558792114;522.0889558792114;81.24693274497986;81.24693274497986;81.24693274497986;182.11770367622375;182.11770367622375;182.11770367622375;13.026868104934692;13.026868104934692;13.026868104934692;2.835864543914795;2.835864543914795;2.835864543914795;3.7315237522125244;3.7315237522125244;3.7315237522125244
