n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;0.589979887008667;0.7533450970140398;1.0;0.05823087692260742;0.5217581758201919;1.0;0.057616233825683594;0.5215366945417468;1.0
2;0.5905470848083496;0.75364032024534;1.0;0.0586543083190918;0.5219108103452239;1.0;0.05772733688354492;0.5215767225970569;1.0
3;0.7864203453063965;0.8628317220703787;1.0;0.06630277633666992;0.5246755577956781;1.0;0.06799006462097168;0.5252874433286562;1.0
4;1.3950080871582031;1.3950080871582031;1.3950080871582031;0.07272958755493164;0.5270100245732117;1.0;0.07076811790466309;0.5262964436598392;1.0
5;1.6118519306182861;1.6118519306182861;1.6118519306182861;0.0995478630065918;0.5368640940131897;1.0;0.0983588695526123;0.5364233337546697;1.0
6;3.0694596767425537;3.0694596767425537;3.0694596767425537;0.16817975044250488;0.5629293923137041;1.0;0.10082387924194336;0.5373375165398888;1.0
7;3.591623544692993;3.591623544692993;3.591623544692993;0.1687946319580078;0.5631685446024731;1.0;0.12589550018310547;0.5467246434854078;1.0
8;4.1229071617126465;4.1229071617126465;4.1229071617126465;0.3431873321533203;0.6352668593901711;1.0;0.1651628017425537;0.5617574497427184;1.0
9;4.337080478668213;4.337080478668213;4.337080478668213;0.38587093353271484;0.6542764371313867;1.0;0.16974854469299316;0.5635397609339582;1.0
10;4.363117456436157;4.363117456436157;4.363117456436157;0.5223746299743652;0.7189726814985722;1.0;0.3427000045776367;0.6350530429804603;1.0
11;4.468922138214111;4.468922138214111;4.468922138214111;0.6616361141204834;0.7915727483437297;1.0;0.3787095546722412;0.6510477860808958;1.0
12;4.882536888122559;4.882536888122559;4.882536888122559;0.6909940242767334;0.8077895066240827;1.0;0.48480820655822754;0.7005553627877511;1.0
13;5.541377305984497;5.541377305984497;5.541377305984497;0.9504830837249756;0.9663733062956728;1.0;0.9487230777740479;0.9651991334550568;1.0
14;5.950003385543823;5.950003385543823;5.950003385543823;1.4345078468322754;1.4345078468322754;1.4345078468322754;1.4549946784973145;1.4549946784973145;1.4549946784973145
15;6.658794164657593;6.658794164657593;6.658794164657593;1.4592525959014893;1.4592525959014893;1.4592525959014893;1.5130267143249512;1.5130267143249512;1.5130267143249512
16;7.0185158252716064;7.0185158252716064;7.0185158252716064;1.6905262470245361;1.6905262470245361;1.6905262470245361;1.9226794242858887;1.9226794242858887;1.9226794242858887
17;7.530000448226929;7.530000448226929;7.530000448226929;2.097104549407959;2.097104549407959;2.097104549407959;1.9974346160888672;1.9974346160888672;1.9974346160888672
18;7.751297473907471;7.751297473907471;7.751297473907471;2.1772494316101074;2.1772494316101074;2.1772494316101074;2.186258554458618;2.186258554458618;2.186258554458618
19;7.807526111602783;7.807526111602783;7.807526111602783;2.243938684463501;2.243938684463501;2.243938684463501;2.2007222175598145;2.2007222175598145;2.2007222175598145
20;7.948308229446411;7.948308229446411;7.948308229446411;2.360058307647705;2.360058307647705;2.360058307647705;2.2787680625915527;2.2787680625915527;2.2787680625915527
21;11.022732257843018;11.022732257843018;11.022732257843018;2.386280059814453;2.386280059814453;2.386280059814453;2.6688802242279053;2.6688802242279053;2.6688802242279053
22;12.376911401748657;12.376911401748657;12.376911401748657;2.5337255001068115;2.5337255001068115;2.5337255001068115;2.7329373359680176;2.7329373359680176;2.7329373359680176
23;14.35648226737976;14.35648226737976;14.35648226737976;2.6911981105804443;2.6911981105804443;2.6911981105804443;2.985177755355835;2.985177755355835;2.985177755355835
24;14.484102010726929;14.484102010726929;14.484102010726929;2.7959890365600586;2.7959890365600586;2.7959890365600586;3.432474374771118;3.432474374771118;3.432474374771118
25;14.642618894577026;14.642618894577026;14.642618894577026;2.835864543914795;2.835864543914795;2.835864543914795;3.677351474761963;3.677351474761963;3.677351474761963
26;15.878494501113892;15.878494501113892;15.878494501113892;3.2890472412109375;3.2890472412109375;3.2890472412109375;3.724867343902588;3.724867343902588;3.724867343902588
27;17.623847723007202;17.623847723007202;17.623847723007202;3.6693572998046875;3.6693572998046875;3.6693572998046875;3.7315237522125244;3.7315237522125244;3.7315237522125244
28;19.199933528900146;19.199933528900146;19.199933528900146;3.711729049682617;3.711729049682617;3.711729049682617;3.8108909130096436;3.8108909130096436;3.8108909130096436
29;19.373580932617188;19.373580932617188;19.373580932617188;3.728604316711426;3.728604316711426;3.728604316711426;4.516379117965698;4.516379117965698;4.516379117965698
30;20.75012493133545;20.75012493133545;20.75012493133545;4.56065821647644;4.56065821647644;4.56065821647644;4.716279983520508;4.716279983520508;4.716279983520508
31;24.108980894088745;24.108980894088745;24.108980894088745;4.847686529159546;4.847686529159546;4.847686529159546;4.885735034942627;4.885735034942627;4.885735034942627
32;24.88311743736267;24.88311743736267;24.88311743736267;4.903221607208252;4.903221607208252;4.903221607208252;5.794644594192505;5.794644594192505;5.794644594192505
33;25.04800844192505;25.04800844192505;25.04800844192505;5.371433973312378;5.371433973312378;5.371433973312378;6.063857316970825;6.063857316970825;6.063857316970825
34;25.334521532058716;25.334521532058716;25.334521532058716;5.663889408111572;5.663889408111572;5.663889408111572;6.330239295959473;6.330239295959473;6.330239295959473
35;28.958747386932373;28.958747386932373;28.958747386932373;5.711490869522095;5.711490869522095;5.711490869522095;6.631868124008179;6.631868124008179;6.631868124008179
36;29.431943893432617;29.431943893432617;29.431943893432617;5.978857517242432;5.978857517242432;5.978857517242432;6.691576242446899;6.691576242446899;6.691576242446899
37;30.964380502700806;30.964380502700806;30.964380502700806;6.0522401332855225;6.0522401332855225;6.0522401332855225;7.005172967910767;7.005172967910767;7.005172967910767
