n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;11.484796285629272;11.484796285629272;11.484796285629272;3.0694596767425537;3.0694596767425537;3.0694596767425537;0.6351883411407471;0.777242432584211;1.0;1.6586251258850098;1.6586251258850098;1.6586251258850098;0.13095998764038086;0.5486406676761612;1.0;0.057616233825683594;0.5215366945417468;1.0
2;31.50078582763672;31.50078582763672;31.50078582763672;4.1229071617126465;4.1229071617126465;4.1229071617126465;0.6649792194366455;0.7934028676315708;1.0;1.6804678440093994;1.6804678440093994;1.6804678440093994;1.4592525959014893;1.4592525959014893;1.4592525959014893;0.12589550018310547;0.5467246434854078;1.0
3;57.77967071533203;57.77967071533203;57.77967071533203;4.337080478668213;4.337080478668213;4.337080478668213;1.2021286487579346;1.2021286487579346;1.2021286487579346;7.755246877670288;7.755246877670288;7.755246877670288;3.3916406631469727;3.3916406631469727;3.3916406631469727;0.9487230777740479;0.9651991334550568;1.0
4;64.05401825904846;64.05401825904846;64.05401825904846;4.468922138214111;4.468922138214111;4.468922138214111;1.2377865314483643;1.2377865314483643;1.2377865314483643;10.2262864112854;10.2262864112854;10.2262864112854;4.280115604400635;4.280115604400635;4.280115604400635;1.4549946784973145;1.4549946784973145;1.4549946784973145
5;93.35506010055542;93.35506010055542;93.35506010055542;5.950003385543823;5.950003385543823;5.950003385543823;37.3504204750061;37.3504204750061;37.3504204750061;11.540806293487549;11.540806293487549;11.540806293487549;10.272721529006958;10.272721529006958;10.272721529006958;1.9226794242858887;1.9226794242858887;1.9226794242858887
6;93.61200714111328;93.61200714111328;93.61200714111328;7.0185158252716064;7.0185158252716064;7.0185158252716064;38.91295313835144;38.91295313835144;38.91295313835144;14.925920009613037;14.925920009613037;14.925920009613037;12.840407848358154;12.840407848358154;12.840407848358154;2.186258554458618;2.186258554458618;2.186258554458618
7;95.0761833190918;95.0761833190918;95.0761833190918;7.530000448226929;7.530000448226929;7.530000448226929;43.49664902687073;43.49664902687073;43.49664902687073;15.936527252197266;15.936527252197266;15.936527252197266;15.359503030776978;15.359503030776978;15.359503030776978;2.2007222175598145;2.2007222175598145;2.2007222175598145
8;167.82634019851685;167.82634019851685;167.82634019851685;12.376911401748657;12.376911401748657;12.376911401748657;59.1930193901062;59.1930193901062;59.1930193901062;17.521067142486572;17.521067142486572;17.521067142486572;16.67484951019287;16.67484951019287;16.67484951019287;2.7329373359680176;2.7329373359680176;2.7329373359680176
9;231.74307131767273;231.74307131767273;231.74307131767273;15.878494501113892;15.878494501113892;15.878494501113892;199.12494730949402;199.12494730949402;199.12494730949402;27.517194986343384;27.517194986343384;27.517194986343384;18.563143730163574;18.563143730163574;18.563143730163574;2.985177755355835;2.985177755355835;2.985177755355835
10;245.76520991325378;245.76520991325378;245.76520991325378;24.88311743736267;24.88311743736267;24.88311743736267;;;;37.257758140563965;37.257758140563965;37.257758140563965;20.71578359603882;20.71578359603882;20.71578359603882;3.432474374771118;3.432474374771118;3.432474374771118
11;327.57287073135376;327.57287073135376;327.57287073135376;30.964380502700806;30.964380502700806;30.964380502700806;;;;38.53965520858765;38.53965520858765;38.53965520858765;23.80597162246704;23.80597162246704;23.80597162246704;3.8108909130096436;3.8108909130096436;3.8108909130096436
12;355.84288477897644;355.84288477897644;355.84288477897644;37.32885766029358;37.32885766029358;37.32885766029358;;;;42.58271408081055;42.58271408081055;42.58271408081055;36.72918152809143;36.72918152809143;36.72918152809143;5.794644594192505;5.794644594192505;5.794644594192505
13;522.0889558792114;522.0889558792114;522.0889558792114;82.08800458908081;82.08800458908081;82.08800458908081;;;;47.24611163139343;47.24611163139343;47.24611163139343;51.19405913352966;51.19405913352966;51.19405913352966;6.063857316970825;6.063857316970825;6.063857316970825
14;877.6498515605927;877.6498515605927;877.6498515605927;136.16869854927063;136.16869854927063;136.16869854927063;;;;47.48324942588806;47.48324942588806;47.48324942588806;88.89722752571106;88.89722752571106;88.89722752571106;6.631868124008179;6.631868124008179;6.631868124008179
15;1167.08739900589;1167.08739900589;1167.08739900589;173.54415917396545;173.54415917396545;173.54415917396545;;;;65.2170786857605;65.2170786857605;65.2170786857605;114.9733829498291;114.9733829498291;114.9733829498291;6.691576242446899;6.691576242446899;6.691576242446899
16;;;;188.08399486541748;188.08399486541748;188.08399486541748;;;;67.95242595672607;67.95242595672607;67.95242595672607;183.7072069644928;183.7072069644928;183.7072069644928;8.605183124542236;8.605183124542236;8.605183124542236
17;;;;248.58886337280273;248.58886337280273;248.58886337280273;;;;95.62473106384277;95.62473106384277;95.62473106384277;275.1262061595917;275.1262061595917;275.1262061595917;17.32126760482788;17.32126760482788;17.32126760482788
18;;;;299.79538893699646;299.79538893699646;299.79538893699646;;;;99.05307197570801;99.05307197570801;99.05307197570801;632.4046204090118;632.4046204090118;632.4046204090118;20.77903938293457;20.77903938293457;20.77903938293457
19;;;;;;;;;;147.07581901550293;147.07581901550293;147.07581901550293;822.0869903564453;822.0869903564453;822.0869903564453;23.670626878738403;23.670626878738403;23.670626878738403
20;;;;;;;;;;185.95202374458313;185.95202374458313;185.95202374458313;;;;26.02415657043457;26.02415657043457;26.02415657043457
21;;;;;;;;;;;;;;;;32.46374273300171;32.46374273300171;32.46374273300171
22;;;;;;;;;;;;;;;;34.5739164352417;34.5739164352417;34.5739164352417
23;;;;;;;;;;;;;;;;73.49217557907104;73.49217557907104;73.49217557907104
