n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;10.496257781982422;10.496257781982422;10.496257781982422;3.0694596767425537;3.0694596767425537;3.0694596767425537;1.6586251258850098;1.6586251258850098;1.6586251258850098;0.0974283218383789;0.5360786318554405;1.0;0.057616233825683594;0.5215366945417468;1.0
2;11.484796285629272;11.484796285629272;11.484796285629272;3.591623544692993;3.591623544692993;3.591623544692993;1.6628661155700684;1.6628661155700684;1.6628661155700684;0.13095998764038086;0.5486406676761612;1.0;0.0983588695526123;0.5364233337546697;1.0
3;12.494310855865479;12.494310855865479;12.494310855865479;4.1229071617126465;4.1229071617126465;4.1229071617126465;1.6804678440093994;1.6804678440093994;1.6804678440093994;1.4592525959014893;1.4592525959014893;1.4592525959014893;0.12589550018310547;0.5467246434854078;1.0
4;31.50078582763672;31.50078582763672;31.50078582763672;4.337080478668213;4.337080478668213;4.337080478668213;7.755246877670288;7.755246877670288;7.755246877670288;2.243938684463501;2.243938684463501;2.243938684463501;0.9487230777740479;0.9651991334550568;1.0
5;44.629342794418335;44.629342794418335;44.629342794418335;4.363117456436157;4.363117456436157;4.363117456436157;8.910725116729736;8.910725116729736;8.910725116729736;3.3916406631469727;3.3916406631469727;3.3916406631469727;1.4549946784973145;1.4549946784973145;1.4549946784973145
6;57.77967071533203;57.77967071533203;57.77967071533203;4.468922138214111;4.468922138214111;4.468922138214111;10.2262864112854;10.2262864112854;10.2262864112854;3.711729049682617;3.711729049682617;3.711729049682617;1.9226794242858887;1.9226794242858887;1.9226794242858887
7;64.05401825904846;64.05401825904846;64.05401825904846;5.950003385543823;5.950003385543823;5.950003385543823;11.515100240707397;11.515100240707397;11.515100240707397;4.280115604400635;4.280115604400635;4.280115604400635;2.186258554458618;2.186258554458618;2.186258554458618
8;93.35506010055542;93.35506010055542;93.35506010055542;6.658794164657593;6.658794164657593;6.658794164657593;11.540806293487549;11.540806293487549;11.540806293487549;4.341279983520508;4.341279983520508;4.341279983520508;2.2007222175598145;2.2007222175598145;2.2007222175598145
9;93.61200714111328;93.61200714111328;93.61200714111328;7.0185158252716064;7.0185158252716064;7.0185158252716064;14.65919041633606;14.65919041633606;14.65919041633606;10.272721529006958;10.272721529006958;10.272721529006958;2.2787680625915527;2.2787680625915527;2.2787680625915527
10;95.0761833190918;95.0761833190918;95.0761833190918;7.530000448226929;7.530000448226929;7.530000448226929;14.925920009613037;14.925920009613037;14.925920009613037;10.315888166427612;10.315888166427612;10.315888166427612;2.7329373359680176;2.7329373359680176;2.7329373359680176
11;129.5570089817047;129.5570089817047;129.5570089817047;7.807526111602783;7.807526111602783;7.807526111602783;15.936527252197266;15.936527252197266;15.936527252197266;12.840407848358154;12.840407848358154;12.840407848358154;2.985177755355835;2.985177755355835;2.985177755355835
12;167.5735867023468;167.5735867023468;167.5735867023468;12.376911401748657;12.376911401748657;12.376911401748657;17.521067142486572;17.521067142486572;17.521067142486572;15.359503030776978;15.359503030776978;15.359503030776978;3.432474374771118;3.432474374771118;3.432474374771118
13;167.82634019851685;167.82634019851685;167.82634019851685;14.642618894577026;14.642618894577026;14.642618894577026;17.848053693771362;17.848053693771362;17.848053693771362;16.67484951019287;16.67484951019287;16.67484951019287;3.677351474761963;3.677351474761963;3.677351474761963
14;177.15648555755615;177.15648555755615;177.15648555755615;15.878494501113892;15.878494501113892;15.878494501113892;21.573160409927368;21.573160409927368;21.573160409927368;17.072768688201904;17.072768688201904;17.072768688201904;3.724867343902588;3.724867343902588;3.724867343902588
15;178.9294502735138;178.9294502735138;178.9294502735138;17.623847723007202;17.623847723007202;17.623847723007202;21.713942527770996;21.713942527770996;21.713942527770996;17.269431829452515;17.269431829452515;17.269431829452515;3.7315237522125244;3.7315237522125244;3.7315237522125244
16;231.74307131767273;231.74307131767273;231.74307131767273;24.88311743736267;24.88311743736267;24.88311743736267;27.517194986343384;27.517194986343384;27.517194986343384;18.563143730163574;18.563143730163574;18.563143730163574;3.8108909130096436;3.8108909130096436;3.8108909130096436
17;237.59037852287292;237.59037852287292;237.59037852287292;30.964380502700806;30.964380502700806;30.964380502700806;37.257758140563965;37.257758140563965;37.257758140563965;20.71578359603882;20.71578359603882;20.71578359603882;4.885735034942627;4.885735034942627;4.885735034942627
18;245.76520991325378;245.76520991325378;245.76520991325378;37.32885766029358;37.32885766029358;37.32885766029358;38.53965520858765;38.53965520858765;38.53965520858765;23.80597162246704;23.80597162246704;23.80597162246704;5.794644594192505;5.794644594192505;5.794644594192505
19;327.57287073135376;327.57287073135376;327.57287073135376;51.47614073753357;51.47614073753357;51.47614073753357;42.58271408081055;42.58271408081055;42.58271408081055;32.444220542907715;32.444220542907715;32.444220542907715;6.063857316970825;6.063857316970825;6.063857316970825
20;355.84288477897644;355.84288477897644;355.84288477897644;82.08800458908081;82.08800458908081;82.08800458908081;47.24611163139343;47.24611163139343;47.24611163139343;34.1780846118927;34.1780846118927;34.1780846118927;6.330239295959473;6.330239295959473;6.330239295959473
