n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;2.1086807250976562;2.1086807250976562;2.1086807250976562;3.0694596767425537;3.0694596767425537;3.0694596767425537;0.0974283218383789;0.5360786318554405;1.0;0.057616233825683594;0.5215366945417468;1.0
2;2.48786997795105;2.48786997795105;2.48786997795105;3.591623544692993;3.591623544692993;3.591623544692993;0.13095998764038086;0.5486406676761612;1.0;0.0983588695526123;0.5364233337546697;1.0
3;2.5823302268981934;2.5823302268981934;2.5823302268981934;4.1229071617126465;4.1229071617126465;4.1229071617126465;1.4592525959014893;1.4592525959014893;1.4592525959014893;0.12589550018310547;0.5467246434854078;1.0
4;10.496257781982422;10.496257781982422;10.496257781982422;4.337080478668213;4.337080478668213;4.337080478668213;2.243938684463501;2.243938684463501;2.243938684463501;0.9487230777740479;0.9651991334550568;1.0
5;11.484796285629272;11.484796285629272;11.484796285629272;4.363117456436157;4.363117456436157;4.363117456436157;3.3916406631469727;3.3916406631469727;3.3916406631469727;1.4549946784973145;1.4549946784973145;1.4549946784973145
6;12.494310855865479;12.494310855865479;12.494310855865479;4.468922138214111;4.468922138214111;4.468922138214111;3.711729049682617;3.711729049682617;3.711729049682617;1.5130267143249512;1.5130267143249512;1.5130267143249512
7;31.50078582763672;31.50078582763672;31.50078582763672;5.541377305984497;5.541377305984497;5.541377305984497;4.280115604400635;4.280115604400635;4.280115604400635;1.9226794242858887;1.9226794242858887;1.9226794242858887
8;44.629342794418335;44.629342794418335;44.629342794418335;5.950003385543823;5.950003385543823;5.950003385543823;4.341279983520508;4.341279983520508;4.341279983520508;1.9974346160888672;1.9974346160888672;1.9974346160888672
9;57.77967071533203;57.77967071533203;57.77967071533203;6.658794164657593;6.658794164657593;6.658794164657593;8.989420175552368;8.989420175552368;8.989420175552368;2.186258554458618;2.186258554458618;2.186258554458618
10;64.05401825904846;64.05401825904846;64.05401825904846;7.0185158252716064;7.0185158252716064;7.0185158252716064;10.272721529006958;10.272721529006958;10.272721529006958;2.2007222175598145;2.2007222175598145;2.2007222175598145
11;93.35506010055542;93.35506010055542;93.35506010055542;7.495967864990234;7.495967864990234;7.495967864990234;10.315888166427612;10.315888166427612;10.315888166427612;2.2787680625915527;2.2787680625915527;2.2787680625915527
12;93.61200714111328;93.61200714111328;93.61200714111328;7.530000448226929;7.530000448226929;7.530000448226929;12.840407848358154;12.840407848358154;12.840407848358154;2.7329373359680176;2.7329373359680176;2.7329373359680176
13;95.0761833190918;95.0761833190918;95.0761833190918;7.807526111602783;7.807526111602783;7.807526111602783;15.359503030776978;15.359503030776978;15.359503030776978;2.985177755355835;2.985177755355835;2.985177755355835
14;129.5570089817047;129.5570089817047;129.5570089817047;12.376911401748657;12.376911401748657;12.376911401748657;16.67484951019287;16.67484951019287;16.67484951019287;3.432474374771118;3.432474374771118;3.432474374771118
15;167.5735867023468;167.5735867023468;167.5735867023468;13.202630519866943;13.202630519866943;13.202630519866943;17.072768688201904;17.072768688201904;17.072768688201904;3.677351474761963;3.677351474761963;3.677351474761963
16;167.82634019851685;167.82634019851685;167.82634019851685;14.484102010726929;14.484102010726929;14.484102010726929;17.269431829452515;17.269431829452515;17.269431829452515;3.724867343902588;3.724867343902588;3.724867343902588
17;177.15648555755615;177.15648555755615;177.15648555755615;14.642618894577026;14.642618894577026;14.642618894577026;18.563143730163574;18.563143730163574;18.563143730163574;3.7315237522125244;3.7315237522125244;3.7315237522125244
18;178.9294502735138;178.9294502735138;178.9294502735138;15.878494501113892;15.878494501113892;15.878494501113892;20.71578359603882;20.71578359603882;20.71578359603882;3.8108909130096436;3.8108909130096436;3.8108909130096436
19;231.74307131767273;231.74307131767273;231.74307131767273;17.623847723007202;17.623847723007202;17.623847723007202;22.864012479782104;22.864012479782104;22.864012479782104;4.516379117965698;4.516379117965698;4.516379117965698
20;237.59037852287292;237.59037852287292;237.59037852287292;24.88311743736267;24.88311743736267;24.88311743736267;23.80597162246704;23.80597162246704;23.80597162246704;4.885735034942627;4.885735034942627;4.885735034942627
