n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;12.494310855865479;12.494310855865479;12.494310855865479;7.0185158252716064;7.0185158252716064;7.0185158252716064;1.4498915672302246;1.4498915672302246;1.4498915672302246;1.6628661155700684;1.6628661155700684;1.6628661155700684;0.0974283218383789;0.5360786318554405;1.0;0.057616233825683594;0.5215366945417468;1.0
2;44.629342794418335;44.629342794418335;44.629342794418335;7.530000448226929;7.530000448226929;7.530000448226929;1.7078475952148438;1.7078475952148438;1.7078475952148438;1.6804678440093994;1.6804678440093994;1.6804678440093994;0.13095998764038086;0.5486406676761612;1.0;0.05772733688354492;0.5215767225970569;1.0
3;64.05401825904846;64.05401825904846;64.05401825904846;7.807526111602783;7.807526111602783;7.807526111602783;1.977264404296875;1.977264404296875;1.977264404296875;5.859082937240601;5.859082937240601;5.859082937240601;3.711729049682617;3.711729049682617;3.711729049682617;0.0983588695526123;0.5364233337546697;1.0
4;93.61200714111328;93.61200714111328;93.61200714111328;14.484102010726929;14.484102010726929;14.484102010726929;9.82671594619751;9.82671594619751;9.82671594619751;7.755246877670288;7.755246877670288;7.755246877670288;15.359503030776978;15.359503030776978;15.359503030776978;0.12589550018310547;0.5467246434854078;1.0
5;177.15648555755615;177.15648555755615;177.15648555755615;24.108980894088745;24.108980894088745;24.108980894088745;19.671817779541016;19.671817779541016;19.671817779541016;11.515100240707397;11.515100240707397;11.515100240707397;18.563143730163574;18.563143730163574;18.563143730163574;1.5130267143249512;1.5130267143249512;1.5130267143249512
6;178.9294502735138;178.9294502735138;178.9294502735138;28.958747386932373;28.958747386932373;28.958747386932373;23.584816455841064;23.584816455841064;23.584816455841064;12.952099561691284;12.952099561691284;12.952099561691284;22.627134799957275;22.627134799957275;22.627134799957275;1.9974346160888672;1.9974346160888672;1.9974346160888672
7;327.57287073135376;327.57287073135376;327.57287073135376;30.964380502700806;30.964380502700806;30.964380502700806;98.42154455184937;98.42154455184937;98.42154455184937;15.936527252197266;15.936527252197266;15.936527252197266;32.444220542907715;32.444220542907715;32.444220542907715;2.7329373359680176;2.7329373359680176;2.7329373359680176
8;424.566118478775;424.566118478775;424.566118478775;31.035571575164795;31.035571575164795;31.035571575164795;128.88317608833313;128.88317608833313;128.88317608833313;17.521067142486572;17.521067142486572;17.521067142486572;34.1780846118927;34.1780846118927;34.1780846118927;2.985177755355835;2.985177755355835;2.985177755355835
9;426.56995391845703;426.56995391845703;426.56995391845703;37.32885766029358;37.32885766029358;37.32885766029358;179.95943593978882;179.95943593978882;179.95943593978882;30.54009485244751;30.54009485244751;30.54009485244751;39.51769757270813;39.51769757270813;39.51769757270813;3.724867343902588;3.724867343902588;3.724867343902588
10;522.0889558792114;522.0889558792114;522.0889558792114;81.24693274497986;81.24693274497986;81.24693274497986;182.11770367622375;182.11770367622375;182.11770367622375;37.257758140563965;37.257758140563965;37.257758140563965;44.84270930290222;44.84270930290222;44.84270930290222;3.7315237522125244;3.7315237522125244;3.7315237522125244
11;877.6498515605927;877.6498515605927;877.6498515605927;188.08399486541748;188.08399486541748;188.08399486541748;300.26718401908875;300.26718401908875;300.26718401908875;47.24611163139343;47.24611163139343;47.24611163139343;57.92487025260925;57.92487025260925;57.92487025260925;3.8108909130096436;3.8108909130096436;3.8108909130096436
12;1319.3012199401855;1319.3012199401855;1319.3012199401855;248.58886337280273;248.58886337280273;248.58886337280273;428.6573052406311;428.6573052406311;428.6573052406311;47.48324942588806;47.48324942588806;47.48324942588806;61.16575479507446;61.16575479507446;61.16575479507446;4.200374364852905;4.200374364852905;4.200374364852905
13;;;;287.81885743141174;287.81885743141174;287.81885743141174;871.3053133487701;871.3053133487701;871.3053133487701;51.14619183540344;51.14619183540344;51.14619183540344;88.89722752571106;88.89722752571106;88.89722752571106;4.516379117965698;4.516379117965698;4.516379117965698
14;;;;554.3715498447418;554.3715498447418;554.3715498447418;1040.465175151825;1040.465175151825;1040.465175151825;60.04257249832153;60.04257249832153;60.04257249832153;114.9733829498291;114.9733829498291;114.9733829498291;4.716279983520508;4.716279983520508;4.716279983520508
15;;;;1796.9028866291046;1796.9028866291046;1796.9028866291046;1187.2745399475098;1187.2745399475098;1187.2745399475098;60.17646670341492;60.17646670341492;60.17646670341492;120.61619734764099;120.61619734764099;120.61619734764099;8.605183124542236;8.605183124542236;8.605183124542236
16;;;;;;;1208.5479717254639;1208.5479717254639;1208.5479717254639;64.76841044425964;64.76841044425964;64.76841044425964;126.30804967880249;126.30804967880249;126.30804967880249;12.294154405593872;12.294154405593872;12.294154405593872
17;;;;;;;1259.660579442978;1259.660579442978;1259.660579442978;65.2170786857605;65.2170786857605;65.2170786857605;152.9982078075409;152.9982078075409;152.9982078075409;16.54027271270752;16.54027271270752;16.54027271270752
18;;;;;;;1406.6142647266388;1406.6142647266388;1406.6142647266388;65.2724494934082;65.2724494934082;65.2724494934082;183.7072069644928;183.7072069644928;183.7072069644928;17.32126760482788;17.32126760482788;17.32126760482788
19;;;;;;;1475.5086421966553;1475.5086421966553;1475.5086421966553;91.5302300453186;91.5302300453186;91.5302300453186;186.30844974517822;186.30844974517822;186.30844974517822;26.02415657043457;26.02415657043457;26.02415657043457
20;;;;;;;;;;100.18391919136047;100.18391919136047;100.18391919136047;190.44857573509216;190.44857573509216;190.44857573509216;29.750993251800537;29.750993251800537;29.750993251800537
21;;;;;;;;;;241.12155628204346;241.12155628204346;241.12155628204346;192.6433880329132;192.6433880329132;192.6433880329132;32.29943537712097;32.29943537712097;32.29943537712097
22;;;;;;;;;;256.1978077888489;256.1978077888489;256.1978077888489;193.24811363220215;193.24811363220215;193.24811363220215;34.00934982299805;34.00934982299805;34.00934982299805
23;;;;;;;;;;362.3100280761719;362.3100280761719;362.3100280761719;275.10556173324585;275.10556173324585;275.10556173324585;34.5739164352417;34.5739164352417;34.5739164352417
24;;;;;;;;;;628.9095811843872;628.9095811843872;628.9095811843872;308.0870907306671;308.0870907306671;308.0870907306671;46.3243293762207;46.3243293762207;46.3243293762207
25;;;;;;;;;;;;;822.0869903564453;822.0869903564453;822.0869903564453;54.55537295341492;54.55537295341492;54.55537295341492
26;;;;;;;;;;;;;923.8035209178925;923.8035209178925;923.8035209178925;119.04714965820312;119.04714965820312;119.04714965820312
27;;;;;;;;;;;;;;;;125.93564033508301;125.93564033508301;125.93564033508301
28;;;;;;;;;;;;;;;;153.45935201644897;153.45935201644897;153.45935201644897
29;;;;;;;;;;;;;;;;209.80363702774048;209.80363702774048;209.80363702774048
30;;;;;;;;;;;;;;;;210.48579907417297;210.48579907417297;210.48579907417297
31;;;;;;;;;;;;;;;;236.51128005981445;236.51128005981445;236.51128005981445
32;;;;;;;;;;;;;;;;307.41595363616943;307.41595363616943;307.41595363616943
33;;;;;;;;;;;;;;;;1408.3705487251282;1408.3705487251282;1408.3705487251282
34;;;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;;;
