n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;0.589979887008667;0.7533450970140398;1.0;0.06034135818481445;0.5225193855271721;1.0;0.057616233825683594;0.5215366945417468;1.0
2;0.5905470848083496;0.75364032024534;1.0;0.06630277633666992;0.5246755577956781;1.0;0.05772733688354492;0.5215767225970569;1.0
3;0.7864203453063965;0.8628317220703787;1.0;0.07272958755493164;0.5270100245732117;1.0;0.06799006462097168;0.5252874433286562;1.0
4;1.3950080871582031;1.3950080871582031;1.3950080871582031;0.0974283218383789;0.5360786318554405;1.0;0.07076811790466309;0.5262964436598392;1.0
5;1.6118519306182861;1.6118519306182861;1.6118519306182861;0.0995478630065918;0.5368640940131897;1.0;0.0983588695526123;0.5364233337546697;1.0
6;3.0694596767425537;3.0694596767425537;3.0694596767425537;0.13095998764038086;0.5486406676761612;1.0;0.10082387924194336;0.5373375165398888;1.0
7;3.591623544692993;3.591623544692993;3.591623544692993;0.16817975044250488;0.5629293923137041;1.0;0.12589550018310547;0.5467246434854078;1.0
8;4.1229071617126465;4.1229071617126465;4.1229071617126465;0.1687946319580078;0.5631685446024731;1.0;0.1651628017425537;0.5617574497427184;1.0
9;4.337080478668213;4.337080478668213;4.337080478668213;0.3431873321533203;0.6352668593901711;1.0;0.16974854469299316;0.5635397609339582;1.0
10;4.363117456436157;4.363117456436157;4.363117456436157;0.3787529468536377;0.6510673010470339;1.0;0.3427000045776367;0.6350530429804603;1.0
11;4.468922138214111;4.468922138214111;4.468922138214111;1.4592525959014893;1.4592525959014893;1.4592525959014893;0.3787095546722412;0.6510477860808958;1.0
12;4.882536888122559;4.882536888122559;4.882536888122559;2.243938684463501;2.243938684463501;2.243938684463501;0.48480820655822754;0.7005553627877511;1.0
13;5.541377305984497;5.541377305984497;5.541377305984497;2.6911981105804443;2.6911981105804443;2.6911981105804443;0.9487230777740479;0.9651991334550568;1.0
14;5.950003385543823;5.950003385543823;5.950003385543823;3.3916406631469727;3.3916406631469727;3.3916406631469727;1.4549946784973145;1.4549946784973145;1.4549946784973145
15;6.658794164657593;6.658794164657593;6.658794164657593;3.711729049682617;3.711729049682617;3.711729049682617;1.5130267143249512;1.5130267143249512;1.5130267143249512
16;7.0185158252716064;7.0185158252716064;7.0185158252716064;4.280115604400635;4.280115604400635;4.280115604400635;1.9226794242858887;1.9226794242858887;1.9226794242858887
17;7.495967864990234;7.495967864990234;7.495967864990234;4.341279983520508;4.341279983520508;4.341279983520508;1.9974346160888672;1.9974346160888672;1.9974346160888672
18;7.530000448226929;7.530000448226929;7.530000448226929;7.895191431045532;7.895191431045532;7.895191431045532;2.186258554458618;2.186258554458618;2.186258554458618
19;7.807526111602783;7.807526111602783;7.807526111602783;8.989420175552368;8.989420175552368;8.989420175552368;2.2007222175598145;2.2007222175598145;2.2007222175598145
20;12.376911401748657;12.376911401748657;12.376911401748657;9.297359704971313;9.297359704971313;9.297359704971313;2.2787680625915527;2.2787680625915527;2.2787680625915527
21;13.202630519866943;13.202630519866943;13.202630519866943;10.272721529006958;10.272721529006958;10.272721529006958;2.6688802242279053;2.6688802242279053;2.6688802242279053
22;14.35648226737976;14.35648226737976;14.35648226737976;10.315888166427612;10.315888166427612;10.315888166427612;2.7329373359680176;2.7329373359680176;2.7329373359680176
23;14.484102010726929;14.484102010726929;14.484102010726929;11.066964626312256;11.066964626312256;11.066964626312256;2.985177755355835;2.985177755355835;2.985177755355835
24;14.642618894577026;14.642618894577026;14.642618894577026;12.840407848358154;12.840407848358154;12.840407848358154;3.432474374771118;3.432474374771118;3.432474374771118
25;15.878494501113892;15.878494501113892;15.878494501113892;15.359503030776978;15.359503030776978;15.359503030776978;3.677351474761963;3.677351474761963;3.677351474761963
26;17.623847723007202;17.623847723007202;17.623847723007202;16.67484951019287;16.67484951019287;16.67484951019287;3.724867343902588;3.724867343902588;3.724867343902588
27;18.953999280929565;18.953999280929565;18.953999280929565;17.072768688201904;17.072768688201904;17.072768688201904;3.7315237522125244;3.7315237522125244;3.7315237522125244
28;19.199933528900146;19.199933528900146;19.199933528900146;17.269431829452515;17.269431829452515;17.269431829452515;3.8108909130096436;3.8108909130096436;3.8108909130096436
29;20.75012493133545;20.75012493133545;20.75012493133545;18.563143730163574;18.563143730163574;18.563143730163574;4.516379117965698;4.516379117965698;4.516379117965698
30;24.108980894088745;24.108980894088745;24.108980894088745;20.71578359603882;20.71578359603882;20.71578359603882;4.716279983520508;4.716279983520508;4.716279983520508
31;24.799542903900146;24.799542903900146;24.799542903900146;22.864012479782104;22.864012479782104;22.864012479782104;4.885735034942627;4.885735034942627;4.885735034942627
32;24.88311743736267;24.88311743736267;24.88311743736267;23.80597162246704;23.80597162246704;23.80597162246704;5.794644594192505;5.794644594192505;5.794644594192505
33;25.04800844192505;25.04800844192505;25.04800844192505;24.570918560028076;24.570918560028076;24.570918560028076;6.063857316970825;6.063857316970825;6.063857316970825
34;28.958747386932373;28.958747386932373;28.958747386932373;25.759570121765137;25.759570121765137;25.759570121765137;6.330239295959473;6.330239295959473;6.330239295959473
35;29.431943893432617;29.431943893432617;29.431943893432617;28.31005334854126;28.31005334854126;28.31005334854126;6.631868124008179;6.631868124008179;6.631868124008179
