n;DFTRES;DFTRESscaled;DFTRESshifted;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;STAMINA;STAMINAscaled;STAMINAshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;3.192033529281616;3.192033529281616;3.192033529281616;0.5756180286407471;0.7459082465107488;1.0;1.1572401523590088;1.1572401523590088;1.1572401523590088;0.6389865875244141;0.7792843888692205;1.0;1.6787059307098389;1.6787059307098389;1.6787059307098389;898.7671537399292;898.7671537399292;898.7671537399292;0.057570457458496094;0.521520203189381;1.0;0.0566103458404541;0.5211744343940243;1.0
2;3.297239065170288;3.297239065170288;3.297239065170288;0.5923480987548828;0.7545785048993047;1.0;1.182654857635498;1.182654857635498;1.182654857635498;0.8149840831756592;0.8800254357960564;1.0;1.6820652484893799;1.6820652484893799;1.6820652484893799;;;;0.06763148307800293;0.5251573460811111;1.0;0.05856442451477051;0.5218784061530568;1.0
3;4.673218011856079;4.673218011856079;4.673218011856079;0.6174242496490479;0.7677631699056483;1.0;1.2565648555755615;1.2565648555755615;1.2565648555755615;0.9297399520874023;0.9526250241098694;1.0;1.7242166996002197;1.7242166996002197;1.7242166996002197;;;;0.07232046127319336;0.5268611049834758;1.0;0.06672501564025879;0.5248286135881516;1.0
4;5.286377906799316;5.286377906799316;5.286377906799316;0.7824337482452393;0.860458887085396;1.0;1.280956506729126;1.280956506729126;1.280956506729126;1.0402235984802246;1.0402235984802246;1.0402235984802246;7.7191407680511475;7.7191407680511475;7.7191407680511475;;;;0.1023406982421875;0.5379008238797087;1.0;0.07167291641235352;0.5266254884214743;1.0
5;7.480714559555054;7.480714559555054;7.480714559555054;1.4879138469696045;1.4879138469696045;1.4879138469696045;1.286550760269165;1.286550760269165;1.286550760269165;13.714107513427734;13.714107513427734;13.714107513427734;9.159008741378784;9.159008741378784;9.159008741378784;;;;0.16752886772155762;0.5626763483497408;1.0;0.0992898941040039;0.5367684341041179;1.0
6;13.094085931777954;13.094085931777954;13.094085931777954;1.6254639625549316;1.6254639625549316;1.6254639625549316;1.2951877117156982;1.2951877117156982;1.2951877117156982;37.218525409698486;37.218525409698486;37.218525409698486;9.904075860977173;9.904075860977173;9.904075860977173;;;;0.171675443649292;0.5642903625847696;1.0;0.1654069423675537;0.5618521960860301;1.0
7;24.60858726501465;24.60858726501465;24.60858726501465;2.5729620456695557;2.5729620456695557;2.5729620456695557;1.3278398513793945;1.3278398513793945;1.3278398513793945;51.73758888244629;51.73758888244629;51.73758888244629;10.43846583366394;10.43846583366394;10.43846583366394;;;;0.280789852142334;0.6084668966740091;1.0;0.16809439659118652;0.5628962027771925;1.0
8;70.25010895729065;70.25010895729065;70.25010895729065;2.9051506519317627;2.9051506519317627;2.9051506519317627;1.3333492279052734;1.3333492279052734;1.3333492279052734;87.15906119346619;87.15906119346619;87.15906119346619;10.710225582122803;10.710225582122803;10.710225582122803;;;;0.32276344299316406;0.6263672364581345;1.0;0.28497791290283203;0.6102297461603626;1.0
9;138.69863319396973;138.69863319396973;138.69863319396973;3.0571415424346924;3.0571415424346924;3.0571415424346924;1.3410463333129883;1.3410463333129883;1.3410463333129883;110.676762342453;110.676762342453;110.676762342453;13.607762813568115;13.607762813568115;13.607762813568115;;;;0.36279296875;0.6439288609181913;1.0;0.3208444118499756;0.6255374617824739;1.0
10;379.1180033683777;379.1180033683777;379.1180033683777;3.065861940383911;3.065861940383911;3.065861940383911;1.3435924053192139;1.3435924053192139;1.3435924053192139;;;;14.923928022384644;14.923928022384644;14.923928022384644;;;;0.3766460418701172;0.6501204279432894;1.0;0.36127734184265137;0.6432550472494656;1.0
11;;;;4.1895482540130615;4.1895482540130615;4.1895482540130615;1.3885276317596436;1.3885276317596436;1.3885276317596436;;;;16.137356281280518;16.137356281280518;16.137356281280518;;;;1.3915112018585205;1.3915112018585205;1.3915112018585205;0.38369107246398926;0.6532919725395706;1.0
12;;;;4.393764972686768;4.393764972686768;4.393764972686768;1.5322930812835693;1.5322930812835693;1.5322930812835693;;;;17.48151135444641;17.48151135444641;17.48151135444641;;;;1.4018285274505615;1.4018285274505615;1.4018285274505615;0.48541998863220215;0.7008514829122899;1.0
13;;;;4.440749645233154;4.440749645233154;4.440749645233154;1.5865931510925293;1.5865931510925293;1.5865931510925293;;;;17.84397530555725;17.84397530555725;17.84397530555725;;;;2.7005667686462402;2.7005667686462402;2.7005667686462402;0.9275753498077393;0.9512016718649872;1.0
14;;;;4.868288040161133;4.868288040161133;4.868288040161133;1.6191112995147705;1.6191112995147705;1.6191112995147705;;;;18.352652549743652;18.352652549743652;18.352652549743652;;;;3.3289763927459717;3.3289763927459717;3.3289763927459717;1.3978123664855957;1.3978123664855957;1.3978123664855957
15;;;;5.671426057815552;5.671426057815552;5.671426057815552;1.632643222808838;1.632643222808838;1.632643222808838;;;;23.50070881843567;23.50070881843567;23.50070881843567;;;;4.00508451461792;4.00508451461792;4.00508451461792;1.4235191345214844;1.4235191345214844;1.4235191345214844
16;;;;6.135810613632202;6.135810613632202;6.135810613632202;1.6924643516540527;1.6924643516540527;1.6924643516540527;;;;25.643999338150024;25.643999338150024;25.643999338150024;;;;4.023967027664185;4.023967027664185;4.023967027664185;1.5472931861877441;1.5472931861877441;1.5472931861877441
17;;;;6.716291666030884;6.716291666030884;6.716291666030884;1.7370505332946777;1.7370505332946777;1.7370505332946777;;;;27.507055521011353;27.507055521011353;27.507055521011353;;;;4.276989459991455;4.276989459991455;4.276989459991455;1.9087796211242676;1.9087796211242676;1.9087796211242676
18;;;;6.808935165405273;6.808935165405273;6.808935165405273;1.8155770301818848;1.8155770301818848;1.8155770301818848;;;;37.233455181121826;37.233455181121826;37.233455181121826;;;;5.09431266784668;5.09431266784668;5.09431266784668;1.9490702152252197;1.9490702152252197;1.9490702152252197
