n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted
1;0.5756180286407471;0.7459082465107488;1.0;0.057570457458496094;0.521520203189381;1.0
2;0.5923480987548828;0.7545785048993047;1.0;0.06763148307800293;0.5251573460811111;1.0
3;0.7824337482452393;0.860458887085396;1.0;0.07232046127319336;0.5268611049834758;1.0
4;1.4879138469696045;1.4879138469696045;1.4879138469696045;0.1023406982421875;0.5379008238797087;1.0
5;1.6254639625549316;1.6254639625549316;1.6254639625549316;0.16752886772155762;0.5626763483497408;1.0
6;2.5729620456695557;2.5729620456695557;2.5729620456695557;0.171675443649292;0.5642903625847696;1.0
7;2.9051506519317627;2.9051506519317627;2.9051506519317627;0.280789852142334;0.6084668966740091;1.0
8;3.0571415424346924;3.0571415424346924;3.0571415424346924;0.32276344299316406;0.6263672364581345;1.0
9;3.065861940383911;3.065861940383911;3.065861940383911;0.36279296875;0.6439288609181913;1.0
10;4.1895482540130615;4.1895482540130615;4.1895482540130615;0.3766460418701172;0.6501204279432894;1.0
11;4.393764972686768;4.393764972686768;4.393764972686768;1.3915112018585205;1.3915112018585205;1.3915112018585205
12;4.440749645233154;4.440749645233154;4.440749645233154;1.4018285274505615;1.4018285274505615;1.4018285274505615
13;4.868288040161133;4.868288040161133;4.868288040161133;2.7005667686462402;2.7005667686462402;2.7005667686462402
14;5.671426057815552;5.671426057815552;5.671426057815552;3.3289763927459717;3.3289763927459717;3.3289763927459717
15;6.135810613632202;6.135810613632202;6.135810613632202;4.00508451461792;4.00508451461792;4.00508451461792
16;6.716291666030884;6.716291666030884;6.716291666030884;4.023967027664185;4.023967027664185;4.023967027664185
17;6.808935165405273;6.808935165405273;6.808935165405273;4.276989459991455;4.276989459991455;4.276989459991455
18;7.109309434890747;7.109309434890747;7.109309434890747;5.09431266784668;5.09431266784668;5.09431266784668
19;7.21002197265625;7.21002197265625;7.21002197265625;9.050022602081299;9.050022602081299;9.050022602081299
20;7.441452503204346;7.441452503204346;7.441452503204346;9.055410623550415;9.055410623550415;9.055410623550415
21;7.495607137680054;7.495607137680054;7.495607137680054;9.292776823043823;9.292776823043823;9.292776823043823
22;7.515087604522705;7.515087604522705;7.515087604522705;9.500243186950684;9.500243186950684;9.500243186950684
23;10.14117980003357;10.14117980003357;10.14117980003357;10.06827163696289;10.06827163696289;10.06827163696289
24;12.776201963424683;12.776201963424683;12.776201963424683;10.372932434082031;10.372932434082031;10.372932434082031
25;13.170981407165527;13.170981407165527;13.170981407165527;12.851221084594727;12.851221084594727;12.851221084594727
26;13.938234329223633;13.938234329223633;13.938234329223633;15.45097279548645;15.45097279548645;15.45097279548645
27;14.444582462310791;14.444582462310791;14.444582462310791;15.493448734283447;15.493448734283447;15.493448734283447
28;14.974791526794434;14.974791526794434;14.974791526794434;16.82557511329651;16.82557511329651;16.82557511329651
29;14.978732585906982;14.978732585906982;14.978732585906982;17.142479181289673;17.142479181289673;17.142479181289673
30;16.953611850738525;16.953611850738525;16.953611850738525;18.78513479232788;18.78513479232788;18.78513479232788
31;17.927417278289795;17.927417278289795;17.927417278289795;20.439354181289673;20.439354181289673;20.439354181289673
32;19.158452033996582;19.158452033996582;19.158452033996582;20.685575485229492;20.685575485229492;20.685575485229492
33;20.518868923187256;20.518868923187256;20.518868923187256;22.867125511169434;22.867125511169434;22.867125511169434
34;21.593319416046143;21.593319416046143;21.593319416046143;23.409716844558716;23.409716844558716;23.409716844558716
35;23.118725538253784;23.118725538253784;23.118725538253784;24.43109107017517;24.43109107017517;24.43109107017517
36;24.842591285705566;24.842591285705566;24.842591285705566;24.501177310943604;24.501177310943604;24.501177310943604
37;29.053817987442017;29.053817987442017;29.053817987442017;25.200990438461304;25.200990438461304;25.200990438461304
38;30.379965782165527;30.379965782165527;30.379965782165527;27.990083694458008;27.990083694458008;27.990083694458008
39;31.034334421157837;31.034334421157837;31.034334421157837;33.84789323806763;33.84789323806763;33.84789323806763
40;31.348012685775757;31.348012685775757;31.348012685775757;36.714049100875854;36.714049100875854;36.714049100875854
41;31.618762731552124;31.618762731552124;31.618762731552124;37.67688703536987;37.67688703536987;37.67688703536987
42;34.61443734169006;34.61443734169006;34.61443734169006;38.9756395816803;38.9756395816803;38.9756395816803
43;43.00438332557678;43.00438332557678;43.00438332557678;41.179983615875244;41.179983615875244;41.179983615875244
44;45.813963890075684;45.813963890075684;45.813963890075684;44.337116718292236;44.337116718292236;44.337116718292236
45;46.12007546424866;46.12007546424866;46.12007546424866;47.672465085983276;47.672465085983276;47.672465085983276
46;53.313454389572144;53.313454389572144;53.313454389572144;50.93265986442566;50.93265986442566;50.93265986442566
47;63.01635217666626;63.01635217666626;63.01635217666626;54.549681425094604;54.549681425094604;54.549681425094604
48;78.38766884803772;78.38766884803772;78.38766884803772;57.25772047042847;57.25772047042847;57.25772047042847
49;78.92872262001038;78.92872262001038;78.92872262001038;57.4958279132843;57.4958279132843;57.4958279132843
50;81.95500469207764;81.95500469207764;81.95500469207764;58.06374669075012;58.06374669075012;58.06374669075012
51;102.77095222473145;102.77095222473145;102.77095222473145;58.921613931655884;58.921613931655884;58.921613931655884
52;134.83462142944336;134.83462142944336;134.83462142944336;61.41531467437744;61.41531467437744;61.41531467437744
53;144.26849842071533;144.26849842071533;144.26849842071533;62.66628384590149;62.66628384590149;62.66628384590149
54;154.1444354057312;154.1444354057312;154.1444354057312;77.49266505241394;77.49266505241394;77.49266505241394
55;156.24115753173828;156.24115753173828;156.24115753173828;90.2938928604126;90.2938928604126;90.2938928604126
56;165.61006808280945;165.61006808280945;165.61006808280945;115.01229310035706;115.01229310035706;115.01229310035706
57;173.1283814907074;173.1283814907074;173.1283814907074;116.69167304039001;116.69167304039001;116.69167304039001
58;185.40929579734802;185.40929579734802;185.40929579734802;159.44954562187195;159.44954562187195;159.44954562187195
59;294.46830773353577;294.46830773353577;294.46830773353577;186.33288264274597;186.33288264274597;186.33288264274597
60;295.01219177246094;295.01219177246094;295.01219177246094;187.31530928611755;187.31530928611755;187.31530928611755
61;337.367210149765;337.367210149765;337.367210149765;189.03101468086243;189.03101468086243;189.03101468086243
62;359.56964921951294;359.56964921951294;359.56964921951294;242.87736129760742;242.87736129760742;242.87736129760742
63;787.2704019546509;787.2704019546509;787.2704019546509;269.60169863700867;269.60169863700867;269.60169863700867
64;1799.6424236297607;1799.6424236297607;1799.6424236297607;273.86997747421265;273.86997747421265;273.86997747421265
65;;;;444.55461621284485;444.55461621284485;444.55461621284485
66;;;;450.68515038490295;450.68515038490295;450.68515038490295
67;;;;611.5677299499512;611.5677299499512;611.5677299499512
68;;;;823.9160499572754;823.9160499572754;823.9160499572754
69;;;;935.5361328125;935.5361328125;935.5361328125
70;;;;;;
71;;;;;;
72;;;;;;
73;;;;;;
74;;;;;;
75;;;;;;
76;;;;;;
77;;;;;;
78;;;;;;
79;;;;;;
80;;;;;;
81;;;;;;
82;;;;;;
83;;;;;;
84;;;;;;
85;;;;;;
86;;;;;;
