id;Type;PRISM-TUM;PRISM-TUMshifted;other;othershifted
crowds.5-20.positive;dtmc;4000;4000;1.8155770301818848;1.8155770301818848
crowds.6-20.positive;dtmc;4000;4000;1.6924643516540527;1.6924643516540527
egl.10-2.unfairA;dtmc;8000;8000;1.5865931510925293;1.5865931510925293
egl.10-8.unfairA;dtmc;8000;8000;1.995056390762329;1.995056390762329
haddad-monmege.100-0.7.target;dtmc;4000;4000;0.0566103458404541;1
nand.40-4.reliable;dtmc;4000;4000;1.632643222808838;1.632643222808838
nand.60-4.reliable;dtmc;4000;4000;1.7370505332946777;1.7370505332946777
embedded.8-12.actuators;ctmc;87.15906119346619;87.15906119346619;0.3208444118499756;1
polling.18-16.s1_before_s2;ctmc;4000;4000;7.9360878467559814;7.9360878467559814
consensus.4-4.disagree;mdp;4000;4000;1.3915112018585205;1.3915112018585205
consensus.6-2.disagree;mdp;4000;4000;10.386704206466675;10.386704206466675
csma.3-4.all_before_max;mdp;51.73758888244629;51.73758888244629;6.135810613632202;6.135810613632202
csma.4-2.all_before_max;mdp;37.218525409698486;37.218525409698486;3.0571415424346924;3.0571415424346924
pacman.100.crash;mdp;8000;8000;73.7836971282959;73.7836971282959
pacman.60.crash;mdp;110.676762342453;110.676762342453;32.40609407424927;32.40609407424927
pnueli-zuck.5.live;mdp;0.6389865875244141;1;0.9275753498077393;1
pnueli-zuck.10.live;mdp;0.8149840831756592;1;2.4011611938476562;2.4011611938476562
rabin.10.live;mdp;0.9297399520874023;1;1.9087796211242676;1.9087796211242676
resource-gathering.1300-100-100.prgoldgem;mdp;4000;4000;23.50070881843567;23.50070881843567
wlan.4-0.sent;mdp;4000;4000;2.199981689453125;2.199981689453125
wlan.5-0.sent;mdp;4000;4000;3.397376775741577;3.397376775741577
wlan.6-0.sent;mdp;4000;4000;6.039976596832275;6.039976596832275
zeroconf.1000-8-false.correct_max;mdp;13.714107513427734;13.714107513427734;13.170981407165527;13.170981407165527
zeroconf.1000-8-false.correct_min;mdp;1.0402235984802246;1.0402235984802246;14.974791526794434;14.974791526794434
