id;Type;PET;PETshifted;other;othershifted
crowds.5-20.positive;dtmc;4000;4000;1.8155770301818848;1.8155770301818848
crowds.6-20.positive;dtmc;4000;4000;1.6924643516540527;1.6924643516540527
egl.10-2.unfairA;dtmc;4000;4000;1.5865931510925293;1.5865931510925293
egl.10-8.unfairA;dtmc;8000;8000;1.995056390762329;1.995056390762329
haddad-monmege.100-0.7.target;dtmc;4000;4000;0.056337594985961914;1
nand.40-4.reliable;dtmc;4000;4000;1.632643222808838;1.632643222808838
nand.60-4.reliable;dtmc;4000;4000;1.7370505332946777;1.7370505332946777
embedded.8-12.actuators;ctmc;87.15906119346619;87.15906119346619;0.6746721267700195;1
polling.18-16.s1_before_s2;ctmc;4000;4000;7.9360878467559814;7.9360878467559814
consensus.4-4.disagree;mdp;4000;4000;1.3915112018585205;1.3915112018585205
consensus.6-2.disagree;mdp;8000;8000;10.38874101638794;10.38874101638794
csma.3-4.all_before_max;mdp;51.73758888244629;51.73758888244629;6.135810613632202;6.135810613632202
csma.4-2.all_before_max;mdp;37.218525409698486;37.218525409698486;3.0571415424346924;3.0571415424346924
pacman.100.crash;mdp;8000;8000;74.63979363441467;74.63979363441467
pacman.60.crash;mdp;4000;4000;31.081514358520508;31.081514358520508
pnueli-zuck.5.live;mdp;294.98741483688354;294.98741483688354;0.887401819229126;1
pnueli-zuck.10.live;mdp;0.8149840831756592;1;2.389371395111084;2.389371395111084
rabin.10.live;mdp;0.9297399520874023;1;2.208712100982666;2.208712100982666
resource-gathering.1300-100-100.prgoldgem;mdp;4000;4000;23.650977611541748;23.650977611541748
wlan.4-0.sent;mdp;4000;4000;2.216695547103882;2.216695547103882
wlan.5-0.sent;mdp;4000;4000;3.605030059814453;3.605030059814453
wlan.6-0.sent;mdp;4000;4000;5.655471563339233;5.655471563339233
zeroconf.1000-8-false.correct_max;mdp;16000;16000;13.170981407165527;13.170981407165527
zeroconf.1000-8-false.correct_min;mdp;16000;16000;14.974791526794434;14.974791526794434
