n;DFTRES;DFTRESscaled;DFTRESshifted;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;STAMINA;STAMINAscaled;STAMINAshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;0.726477861404419;0.8278341888354764;1.0;0.5756180286407471;0.7459082465107488;1.0;1.1572401523590088;1.1572401523590088;1.1572401523590088;0.8149840831756592;0.8800254357960564;1.0;1.5571048259735107;1.5571048259735107;1.5571048259735107;898.7671537399292;898.7671537399292;898.7671537399292;0.056337594985961914;0.5210762493690254;1.0;0.0566103458404541;0.5211744343940243;1.0
2;0.8855910301208496;0.9240113567467156;1.0;0.5923480987548828;0.7545785048993047;1.0;1.182654857635498;1.182654857635498;1.182654857635498;0.9297399520874023;0.9526250241098694;1.0;1.6690828800201416;1.6690828800201416;1.6690828800201416;;;;0.06011795997619629;0.522438757593874;1.0;0.05856442451477051;0.5218784061530568;1.0
3;1.4115612506866455;1.4115612506866455;1.4115612506866455;0.6174242496490479;0.7677631699056483;1.0;1.2565648555755615;1.2565648555755615;1.2565648555755615;37.218525409698486;37.218525409698486;37.218525409698486;1.6752760410308838;1.6752760410308838;1.6752760410308838;;;;0.06763148307800293;0.5251573460811111;1.0;0.06672501564025879;0.5248286135881516;1.0
4;2.5786383152008057;2.5786383152008057;2.5786383152008057;0.7824337482452393;0.860458887085396;1.0;1.280956506729126;1.280956506729126;1.280956506729126;51.73758888244629;51.73758888244629;51.73758888244629;1.6870434284210205;1.6870434284210205;1.6870434284210205;;;;0.07232046127319336;0.5268611049834758;1.0;0.07167291641235352;0.5266254884214743;1.0
5;3.0417048931121826;3.0417048931121826;3.0417048931121826;1.4879138469696045;1.4879138469696045;1.4879138469696045;1.286550760269165;1.286550760269165;1.286550760269165;87.15906119346619;87.15906119346619;87.15906119346619;1.8373444080352783;1.8373444080352783;1.8373444080352783;;;;0.1023406982421875;0.5379008238797087;1.0;0.0992898941040039;0.5367684341041179;1.0
6;5.051724195480347;5.051724195480347;5.051724195480347;1.6254639625549316;1.6254639625549316;1.6254639625549316;1.2951877117156982;1.2951877117156982;1.2951877117156982;294.98741483688354;294.98741483688354;294.98741483688354;3.3275957107543945;3.3275957107543945;3.3275957107543945;;;;0.16752886772155762;0.5626763483497408;1.0;0.1654069423675537;0.5618521960860301;1.0
7;14.984314680099487;14.984314680099487;14.984314680099487;2.5729620456695557;2.5729620456695557;2.5729620456695557;1.3278398513793945;1.3278398513793945;1.3278398513793945;;;;5.171628475189209;5.171628475189209;5.171628475189209;;;;0.171675443649292;0.5642903625847696;1.0;0.16809439659118652;0.5628962027771925;1.0
8;36.06281328201294;36.06281328201294;36.06281328201294;2.9051506519317627;2.9051506519317627;2.9051506519317627;1.3333492279052734;1.3333492279052734;1.3333492279052734;;;;7.673661708831787;7.673661708831787;7.673661708831787;;;;0.36279296875;0.6439288609181913;1.0;0.28497791290283203;0.6102297461603626;1.0
9;125.18655228614807;125.18655228614807;125.18655228614807;3.0571415424346924;3.0571415424346924;3.0571415424346924;1.3410463333129883;1.3410463333129883;1.3410463333129883;;;;9.089563608169556;9.089563608169556;9.089563608169556;;;;0.3906283378601074;0.6564301216828153;1.0;0.3208444118499756;0.6255374617824739;1.0
10;129.3274004459381;129.3274004459381;129.3274004459381;3.065861940383911;3.065861940383911;3.065861940383911;1.3435924053192139;1.3435924053192139;1.3435924053192139;;;;9.873354434967041;9.873354434967041;9.873354434967041;;;;0.48387646675109863;0.7001046142750907;1.0;0.36127734184265137;0.6432550472494656;1.0
11;;;;4.1895482540130615;4.1895482540130615;4.1895482540130615;1.3885276317596436;1.3885276317596436;1.3885276317596436;;;;10.434335470199585;10.434335470199585;10.434335470199585;;;;0.6746721267700195;0.7987330186915723;1.0;0.38369107246398926;0.6532919725395706;1.0
12;;;;4.393764972686768;4.393764972686768;4.393764972686768;1.5322930812835693;1.5322930812835693;1.5322930812835693;;;;10.778946161270142;10.778946161270142;10.778946161270142;;;;0.6931822299957275;0.8090114513792829;1.0;0.48541998863220215;0.7008514829122899;1.0
13;;;;4.440749645233154;4.440749645233154;4.440749645233154;1.5865931510925293;1.5865931510925293;1.5865931510925293;;;;13.889392375946045;13.889392375946045;13.889392375946045;;;;0.887401819229126;0.925167878411581;1.0;0.9275753498077393;0.9512016718649872;1.0
14;;;;4.868288040161133;4.868288040161133;4.868288040161133;1.6191112995147705;1.6191112995147705;1.6191112995147705;;;;15.001332998275757;15.001332998275757;15.001332998275757;;;;1.3915112018585205;1.3915112018585205;1.3915112018585205;1.3978123664855957;1.3978123664855957;1.3978123664855957
15;;;;5.671426057815552;5.671426057815552;5.671426057815552;1.632643222808838;1.632643222808838;1.632643222808838;;;;16.457151889801025;16.457151889801025;16.457151889801025;;;;1.4018285274505615;1.4018285274505615;1.4018285274505615;1.4235191345214844;1.4235191345214844;1.4235191345214844
16;;;;6.135810613632202;6.135810613632202;6.135810613632202;1.6924643516540527;1.6924643516540527;1.6924643516540527;;;;17.617414712905884;17.617414712905884;17.617414712905884;;;;1.4504799842834473;1.4504799842834473;1.4504799842834473;1.5472931861877441;1.5472931861877441;1.5472931861877441
17;;;;6.716291666030884;6.716291666030884;6.716291666030884;1.7370505332946777;1.7370505332946777;1.7370505332946777;;;;17.84842586517334;17.84842586517334;17.84842586517334;;;;1.4679224491119385;1.4679224491119385;1.4679224491119385;1.9087796211242676;1.9087796211242676;1.9087796211242676
18;;;;6.808935165405273;6.808935165405273;6.808935165405273;1.8155770301818848;1.8155770301818848;1.8155770301818848;;;;18.703588485717773;18.703588485717773;18.703588485717773;;;;1.6060616970062256;1.6060616970062256;1.6060616970062256;1.9490702152252197;1.9490702152252197;1.9490702152252197
19;;;;7.109309434890747;7.109309434890747;7.109309434890747;1.9752705097198486;1.9752705097198486;1.9752705097198486;;;;23.650977611541748;23.650977611541748;23.650977611541748;;;;2.177147626876831;2.177147626876831;2.177147626876831;2.199981689453125;2.199981689453125;2.199981689453125
20;;;;7.21002197265625;7.21002197265625;7.21002197265625;1.995056390762329;1.995056390762329;1.995056390762329;;;;25.360815048217773;25.360815048217773;25.360815048217773;;;;2.208712100982666;2.208712100982666;2.208712100982666;2.4011611938476562;2.4011611938476562;2.4011611938476562
21;;;;7.419280529022217;7.419280529022217;7.419280529022217;7.9360878467559814;7.9360878467559814;7.9360878467559814;;;;27.42373299598694;27.42373299598694;27.42373299598694;;;;2.216695547103882;2.216695547103882;2.216695547103882;2.693235397338867;2.693235397338867;2.693235397338867
22;;;;7.495607137680054;7.495607137680054;7.495607137680054;19.1947078704834;19.1947078704834;19.1947078704834;;;;37.22494077682495;37.22494077682495;37.22494077682495;;;;2.389371395111084;2.389371395111084;2.389371395111084;2.749669075012207;2.749669075012207;2.749669075012207
23;;;;8.08765697479248;8.08765697479248;8.08765697479248;25.797722339630127;25.797722339630127;25.797722339630127;;;;37.32469201087952;37.32469201087952;37.32469201087952;;;;2.555194854736328;2.555194854736328;2.555194854736328;2.9509332180023193;2.9509332180023193;2.9509332180023193
24;;;;10.14117980003357;10.14117980003357;10.14117980003357;35.169140577316284;35.169140577316284;35.169140577316284;;;;39.76050043106079;39.76050043106079;39.76050043106079;;;;2.7005667686462402;2.7005667686462402;2.7005667686462402;3.397376775741577;3.397376775741577;3.397376775741577
