n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;PRISM;PRISMscaled;PRISMshifted
1;2.5729620456695557;2.5729620456695557;2.5729620456695557;0.056337594985961914;0.5210762493690254;1.0;1.5571048259735107;1.5571048259735107;1.5571048259735107
2;2.9051506519317627;2.9051506519317627;2.9051506519317627;0.06011795997619629;0.522438757593874;1.0;1.6690828800201416;1.6690828800201416;1.6690828800201416
3;3.0571415424346924;3.0571415424346924;3.0571415424346924;0.6746721267700195;0.7987330186915723;1.0;1.6752760410308838;1.6752760410308838;1.6752760410308838
4;3.065861940383911;3.065861940383911;3.065861940383911;0.6931822299957275;0.8090114513792829;1.0;1.6870434284210205;1.6870434284210205;1.6870434284210205
5;4.1895482540130615;4.1895482540130615;4.1895482540130615;0.887401819229126;0.925167878411581;1.0;1.8373444080352783;1.8373444080352783;1.8373444080352783
6;4.393764972686768;4.393764972686768;4.393764972686768;1.3915112018585205;1.3915112018585205;1.3915112018585205;3.3275957107543945;3.3275957107543945;3.3275957107543945
7;4.440749645233154;4.440749645233154;4.440749645233154;1.4018285274505615;1.4018285274505615;1.4018285274505615;5.171628475189209;5.171628475189209;5.171628475189209
8;6.135810613632202;6.135810613632202;6.135810613632202;1.6060616970062256;1.6060616970062256;1.6060616970062256;7.673661708831787;7.673661708831787;7.673661708831787
9;6.716291666030884;6.716291666030884;6.716291666030884;2.208712100982666;2.208712100982666;2.208712100982666;9.873354434967041;9.873354434967041;9.873354434967041
10;6.808935165405273;6.808935165405273;6.808935165405273;2.216695547103882;2.216695547103882;2.216695547103882;10.778946161270142;10.778946161270142;10.778946161270142
11;7.109309434890747;7.109309434890747;7.109309434890747;2.389371395111084;2.389371395111084;2.389371395111084;13.889392375946045;13.889392375946045;13.889392375946045
12;7.21002197265625;7.21002197265625;7.21002197265625;2.555194854736328;2.555194854736328;2.555194854736328;15.001332998275757;15.001332998275757;15.001332998275757
13;10.14117980003357;10.14117980003357;10.14117980003357;2.7393476963043213;2.7393476963043213;2.7393476963043213;16.457151889801025;16.457151889801025;16.457151889801025
14;13.170981407165527;13.170981407165527;13.170981407165527;3.015622615814209;3.015622615814209;3.015622615814209;17.617414712905884;17.617414712905884;17.617414712905884
15;14.974791526794434;14.974791526794434;14.974791526794434;3.605030059814453;3.605030059814453;3.605030059814453;25.360815048217773;25.360815048217773;25.360815048217773
16;14.978732585906982;14.978732585906982;14.978732585906982;3.689378023147583;3.689378023147583;3.689378023147583;27.42373299598694;27.42373299598694;27.42373299598694
17;17.927417278289795;17.927417278289795;17.927417278289795;4.018651485443115;4.018651485443115;4.018651485443115;37.32469201087952;37.32469201087952;37.32469201087952
18;24.842591285705566;24.842591285705566;24.842591285705566;4.023967027664185;4.023967027664185;4.023967027664185;39.76050043106079;39.76050043106079;39.76050043106079
19;31.618762731552124;31.618762731552124;31.618762731552124;4.212693929672241;4.212693929672241;4.212693929672241;48.433531761169434;48.433531761169434;48.433531761169434
20;34.61443734169006;34.61443734169006;34.61443734169006;5.655471563339233;5.655471563339233;5.655471563339233;53.32036519050598;53.32036519050598;53.32036519050598
21;43.00438332557678;43.00438332557678;43.00438332557678;5.889367580413818;5.889367580413818;5.889367580413818;53.66657018661499;53.66657018661499;53.66657018661499
22;45.813963890075684;45.813963890075684;45.813963890075684;6.153059959411621;6.153059959411621;6.153059959411621;58.88854765892029;58.88854765892029;58.88854765892029
23;53.313454389572144;53.313454389572144;53.313454389572144;6.521105527877808;6.521105527877808;6.521105527877808;64.97968029975891;64.97968029975891;64.97968029975891
24;102.77095222473145;102.77095222473145;102.77095222473145;7.821901559829712;7.821901559829712;7.821901559829712;67.76777148246765;67.76777148246765;67.76777148246765
25;134.83462142944336;134.83462142944336;134.83462142944336;8.203090906143188;8.203090906143188;8.203090906143188;67.7798490524292;67.7798490524292;67.7798490524292
