n;mcsta;mcstascaled;mcstashifted;Storm;Stormscaled;Stormshifted
1;0.5731089115142822;0.7446165307053968;1.0;0.0566103458404541;0.5211744343940243;1.0
2;1.4045424461364746;1.4045424461364746;1.4045424461364746;0.05856442451477051;0.5218784061530568;1.0
3;2.5198230743408203;2.5198230743408203;2.5198230743408203;0.1654069423675537;0.5618521960860301;1.0
4;2.685565710067749;2.685565710067749;2.685565710067749;0.28497791290283203;0.6102297461603626;1.0
5;2.938904285430908;2.938904285430908;2.938904285430908;0.3208444118499756;0.6255374617824739;1.0
6;3.734046459197998;3.734046459197998;3.734046459197998;0.38369107246398926;0.6532919725395706;1.0
7;4.300293922424316;4.300293922424316;4.300293922424316;0.9275753498077393;0.9512016718649872;1.0
8;4.4515557289123535;4.4515557289123535;4.4515557289123535;1.3978123664855957;1.3978123664855957;1.3978123664855957
9;5.411379814147949;5.411379814147949;5.411379814147949;1.4235191345214844;1.4235191345214844;1.4235191345214844
10;5.805713176727295;5.805713176727295;5.805713176727295;1.5472931861877441;1.5472931861877441;1.5472931861877441
11;6.4411537647247314;6.4411537647247314;6.4411537647247314;1.9087796211242676;1.9087796211242676;1.9087796211242676
12;7.23482084274292;7.23482084274292;7.23482084274292;1.9490702152252197;1.9490702152252197;1.9490702152252197
13;7.34519362449646;7.34519362449646;7.34519362449646;2.199981689453125;2.199981689453125;2.199981689453125
14;7.445886135101318;7.445886135101318;7.445886135101318;2.4011611938476562;2.4011611938476562;2.4011611938476562
15;8.701423168182373;8.701423168182373;8.701423168182373;2.693235397338867;2.693235397338867;2.693235397338867
16;9.967045307159424;9.967045307159424;9.967045307159424;2.749669075012207;2.749669075012207;2.749669075012207
17;12.196001291275024;12.196001291275024;12.196001291275024;2.9509332180023193;2.9509332180023193;2.9509332180023193
18;12.331382036209106;12.331382036209106;12.331382036209106;3.397376775741577;3.397376775741577;3.397376775741577
19;13.931807041168213;13.931807041168213;13.931807041168213;3.718679904937744;3.718679904937744;3.718679904937744
20;14.38054633140564;14.38054633140564;14.38054633140564;3.76371431350708;3.76371431350708;3.76371431350708
21;15.740122556686401;15.740122556686401;15.740122556686401;3.800344705581665;3.800344705581665;3.800344705581665
22;18.61868405342102;18.61868405342102;18.61868405342102;4.044528245925903;4.044528245925903;4.044528245925903
23;18.846907138824463;18.846907138824463;18.846907138824463;4.513299226760864;4.513299226760864;4.513299226760864
24;18.86490225791931;18.86490225791931;18.86490225791931;4.551382541656494;4.551382541656494;4.551382541656494
25;19.57469606399536;19.57469606399536;19.57469606399536;4.68962025642395;4.68962025642395;4.68962025642395
26;20.772112369537354;20.772112369537354;20.772112369537354;6.039976596832275;6.039976596832275;6.039976596832275
27;24.273367404937744;24.273367404937744;24.273367404937744;6.475464344024658;6.475464344024658;6.475464344024658
28;25.210034608840942;25.210034608840942;25.210034608840942;6.679159879684448;6.679159879684448;6.679159879684448
29;29.65113615989685;29.65113615989685;29.65113615989685;6.912035942077637;6.912035942077637;6.912035942077637
30;29.94443917274475;29.94443917274475;29.94443917274475;7.2423317432403564;7.2423317432403564;7.2423317432403564
31;31.94614052772522;31.94614052772522;31.94614052772522;8.609684467315674;8.609684467315674;8.609684467315674
32;37.06724452972412;37.06724452972412;37.06724452972412;8.818049430847168;8.818049430847168;8.818049430847168
33;38.123945474624634;38.123945474624634;38.123945474624634;8.936333656311035;8.936333656311035;8.936333656311035
34;43.25980019569397;43.25980019569397;43.25980019569397;9.255388259887695;9.255388259887695;9.255388259887695
35;46.29456853866577;46.29456853866577;46.29456853866577;9.49097204208374;9.49097204208374;9.49097204208374
36;54.40867376327515;54.40867376327515;54.40867376327515;10.386704206466675;10.386704206466675;10.386704206466675
37;55.954893827438354;55.954893827438354;55.954893827438354;12.619495391845703;12.619495391845703;12.619495391845703
38;58.53037166595459;58.53037166595459;58.53037166595459;16.491640329360962;16.491640329360962;16.491640329360962
39;81.80784702301025;81.80784702301025;81.80784702301025;19.453673124313354;19.453673124313354;19.453673124313354
40;81.92482399940491;81.92482399940491;81.92482399940491;20.044816970825195;20.044816970825195;20.044816970825195
41;122.06604313850403;122.06604313850403;122.06604313850403;20.760208129882812;20.760208129882812;20.760208129882812
42;128.637934923172;128.637934923172;128.637934923172;23.0513699054718;23.0513699054718;23.0513699054718
43;133.81032299995422;133.81032299995422;133.81032299995422;23.343345642089844;23.343345642089844;23.343345642089844
44;138.30697417259216;138.30697417259216;138.30697417259216;24.371739625930786;24.371739625930786;24.371739625930786
45;160.50750017166138;160.50750017166138;160.50750017166138;24.77476143836975;24.77476143836975;24.77476143836975
46;162.2516713142395;162.2516713142395;162.2516713142395;25.360629081726074;25.360629081726074;25.360629081726074
47;173.03156757354736;173.03156757354736;173.03156757354736;26.026153564453125;26.026153564453125;26.026153564453125
48;173.27483773231506;173.27483773231506;173.27483773231506;27.561355113983154;27.561355113983154;27.561355113983154
49;198.6312403678894;198.6312403678894;198.6312403678894;29.63448405265808;29.63448405265808;29.63448405265808
50;300.9347314834595;300.9347314834595;300.9347314834595;32.40609407424927;32.40609407424927;32.40609407424927
51;308.90585470199585;308.90585470199585;308.90585470199585;35.61362910270691;35.61362910270691;35.61362910270691
52;386.99603962898254;386.99603962898254;386.99603962898254;37.6872341632843;37.6872341632843;37.6872341632843
53;1179.3720860481262;1179.3720860481262;1179.3720860481262;38.83102536201477;38.83102536201477;38.83102536201477
54;1515.205085515976;1515.205085515976;1515.205085515976;40.40327739715576;40.40327739715576;40.40327739715576
55;1564.6186606884003;1564.6186606884003;1564.6186606884003;45.57997536659241;45.57997536659241;45.57997536659241
56;;;;47.524653673172;47.524653673172;47.524653673172
57;;;;56.823638677597046;56.823638677597046;56.823638677597046
58;;;;57.753721952438354;57.753721952438354;57.753721952438354
59;;;;60.143861532211304;60.143861532211304;60.143861532211304
60;;;;73.7836971282959;73.7836971282959;73.7836971282959
61;;;;1396.6023995876312;1396.6023995876312;1396.6023995876312
62;;;;;;
63;;;;;;
64;;;;;;
65;;;;;;
66;;;;;;
67;;;;;;
