n;mcsta;mcstascaled;mcstashifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;2.5729620456695557;2.5729620456695557;2.5729620456695557;1.5571048259735107;1.5571048259735107;1.5571048259735107;0.056337594985961914;0.5210762493690254;1.0;0.0566103458404541;0.5211744343940243;1.0
2;2.9051506519317627;2.9051506519317627;2.9051506519317627;1.6690828800201416;1.6690828800201416;1.6690828800201416;0.06011795997619629;0.522438757593874;1.0;0.05856442451477051;0.5218784061530568;1.0
3;3.0571415424346924;3.0571415424346924;3.0571415424346924;1.6752760410308838;1.6752760410308838;1.6752760410308838;0.6746721267700195;0.7987330186915723;1.0;0.28497791290283203;0.6102297461603626;1.0
4;3.065861940383911;3.065861940383911;3.065861940383911;1.6870434284210205;1.6870434284210205;1.6870434284210205;0.6931822299957275;0.8090114513792829;1.0;0.3208444118499756;0.6255374617824739;1.0
5;4.1895482540130615;4.1895482540130615;4.1895482540130615;1.8373444080352783;1.8373444080352783;1.8373444080352783;0.887401819229126;0.925167878411581;1.0;0.9275753498077393;0.9512016718649872;1.0
6;4.393764972686768;4.393764972686768;4.393764972686768;3.3275957107543945;3.3275957107543945;3.3275957107543945;1.3915112018585205;1.3915112018585205;1.3915112018585205;1.3978123664855957;1.3978123664855957;1.3978123664855957
7;4.440749645233154;4.440749645233154;4.440749645233154;5.171628475189209;5.171628475189209;5.171628475189209;1.4018285274505615;1.4018285274505615;1.4018285274505615;1.4235191345214844;1.4235191345214844;1.4235191345214844
8;6.135810613632202;6.135810613632202;6.135810613632202;7.673661708831787;7.673661708831787;7.673661708831787;1.6060616970062256;1.6060616970062256;1.6060616970062256;1.9087796211242676;1.9087796211242676;1.9087796211242676
9;6.716291666030884;6.716291666030884;6.716291666030884;9.873354434967041;9.873354434967041;9.873354434967041;2.208712100982666;2.208712100982666;2.208712100982666;2.199981689453125;2.199981689453125;2.199981689453125
10;6.808935165405273;6.808935165405273;6.808935165405273;10.778946161270142;10.778946161270142;10.778946161270142;2.216695547103882;2.216695547103882;2.216695547103882;2.4011611938476562;2.4011611938476562;2.4011611938476562
11;7.109309434890747;7.109309434890747;7.109309434890747;13.889392375946045;13.889392375946045;13.889392375946045;2.389371395111084;2.389371395111084;2.389371395111084;2.693235397338867;2.693235397338867;2.693235397338867
12;7.21002197265625;7.21002197265625;7.21002197265625;15.001332998275757;15.001332998275757;15.001332998275757;2.555194854736328;2.555194854736328;2.555194854736328;2.9509332180023193;2.9509332180023193;2.9509332180023193
13;10.14117980003357;10.14117980003357;10.14117980003357;16.457151889801025;16.457151889801025;16.457151889801025;2.7393476963043213;2.7393476963043213;2.7393476963043213;3.397376775741577;3.397376775741577;3.397376775741577
14;13.170981407165527;13.170981407165527;13.170981407165527;17.617414712905884;17.617414712905884;17.617414712905884;3.015622615814209;3.015622615814209;3.015622615814209;3.718679904937744;3.718679904937744;3.718679904937744
15;14.974791526794434;14.974791526794434;14.974791526794434;25.360815048217773;25.360815048217773;25.360815048217773;3.605030059814453;3.605030059814453;3.605030059814453;3.76371431350708;3.76371431350708;3.76371431350708
16;14.978732585906982;14.978732585906982;14.978732585906982;27.42373299598694;27.42373299598694;27.42373299598694;3.689378023147583;3.689378023147583;3.689378023147583;3.800344705581665;3.800344705581665;3.800344705581665
17;17.927417278289795;17.927417278289795;17.927417278289795;37.32469201087952;37.32469201087952;37.32469201087952;4.018651485443115;4.018651485443115;4.018651485443115;4.044528245925903;4.044528245925903;4.044528245925903
18;24.842591285705566;24.842591285705566;24.842591285705566;39.76050043106079;39.76050043106079;39.76050043106079;4.023967027664185;4.023967027664185;4.023967027664185;4.551382541656494;4.551382541656494;4.551382541656494
19;31.618762731552124;31.618762731552124;31.618762731552124;48.433531761169434;48.433531761169434;48.433531761169434;4.212693929672241;4.212693929672241;4.212693929672241;6.039976596832275;6.039976596832275;6.039976596832275
20;34.61443734169006;34.61443734169006;34.61443734169006;53.32036519050598;53.32036519050598;53.32036519050598;5.655471563339233;5.655471563339233;5.655471563339233;6.475464344024658;6.475464344024658;6.475464344024658
21;43.00438332557678;43.00438332557678;43.00438332557678;53.66657018661499;53.66657018661499;53.66657018661499;5.889367580413818;5.889367580413818;5.889367580413818;6.679159879684448;6.679159879684448;6.679159879684448
22;45.813963890075684;45.813963890075684;45.813963890075684;58.88854765892029;58.88854765892029;58.88854765892029;6.153059959411621;6.153059959411621;6.153059959411621;7.2423317432403564;7.2423317432403564;7.2423317432403564
23;53.313454389572144;53.313454389572144;53.313454389572144;64.97968029975891;64.97968029975891;64.97968029975891;6.521105527877808;6.521105527877808;6.521105527877808;8.609684467315674;8.609684467315674;8.609684467315674
24;102.77095222473145;102.77095222473145;102.77095222473145;67.76777148246765;67.76777148246765;67.76777148246765;7.821901559829712;7.821901559829712;7.821901559829712;8.936333656311035;8.936333656311035;8.936333656311035
25;134.83462142944336;134.83462142944336;134.83462142944336;67.7798490524292;67.7798490524292;67.7798490524292;8.203090906143188;8.203090906143188;8.203090906143188;10.386704206466675;10.386704206466675;10.386704206466675
26;156.24115753173828;156.24115753173828;156.24115753173828;71.9542944431305;71.9542944431305;71.9542944431305;10.38874101638794;10.38874101638794;10.38874101638794;12.619495391845703;12.619495391845703;12.619495391845703
27;165.61006808280945;165.61006808280945;165.61006808280945;98.83488297462463;98.83488297462463;98.83488297462463;11.700613737106323;11.700613737106323;11.700613737106323;16.491640329360962;16.491640329360962;16.491640329360962
28;173.1283814907074;173.1283814907074;173.1283814907074;99.87042617797852;99.87042617797852;99.87042617797852;15.637234687805176;15.637234687805176;15.637234687805176;19.453673124313354;19.453673124313354;19.453673124313354
29;200.14297103881836;200.14297103881836;200.14297103881836;110.75507307052612;110.75507307052612;110.75507307052612;18.395609378814697;18.395609378814697;18.395609378814697;20.760208129882812;20.760208129882812;20.760208129882812
30;288.6717462539673;288.6717462539673;288.6717462539673;118.59371542930603;118.59371542930603;118.59371542930603;20.685575485229492;20.685575485229492;20.685575485229492;24.77476143836975;24.77476143836975;24.77476143836975
31;295.01219177246094;295.01219177246094;295.01219177246094;121.16342735290527;121.16342735290527;121.16342735290527;22.788467407226562;22.788467407226562;22.788467407226562;25.360629081726074;25.360629081726074;25.360629081726074
32;337.367210149765;337.367210149765;337.367210149765;166.20431065559387;166.20431065559387;166.20431065559387;25.200990438461304;25.200990438461304;25.200990438461304;26.026153564453125;26.026153564453125;26.026153564453125
33;787.2704019546509;787.2704019546509;787.2704019546509;181.72536993026733;181.72536993026733;181.72536993026733;31.081514358520508;31.081514358520508;31.081514358520508;32.40609407424927;32.40609407424927;32.40609407424927
34;1409.2778446674347;1409.2778446674347;1409.2778446674347;213.5708451271057;213.5708451271057;213.5708451271057;33.39845132827759;33.39845132827759;33.39845132827759;35.61362910270691;35.61362910270691;35.61362910270691
35;;;;402.1419200897217;402.1419200897217;402.1419200897217;37.67688703536987;37.67688703536987;37.67688703536987;37.6872341632843;37.6872341632843;37.6872341632843
36;;;;547.5058174133301;547.5058174133301;547.5058174133301;38.52902007102966;38.52902007102966;38.52902007102966;40.40327739715576;40.40327739715576;40.40327739715576
37;;;;569.9991035461426;569.9991035461426;569.9991035461426;43.643831968307495;43.643831968307495;43.643831968307495;45.57997536659241;45.57997536659241;45.57997536659241
38;;;;1104.4370770454407;1104.4370770454407;1104.4370770454407;62.66628384590149;62.66628384590149;62.66628384590149;62.99220252037048;62.99220252037048;62.99220252037048
39;;;;;;;74.63979363441467;74.63979363441467;74.63979363441467;73.7836971282959;73.7836971282959;73.7836971282959
40;;;;;;;116.69167304039001;116.69167304039001;116.69167304039001;116.80796551704407;116.80796551704407;116.80796551704407
41;;;;;;;242.87736129760742;242.87736129760742;242.87736129760742;242.6354639530182;242.6354639530182;242.6354639530182
42;;;;;;;568.3947517871857;568.3947517871857;568.3947517871857;445.4874930381775;445.4874930381775;445.4874930381775
43;;;;;;;;;;;;
