n;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;4.393764972686768;4.393764972686768;4.393764972686768;1.1572401523590088;1.1572401523590088;1.1572401523590088;1.5571048259735107;1.5571048259735107;1.5571048259735107;0.056337594985961914;0.5210762493690254;1.0;0.0566103458404541;0.5211744343940243;1.0
2;6.808935165405273;6.808935165405273;6.808935165405273;1.182654857635498;1.182654857635498;1.182654857635498;1.6690828800201416;1.6690828800201416;1.6690828800201416;0.06011795997619629;0.522438757593874;1.0;0.05856442451477051;0.5218784061530568;1.0
3;7.109309434890747;7.109309434890747;7.109309434890747;1.2565648555755615;1.2565648555755615;1.2565648555755615;1.6752760410308838;1.6752760410308838;1.6752760410308838;0.6746721267700195;0.7987330186915723;1.0;0.28497791290283203;0.6102297461603626;1.0
4;7.21002197265625;7.21002197265625;7.21002197265625;1.280956506729126;1.280956506729126;1.280956506729126;1.8373444080352783;1.8373444080352783;1.8373444080352783;0.6931822299957275;0.8090114513792829;1.0;0.3208444118499756;0.6255374617824739;1.0
5;10.14117980003357;10.14117980003357;10.14117980003357;1.286550760269165;1.286550760269165;1.286550760269165;3.3275957107543945;3.3275957107543945;3.3275957107543945;1.4504799842834473;1.4504799842834473;1.4504799842834473;1.5472931861877441;1.5472931861877441;1.5472931861877441
6;14.444582462310791;14.444582462310791;14.444582462310791;1.2951877117156982;1.2951877117156982;1.2951877117156982;5.171628475189209;5.171628475189209;5.171628475189209;1.6060616970062256;1.6060616970062256;1.6060616970062256;1.9490702152252197;1.9490702152252197;1.9490702152252197
7;21.593319416046143;21.593319416046143;21.593319416046143;1.3278398513793945;1.3278398513793945;1.3278398513793945;7.673661708831787;7.673661708831787;7.673661708831787;2.177147626876831;2.177147626876831;2.177147626876831;2.693235397338867;2.693235397338867;2.693235397338867
8;30.379965782165527;30.379965782165527;30.379965782165527;1.3333492279052734;1.3333492279052734;1.3333492279052734;9.089563608169556;9.089563608169556;9.089563608169556;2.555194854736328;2.555194854736328;2.555194854736328;2.9509332180023193;2.9509332180023193;2.9509332180023193
9;31.348012685775757;31.348012685775757;31.348012685775757;1.3410463333129883;1.3410463333129883;1.3410463333129883;10.434335470199585;10.434335470199585;10.434335470199585;2.7393476963043213;2.7393476963043213;2.7393476963043213;3.76371431350708;3.76371431350708;3.76371431350708
10;31.618762731552124;31.618762731552124;31.618762731552124;1.3435924053192139;1.3435924053192139;1.3435924053192139;13.889392375946045;13.889392375946045;13.889392375946045;3.015622615814209;3.015622615814209;3.015622615814209;3.800344705581665;3.800344705581665;3.800344705581665
11;34.61443734169006;34.61443734169006;34.61443734169006;1.3885276317596436;1.3885276317596436;1.3885276317596436;16.457151889801025;16.457151889801025;16.457151889801025;3.5362820625305176;3.5362820625305176;3.5362820625305176;4.044528245925903;4.044528245925903;4.044528245925903
12;78.92872262001038;78.92872262001038;78.92872262001038;1.5322930812835693;1.5322930812835693;1.5322930812835693;17.617414712905884;17.617414712905884;17.617414712905884;3.689378023147583;3.689378023147583;3.689378023147583;4.307504892349243;4.307504892349243;4.307504892349243
13;165.61006808280945;165.61006808280945;165.61006808280945;1.5865931510925293;1.5865931510925293;1.5865931510925293;17.84842586517334;17.84842586517334;17.84842586517334;4.023967027664185;4.023967027664185;4.023967027664185;4.513299226760864;4.513299226760864;4.513299226760864
14;200.14297103881836;200.14297103881836;200.14297103881836;1.6191112995147705;1.6191112995147705;1.6191112995147705;18.703588485717773;18.703588485717773;18.703588485717773;4.407823085784912;4.407823085784912;4.407823085784912;4.68962025642395;4.68962025642395;4.68962025642395
