n;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;0.5756180286407471;0.7459082465107488;1.0;0.056337594985961914;0.5210762493690254;1.0;0.0566103458404541;0.5211744343940243;1.0
2;0.5923480987548828;0.7545785048993047;1.0;0.06011795997619629;0.522438757593874;1.0;0.05856442451477051;0.5218784061530568;1.0
3;0.7824337482452393;0.860458887085396;1.0;0.06763148307800293;0.5251573460811111;1.0;0.06672501564025879;0.5248286135881516;1.0
4;1.4879138469696045;1.4879138469696045;1.4879138469696045;0.07232046127319336;0.5268611049834758;1.0;0.07167291641235352;0.5266254884214743;1.0
5;1.6254639625549316;1.6254639625549316;1.6254639625549316;0.1023406982421875;0.5379008238797087;1.0;0.0992898941040039;0.5367684341041179;1.0
6;2.5729620456695557;2.5729620456695557;2.5729620456695557;0.16752886772155762;0.5626763483497408;1.0;0.1654069423675537;0.5618521960860301;1.0
7;2.9051506519317627;2.9051506519317627;2.9051506519317627;0.171675443649292;0.5642903625847696;1.0;0.16809439659118652;0.5628962027771925;1.0
8;3.0571415424346924;3.0571415424346924;3.0571415424346924;0.36279296875;0.6439288609181913;1.0;0.28497791290283203;0.6102297461603626;1.0
9;3.065861940383911;3.065861940383911;3.065861940383911;0.3906283378601074;0.6564301216828153;1.0;0.3208444118499756;0.6255374617824739;1.0
10;4.1895482540130615;4.1895482540130615;4.1895482540130615;0.48387646675109863;0.7001046142750907;1.0;0.36127734184265137;0.6432550472494656;1.0
11;4.393764972686768;4.393764972686768;4.393764972686768;0.6746721267700195;0.7987330186915723;1.0;0.38369107246398926;0.6532919725395706;1.0
12;4.440749645233154;4.440749645233154;4.440749645233154;0.6931822299957275;0.8090114513792829;1.0;0.48541998863220215;0.7008514829122899;1.0
13;4.868288040161133;4.868288040161133;4.868288040161133;0.887401819229126;0.925167878411581;1.0;0.9275753498077393;0.9512016718649872;1.0
14;5.671426057815552;5.671426057815552;5.671426057815552;1.3915112018585205;1.3915112018585205;1.3915112018585205;1.3978123664855957;1.3978123664855957;1.3978123664855957
15;6.135810613632202;6.135810613632202;6.135810613632202;1.4018285274505615;1.4018285274505615;1.4018285274505615;1.4235191345214844;1.4235191345214844;1.4235191345214844
16;6.716291666030884;6.716291666030884;6.716291666030884;1.4504799842834473;1.4504799842834473;1.4504799842834473;1.5472931861877441;1.5472931861877441;1.5472931861877441
17;6.808935165405273;6.808935165405273;6.808935165405273;1.6060616970062256;1.6060616970062256;1.6060616970062256;1.9087796211242676;1.9087796211242676;1.9087796211242676
18;7.109309434890747;7.109309434890747;7.109309434890747;2.177147626876831;2.177147626876831;2.177147626876831;1.9490702152252197;1.9490702152252197;1.9490702152252197
19;7.21002197265625;7.21002197265625;7.21002197265625;2.208712100982666;2.208712100982666;2.208712100982666;2.199981689453125;2.199981689453125;2.199981689453125
20;7.419280529022217;7.419280529022217;7.419280529022217;2.216695547103882;2.216695547103882;2.216695547103882;2.4011611938476562;2.4011611938476562;2.4011611938476562
21;7.495607137680054;7.495607137680054;7.495607137680054;2.389371395111084;2.389371395111084;2.389371395111084;2.693235397338867;2.693235397338867;2.693235397338867
22;8.08765697479248;8.08765697479248;8.08765697479248;2.555194854736328;2.555194854736328;2.555194854736328;2.749669075012207;2.749669075012207;2.749669075012207
23;10.14117980003357;10.14117980003357;10.14117980003357;2.7005667686462402;2.7005667686462402;2.7005667686462402;2.9509332180023193;2.9509332180023193;2.9509332180023193
24;11.037872314453125;11.037872314453125;11.037872314453125;2.7393476963043213;2.7393476963043213;2.7393476963043213;3.397376775741577;3.397376775741577;3.397376775741577
25;12.776201963424683;12.776201963424683;12.776201963424683;3.015622615814209;3.015622615814209;3.015622615814209;3.718679904937744;3.718679904937744;3.718679904937744
26;13.170981407165527;13.170981407165527;13.170981407165527;3.605030059814453;3.605030059814453;3.605030059814453;3.76371431350708;3.76371431350708;3.76371431350708
27;13.938234329223633;13.938234329223633;13.938234329223633;3.689378023147583;3.689378023147583;3.689378023147583;3.800344705581665;3.800344705581665;3.800344705581665
28;14.444582462310791;14.444582462310791;14.444582462310791;4.018651485443115;4.018651485443115;4.018651485443115;4.044528245925903;4.044528245925903;4.044528245925903
29;14.974791526794434;14.974791526794434;14.974791526794434;4.023967027664185;4.023967027664185;4.023967027664185;4.513299226760864;4.513299226760864;4.513299226760864
30;14.978732585906982;14.978732585906982;14.978732585906982;4.212693929672241;4.212693929672241;4.212693929672241;4.551382541656494;4.551382541656494;4.551382541656494
31;17.927417278289795;17.927417278289795;17.927417278289795;4.407823085784912;4.407823085784912;4.407823085784912;4.68962025642395;4.68962025642395;4.68962025642395
32;18.35881209373474;18.35881209373474;18.35881209373474;4.810188293457031;4.810188293457031;4.810188293457031;5.063380718231201;5.063380718231201;5.063380718231201
33;20.518868923187256;20.518868923187256;20.518868923187256;5.09431266784668;5.09431266784668;5.09431266784668;6.039976596832275;6.039976596832275;6.039976596832275
34;21.593319416046143;21.593319416046143;21.593319416046143;5.655471563339233;5.655471563339233;5.655471563339233;6.475464344024658;6.475464344024658;6.475464344024658
35;23.118725538253784;23.118725538253784;23.118725538253784;5.889367580413818;5.889367580413818;5.889367580413818;6.679159879684448;6.679159879684448;6.679159879684448
36;24.842591285705566;24.842591285705566;24.842591285705566;6.153059959411621;6.153059959411621;6.153059959411621;6.912035942077637;6.912035942077637;6.912035942077637
37;29.053817987442017;29.053817987442017;29.053817987442017;6.521105527877808;6.521105527877808;6.521105527877808;7.2423317432403564;7.2423317432403564;7.2423317432403564
38;30.379965782165527;30.379965782165527;30.379965782165527;6.5777201652526855;6.5777201652526855;6.5777201652526855;8.609684467315674;8.609684467315674;8.609684467315674
39;31.034785509109497;31.034785509109497;31.034785509109497;7.821901559829712;7.821901559829712;7.821901559829712;8.818049430847168;8.818049430847168;8.818049430847168
40;31.348012685775757;31.348012685775757;31.348012685775757;8.203090906143188;8.203090906143188;8.203090906143188;8.936333656311035;8.936333656311035;8.936333656311035
41;31.618762731552124;31.618762731552124;31.618762731552124;9.050022602081299;9.050022602081299;9.050022602081299;9.094918251037598;9.094918251037598;9.094918251037598
42;34.61443734169006;34.61443734169006;34.61443734169006;9.055410623550415;9.055410623550415;9.055410623550415;9.255388259887695;9.255388259887695;9.255388259887695
43;43.00438332557678;43.00438332557678;43.00438332557678;9.292776823043823;9.292776823043823;9.292776823043823;9.49097204208374;9.49097204208374;9.49097204208374
44;45.813963890075684;45.813963890075684;45.813963890075684;9.500243186950684;9.500243186950684;9.500243186950684;10.386704206466675;10.386704206466675;10.386704206466675
45;46.12007546424866;46.12007546424866;46.12007546424866;10.38874101638794;10.38874101638794;10.38874101638794;12.619495391845703;12.619495391845703;12.619495391845703
46;53.313454389572144;53.313454389572144;53.313454389572144;11.700613737106323;11.700613737106323;11.700613737106323;16.491640329360962;16.491640329360962;16.491640329360962
47;63.01635217666626;63.01635217666626;63.01635217666626;15.637234687805176;15.637234687805176;15.637234687805176;19.453673124313354;19.453673124313354;19.453673124313354
48;78.38766884803772;78.38766884803772;78.38766884803772;18.395609378814697;18.395609378814697;18.395609378814697;20.044816970825195;20.044816970825195;20.044816970825195
49;78.92872262001038;78.92872262001038;78.92872262001038;20.439354181289673;20.439354181289673;20.439354181289673;20.760208129882812;20.760208129882812;20.760208129882812
50;81.95500469207764;81.95500469207764;81.95500469207764;20.685575485229492;20.685575485229492;20.685575485229492;23.0513699054718;23.0513699054718;23.0513699054718
51;102.77095222473145;102.77095222473145;102.77095222473145;22.788467407226562;22.788467407226562;22.788467407226562;23.343345642089844;23.343345642089844;23.343345642089844
52;134.83462142944336;134.83462142944336;134.83462142944336;23.03562355041504;23.03562355041504;23.03562355041504;24.371739625930786;24.371739625930786;24.371739625930786
53;144.26849842071533;144.26849842071533;144.26849842071533;23.409716844558716;23.409716844558716;23.409716844558716;24.77476143836975;24.77476143836975;24.77476143836975
54;154.1444354057312;154.1444354057312;154.1444354057312;24.501177310943604;24.501177310943604;24.501177310943604;25.360629081726074;25.360629081726074;25.360629081726074
55;156.24115753173828;156.24115753173828;156.24115753173828;25.200990438461304;25.200990438461304;25.200990438461304;26.026153564453125;26.026153564453125;26.026153564453125
56;165.61006808280945;165.61006808280945;165.61006808280945;27.81931710243225;27.81931710243225;27.81931710243225;27.561355113983154;27.561355113983154;27.561355113983154
57;173.1283814907074;173.1283814907074;173.1283814907074;27.998619556427002;27.998619556427002;27.998619556427002;28.241543531417847;28.241543531417847;28.241543531417847
58;200.14297103881836;200.14297103881836;200.14297103881836;31.081514358520508;31.081514358520508;31.081514358520508;29.63448405265808;29.63448405265808;29.63448405265808
59;288.6717462539673;288.6717462539673;288.6717462539673;33.39845132827759;33.39845132827759;33.39845132827759;32.40609407424927;32.40609407424927;32.40609407424927
60;295.01219177246094;295.01219177246094;295.01219177246094;36.742867946624756;36.742867946624756;36.742867946624756;35.61362910270691;35.61362910270691;35.61362910270691
61;337.367210149765;337.367210149765;337.367210149765;37.67688703536987;37.67688703536987;37.67688703536987;37.6872341632843;37.6872341632843;37.6872341632843
62;406.9941985607147;406.9941985607147;406.9941985607147;38.52902007102966;38.52902007102966;38.52902007102966;38.83102536201477;38.83102536201477;38.83102536201477
63;787.2704019546509;787.2704019546509;787.2704019546509;39.63790464401245;39.63790464401245;39.63790464401245;40.40327739715576;40.40327739715576;40.40327739715576
64;1320.1117858886719;1320.1117858886719;1320.1117858886719;43.643831968307495;43.643831968307495;43.643831968307495;45.57997536659241;45.57997536659241;45.57997536659241
65;1409.2778446674347;1409.2778446674347;1409.2778446674347;47.672465085983276;47.672465085983276;47.672465085983276;47.524653673172;47.524653673172;47.524653673172
66;;;;54.549681425094604;54.549681425094604;54.549681425094604;55.114081144332886;55.114081144332886;55.114081144332886
