n;mcsta;mcstascaled;mcstashifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;2.5729620456695557;2.5729620456695557;2.5729620456695557;0.6389865875244141;0.7792843888692205;1.0;1.6820652484893799;1.6820652484893799;1.6820652484893799;0.32276344299316406;0.6263672364581345;1.0;0.0566103458404541;0.5211744343940243;1.0
2;3.0571415424346924;3.0571415424346924;3.0571415424346924;0.8149840831756592;0.8800254357960564;1.0;1.7242166996002197;1.7242166996002197;1.7242166996002197;1.3915112018585205;1.3915112018585205;1.3915112018585205;0.3208444118499756;0.6255374617824739;1.0
3;3.065861940383911;3.065861940383911;3.065861940383911;0.9297399520874023;0.9526250241098694;1.0;7.7191407680511475;7.7191407680511475;7.7191407680511475;3.3289763927459717;3.3289763927459717;3.3289763927459717;0.9275753498077393;0.9512016718649872;1.0
4;4.440749645233154;4.440749645233154;4.440749645233154;1.0402235984802246;1.0402235984802246;1.0402235984802246;9.904075860977173;9.904075860977173;9.904075860977173;4.276989459991455;4.276989459991455;4.276989459991455;1.3978123664855957;1.3978123664855957;1.3978123664855957
5;6.135810613632202;6.135810613632202;6.135810613632202;13.714107513427734;13.714107513427734;13.714107513427734;10.710225582122803;10.710225582122803;10.710225582122803;10.372932434082031;10.372932434082031;10.372932434082031;1.9087796211242676;1.9087796211242676;1.9087796211242676
6;6.808935165405273;6.808935165405273;6.808935165405273;37.218525409698486;37.218525409698486;37.218525409698486;14.923928022384644;14.923928022384644;14.923928022384644;12.851221084594727;12.851221084594727;12.851221084594727;2.199981689453125;2.199981689453125;2.199981689453125
7;7.109309434890747;7.109309434890747;7.109309434890747;51.73758888244629;51.73758888244629;51.73758888244629;16.137356281280518;16.137356281280518;16.137356281280518;15.45097279548645;15.45097279548645;15.45097279548645;2.4011611938476562;2.4011611938476562;2.4011611938476562
8;7.21002197265625;7.21002197265625;7.21002197265625;87.15906119346619;87.15906119346619;87.15906119346619;17.48151135444641;17.48151135444641;17.48151135444641;16.82557511329651;16.82557511329651;16.82557511329651;2.693235397338867;2.693235397338867;2.693235397338867
9;13.170981407165527;13.170981407165527;13.170981407165527;110.676762342453;110.676762342453;110.676762342453;27.507055521011353;27.507055521011353;27.507055521011353;18.78513479232788;18.78513479232788;18.78513479232788;2.9509332180023193;2.9509332180023193;2.9509332180023193
10;14.974791526794434;14.974791526794434;14.974791526794434;;;;37.3440625667572;37.3440625667572;37.3440625667572;20.685575485229492;20.685575485229492;20.685575485229492;3.397376775741577;3.397376775741577;3.397376775741577
11;24.842591285705566;24.842591285705566;24.842591285705566;;;;42.178038120269775;42.178038120269775;42.178038120269775;25.200990438461304;25.200990438461304;25.200990438461304;3.800344705581665;3.800344705581665;3.800344705581665
12;31.618762731552124;31.618762731552124;31.618762731552124;;;;47.98578381538391;47.98578381538391;47.98578381538391;36.714049100875854;36.714049100875854;36.714049100875854;6.039976596832275;6.039976596832275;6.039976596832275
13;34.61443734169006;34.61443734169006;34.61443734169006;;;;53.76103711128235;53.76103711128235;53.76103711128235;50.93265986442566;50.93265986442566;50.93265986442566;6.679159879684448;6.679159879684448;6.679159879684448
14;43.00438332557678;43.00438332557678;43.00438332557678;;;;60.44081401824951;60.44081401824951;60.44081401824951;90.2938928604126;90.2938928604126;90.2938928604126;7.2423317432403564;7.2423317432403564;7.2423317432403564
15;134.83462142944336;134.83462142944336;134.83462142944336;;;;65.40729665756226;65.40729665756226;65.40729665756226;115.01229310035706;115.01229310035706;115.01229310035706;8.609684467315674;8.609684467315674;8.609684467315674
16;165.61006808280945;165.61006808280945;165.61006808280945;;;;100.08428907394409;100.08428907394409;100.08428907394409;186.33288264274597;186.33288264274597;186.33288264274597;10.386704206466675;10.386704206466675;10.386704206466675
17;173.1283814907074;173.1283814907074;173.1283814907074;;;;111.21973371505737;111.21973371505737;111.21973371505737;269.60169863700867;269.60169863700867;269.60169863700867;20.760208129882812;20.760208129882812;20.760208129882812
18;185.40929579734802;185.40929579734802;185.40929579734802;;;;118.58497667312622;118.58497667312622;118.58497667312622;611.5677299499512;611.5677299499512;611.5677299499512;24.77476143836975;24.77476143836975;24.77476143836975
19;295.01219177246094;295.01219177246094;295.01219177246094;;;;120.84408450126648;120.84408450126648;120.84408450126648;823.9160499572754;823.9160499572754;823.9160499572754;25.360629081726074;25.360629081726074;25.360629081726074
20;;;;;;;213.76269817352295;213.76269817352295;213.76269817352295;;;;26.026153564453125;26.026153564453125;26.026153564453125
21;;;;;;;;;;;;;32.40609407424927;32.40609407424927;32.40609407424927
22;;;;;;;;;;;;;35.61362910270691;35.61362910270691;35.61362910270691
23;;;;;;;;;;;;;73.7836971282959;73.7836971282959;73.7836971282959
