n;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;4.393764972686768;4.393764972686768;4.393764972686768;1.1572401523590088;1.1572401523590088;1.1572401523590088;1.6787059307098389;1.6787059307098389;1.6787059307098389;0.280789852142334;0.6084668966740091;1.0;0.0566103458404541;0.5211744343940243;1.0
2;6.808935165405273;6.808935165405273;6.808935165405273;1.182654857635498;1.182654857635498;1.182654857635498;1.6820652484893799;1.6820652484893799;1.6820652484893799;0.32276344299316406;0.6263672364581345;1.0;0.05856442451477051;0.5218784061530568;1.0
3;7.109309434890747;7.109309434890747;7.109309434890747;1.2565648555755615;1.2565648555755615;1.2565648555755615;7.7191407680511475;7.7191407680511475;7.7191407680511475;4.023967027664185;4.023967027664185;4.023967027664185;0.28497791290283203;0.6102297461603626;1.0
4;7.21002197265625;7.21002197265625;7.21002197265625;1.280956506729126;1.280956506729126;1.280956506729126;9.159008741378784;9.159008741378784;9.159008741378784;15.45097279548645;15.45097279548645;15.45097279548645;0.3208444118499756;0.6255374617824739;1.0
5;10.14117980003357;10.14117980003357;10.14117980003357;1.286550760269165;1.286550760269165;1.286550760269165;10.43846583366394;10.43846583366394;10.43846583366394;18.78513479232788;18.78513479232788;18.78513479232788;1.5472931861877441;1.5472931861877441;1.5472931861877441
6;14.444582462310791;14.444582462310791;14.444582462310791;1.2951877117156982;1.2951877117156982;1.2951877117156982;13.607762813568115;13.607762813568115;13.607762813568115;22.66598153114319;22.66598153114319;22.66598153114319;1.9490702152252197;1.9490702152252197;1.9490702152252197
7;21.593319416046143;21.593319416046143;21.593319416046143;1.3278398513793945;1.3278398513793945;1.3278398513793945;16.137356281280518;16.137356281280518;16.137356281280518;38.9756395816803;38.9756395816803;38.9756395816803;2.693235397338867;2.693235397338867;2.693235397338867
8;30.379965782165527;30.379965782165527;30.379965782165527;1.3333492279052734;1.3333492279052734;1.3333492279052734;17.48151135444641;17.48151135444641;17.48151135444641;44.337116718292236;44.337116718292236;44.337116718292236;2.9509332180023193;2.9509332180023193;2.9509332180023193
9;31.348012685775757;31.348012685775757;31.348012685775757;1.3410463333129883;1.3410463333129883;1.3410463333129883;17.84397530555725;17.84397530555725;17.84397530555725;62.66628384590149;62.66628384590149;62.66628384590149;3.76371431350708;3.76371431350708;3.76371431350708
10;31.618762731552124;31.618762731552124;31.618762731552124;1.3435924053192139;1.3435924053192139;1.3435924053192139;18.352652549743652;18.352652549743652;18.352652549743652;77.49266505241394;77.49266505241394;77.49266505241394;3.800344705581665;3.800344705581665;3.800344705581665
